item,title,rating,body
'B08T28HSDN','Not worth','1.0 out of 5 stars','Except the fact it is mechanical keyboard, nothing else is good. You can get reddragon shiva keyboard which has RGB and lesser price.'
'B08T28HSDN','Value for money','5.0 out of 5 stars','A wired mechanical keyboard with all features'
'B08T28HSDN','Not a long term keyboard','3.0 out of 5 stars',"starting months were excellent but after months I began noticing keys getting missed while typing the same in-game, at first I ignored as it was only with 1 key but then it became worse as from one it is happening with 12 keys which either not working or had press multiple times to get it register.  I raised the issue and had specifically mentioned the keys in which the issue was happening but they didn't even bother to verify that and returned the keyboard the same day they received to check.  Also, they don't have any dedicated service centre, they provide service via Boat Service centre.  If you want a long-term purchase then this is not for you, i am now buying a new keyboard and that will surely not going to be from readgear"
'B08T28HSDN','not worth the cost one pay for a mechanical keyboard','1.0 out of 5 stars','It works well for an year then starts malfunction keys and just goes useless. this is a rebranded one and finding a service for this is not an easy deal…so not worth the cost one pay for a mechanical keyboard of this sort..'
'B08T28HSDN','Good budget keyboard for a year.','3.0 out of 5 stars','They keys, actuation, palm rest is all good. Few days in, I couldn\'t type without it. Easy to get used to and does provide that click feel.  It all lasted for just over a year. Not sure what\'s the issue but, I started getting misclicks.... It\'d register a "0" when I hit space bar, open the calculator when I hit right arrow, enter a "&" when pressing alt and so on... Its essentially useless for me no, a year later.'
'B08T28HSDN','Good quality and durable look are also good','5.0 out of 5 stars','Price is higher'
'B08T28HSDN','Poor quality keyboard','1.0 out of 5 stars',"Keyboard quality is very bad. Keys are lighting up after 3-4 months. Some time keys also stops responding. I have already replaced my laptop 2 time in a span of 1 year but still not satisfied with the product. Keep safe your money and invest in good product. Just leaves this one. Whenever i clean the keyboard after some times its giving me a problem. Pls don't think that i don't know how to clean up a keyboard. It's just some issue with the keyboard."
'B08T28HSDN','MUST TRY!!','5.0 out of 5 stars','Awesome Keyboard.'
'B08T28HSDN','Nice.','4.0 out of 5 stars','Good to go. But the keyboard fonts are little annoying.'
'B08T28HSDN','Value for money','5.0 out of 5 stars',''
'B08T28HSDN','Keyboard Started Malfunctioning After a Week Of Use','1.0 out of 5 stars',"Everything was fine for a week or so and then two keys stopped showing any backlight. And then a day after, the keys started Malfunctioning.  If I press a key, it will press two keys at once which is very ridiculous and gets annoying to type especially when I'm working:/"
'B08T28HSDN','Best ever keyboard','5.0 out of 5 stars','I love this keyboard'
'B08T28HSDN','In just 4 months keys have stopped working','1.0 out of 5 stars','there are many other cheap mechanical keyboards in the market guys. Dont buy this one. Its not been 4 months completely and certain keys have stopped working.'
'B08T28HSDN','Awesome value for money','5.0 out of 5 stars','The media could not be loaded. Awesome keyboard with buttery smooth keys. This is my first mechanical keyboard. And i am not a professional gamer, using it for coding. I feel like my typing speed has been increased with this keyboard. I Like the keystrokes sound of blue switches. It comes with all shortcuts on functional keys also the volume knob gives rich look to it. Lighting is more than enough to make it look crazy. You will get plenty of preset lighting animations. You can install the software to control many more things. It’s ergonomically designed to give you comfort while typing. It comes with wrist rest. This keyboard weighs more than a kilo with metallic body. Overall superb keyboard must try of your budget is under 2500 Rps.'
'B08T28HSDN','Key failure','1.0 out of 5 stars',"It has only been four months after the purchase and already the 'A' key has failed. As you know, this specific key is very important in gaming and without it it's no point in using this keyboard anymore. It is a very cheap keyboard, but it's not very durable I must say."
'B08T28HSDN','Worst','1.0 out of 5 stars','The media could not be loaded. Worst only 125hrz poll rate.many youtube channel..& redgear say 1000hrz polling rate..worst dont buy this bad keyboard.hp is good than redgear.redgear misleding people'
'B08T28HSDN','Stopped working after 1.5 years','2.0 out of 5 stars','There is no customer service as I could not reach them on the provided number and there is not an email address to raise a complaint. It automatically types random characters when I type from it. Here, it an example without correcting - As you can see there are some random l55etters typed automatical5y when i try to type anything from this keyboard.'
'B08T28HSDN','Good but not long lasting','5.0 out of 5 stars','Overall looks wise its good, but major frustrating point for me was, After 1 year only keyboard buttons malfunctioning, really irritating while typing...'
'B08T28HSDN','After 2 year started behaving anonymously','3.0 out of 5 stars','After 2 year few keys stoped working and few typing wrong letters.'
'B08T28HSDN','Poor after sales service.','4.0 out of 5 stars',"The product is excellent in this price range but the company's after sales service is a joke. I claimed my warranty because one of the backlight stopped working but the replacement unit that I received had the escape key missing. This issue never got resolved."
'B08T28HSDN','Good quality but lot of noise during keypress','5.0 out of 5 stars','Good keyboard for gaming and with entertainment controls. Little bit heavy but good quality and working good so far. Only issue is with keypress which produces lot of notice.'
