item,title,rating,body
'B08ZHXKZKC','Super','5.0 out of 5 stars','Exlent'
'B08ZHXKZKC','Superb item','4.0 out of 5 stars','I use this on my wedding, its better than in images, best quality, good look in photoshot, marriage etc,, thank you'
'B08ZHXKZKC','nice','3.0 out of 5 stars','size and fitting was not good'
'B08ZHXKZKC','Nice product,value for money','4.0 out of 5 stars','Okk'
'B08ZHXKZKC','Paisa wasul h......mast h','5.0 out of 5 stars','Ek dm fit h....aur sunder v h'
'B08ZHXKZKC','Good looking','5.0 out of 5 stars',''
'B08ZHXKZKC','Too bad quality','1.0 out of 5 stars','Colour difference and bad cloth quality.. not value of money'
'B08ZHXKZKC','used up piece, wrong colour and very bad texture','1.0 out of 5 stars','Bad quality'
'B08ZHXKZKC','Not good','1.0 out of 5 stars','Not up to the mark..The colour and finish looks of the actual product different from that is displayed in website...'
'B08ZHXKZKC','Excellent','5.0 out of 5 stars','Too good. The quality and fitting is excellent. The colour is fabulous. Much more than satisfied.'
