item,title,rating,body
'B08ZMR9L2D','Ok narmal value for money','3.0 out of 5 stars','Ok'
'B08ZMR9L2D','Nice product','5.0 out of 5 stars','Nice'
'B08ZMR9L2D','Very very bad quality!! The switches would damage after few uses only!!','1.0 out of 5 stars','Very very bad quality!! The switches would damage after few uses only!!'
'B08ZMR9L2D','Nice Extension board','5.0 out of 5 stars','Great product with lowest price'
'B08ZMR9L2D','plastic not good.','2.0 out of 5 stars','ok but not durable'
'B08ZMR9L2D','Poor wiring, Short circuited','1.0 out of 5 stars','Poor wiring, Short circuited'
'B08ZMR9L2D','Extension Broke','2.0 out of 5 stars','It worked for couple of months, and then broke. the internal light got shorted'
'B08ZMR9L2D',"Don't buy",'1.0 out of 5 stars','Save your money and purchase cord at your local Store I buy this product 350 rs last December and today this product stop working I only put 3 mobile charger and one laptop charger and I don\'t even charge all together again "SAVE YOUR MONEY"'
'B08ZMR9L2D','Work properly','3.0 out of 5 stars',"Nice value for money, but little bit cheap product, very low weight and sometimes feeling that it's going for fuse."
'B08ZMR9L2D','Quality','1.0 out of 5 stars','Very poor quality'
'B08ZMR9L2D','One can go for it.','4.0 out of 5 stars','Good product.'
'B08ZMR9L2D','Good','5.0 out of 5 stars','Good'
'B08ZMR9L2D','Quality of product excellent','5.0 out of 5 stars','For cc camera, mobile charging and tv, best quality'
'B08ZMR9L2D','Very good product in this price range','5.0 out of 5 stars','The media could not be loaded.'
'B08ZMR9L2D','Worst product don’t waste your money','1.0 out of 5 stars','Just plunge in and got fused, the materiel used inside is very bad. It is not with a penny.'
'B08ZMR9L2D','Good','5.0 out of 5 stars','Good board'
'B08ZMR9L2D','Goot product','5.0 out of 5 stars','Nice product'
'B08ZMR9L2D','There is no brand name written on the item. Please let me know whether it is a duplicate item.','4.0 out of 5 stars','It is a plain item without any inference on the brand.'
'B08ZMR9L2D','Good useful product at reasonable price','5.0 out of 5 stars','The 7 socket extension board with individual switches is quite good at this price range. Works very well.'
'B08ZMR9L2D','Very good','5.0 out of 5 stars',"Product Quality - 5/5 The plug ports also fit 👌 . No issues with that as well.  The cord length feels a bit less, but we cannot expect to be an expander - so it's enough to fit devices kept within closer range.  Also, check if it's defective, few ports give spark. Rest everything works well."
'B08ZMR9L2D','Not good','1.0 out of 5 stars','Switch quality is not good'
'B08ZMR9L2D','Best product','5.0 out of 5 stars','I use this product more than 6 month. It works well. No issue till date'
'B08ZMR9L2D','Gives strong competition to make of gold medal products.','5.0 out of 5 stars','Most utilitarian product at a fair price i guess could be less but ok.'
