item,title,rating,body
'B091HHVDY6','Nice blanket','5.0 out of 5 stars','Value for money'
'B091HHVDY6','Very soft and good quality','5.0 out of 5 stars','Good quality and soft material. Size is double size and big enough. Keeps warm and cozy.'
'B091HHVDY6','Good','5.0 out of 5 stars','Very good'
'B091HHVDY6','good fabric','5.0 out of 5 stars','value for money'
'B091HHVDY6','Excellent Product....','5.0 out of 5 stars','Nice....'
'B091HHVDY6','Very soft and comfortable','5.0 out of 5 stars',''
'B091HHVDY6','पैसे की बरबादी','2.0 out of 5 stars','बहुत ही लोकल समान है पैसे की बरबादी ह'
'B091HHVDY6','Thickness','2.0 out of 5 stars','It is not thick.'
'B091HHVDY6','Everyday pain','1.0 out of 5 stars','Leaves a lot of lints everywhere. The blanket is good. But tired of cleaning after it everyday.'
'B091HHVDY6','Colour is different from the picture','1.0 out of 5 stars','Has to return it , coz the colour shown is different'
