item,title,rating,body
'B0932T482G','Best quality','5.0 out of 5 stars','Good product'
'B0932T482G','Refreshing soap','5.0 out of 5 stars','Amazon is good service'
'B0932T482G','get different quality','1.0 out of 5 stars','I purchased this product many times but first time , ..I got different quality product..seems local and very poor quality. This item is non returnable So Please see this issue for future'
'B0932T482G','Good 👍👍👍👍','5.0 out of 5 stars','Good 👍👍👍👍👍👍'
'B0932T482G','Fake product','1.0 out of 5 stars','Received fake product'
'B0932T482G','Good quality Soap.','3.0 out of 5 stars','The soap is good but fragrance is not as before.'
'B0932T482G','Excellent product','5.0 out of 5 stars','With a fragrance of lime this product makes our bath excellent.'
'B0932T482G','Wow','3.0 out of 5 stars','Nice 👍'
'B0932T482G','Disappointed ☹️','1.0 out of 5 stars','Waste of money,poor quality and the worst is the fragrance,it smells like plastic...I feel cheated...Nowhere close to the old Liril👎'
'B0932T482G','Good For Summers','5.0 out of 5 stars','Pleasant fragrance and good for skin.'
'B0932T482G','Good product','4.0 out of 5 stars','Good product'
'B0932T482G','classic fragrance','5.0 out of 5 stars','very good set of soaps'
'B0932T482G','Nice','5.0 out of 5 stars','Nice'
'B0932T482G','Sweet memories','4.0 out of 5 stars','Some childhood memories can never be forgotten, the lively ad. of LIRIL Soap is one of them, the scent and feeling of clean gets alive while using Liril soap. The clean feeling I still love.'
'B0932T482G','Good for oily skin','5.0 out of 5 stars','Freshness and scent is absolutely fine.'
'B0932T482G','Tropical feel','5.0 out of 5 stars','Very refreshing smell for summers'
'B0932T482G','AWESOME product','5.0 out of 5 stars','Must buy good product.'
'B0932T482G','Average Product not excellent','3.0 out of 5 stars',''
'B0932T482G','Great product with some natural ingredients','5.0 out of 5 stars','Great product with some natural ingredients.'
'B0932T482G','1.packet.gayab.hae','5.0 out of 5 stars','1.packet.gayab.hae'
'B0932T482G','Good','5.0 out of 5 stars','Good'
'B0932T482G','Yeah Good','5.0 out of 5 stars','Need little bit improvement like scent ...and every thing is good also the properties are same as old one ...'
'B0932T482G','Fantastic soap.','5.0 out of 5 stars','Nice & fnatastic soap'
'B0932T482G','Good','5.0 out of 5 stars','Good for summer use'
'B0932T482G','Awesome as always ☺️','5.0 out of 5 stars','Using this soap since childhood, always bring back those nostalgic memories and gives a refreshing fragrance!'
'B0932T482G','Good','4.0 out of 5 stars','Value for money'
'B0932T482G','Good product.','4.0 out of 5 stars','Good product.'
'B0932T482G','Worst quality','1.0 out of 5 stars','Not look likes a original'
'B0932T482G','Good','4.0 out of 5 stars','Good'
'B0932T482G','Enjoy this summer with liril','5.0 out of 5 stars','Liril my favourite'
'B0932T482G','Good soap','5.0 out of 5 stars','Good soap'
'B0932T482G','My fav Soap..','5.0 out of 5 stars','My fav Soap..'
'B0932T482G','Lean fragrance.fr','3.0 out of 5 stars','Fragrance in 1980 was far far better than in these days'
'B0932T482G','Old liril soap was better than new','2.0 out of 5 stars','Old liril soap was better than new'
'B0932T482G','Good soap','5.0 out of 5 stars','I like'
'B0932T482G',"Don't buy",'1.0 out of 5 stars','Not original'
'B0932T482G','OK not complement','4.0 out of 5 stars',''
'B0932T482G','I just loved the scent','5.0 out of 5 stars','If is a bit hard but scent is good'
'B0932T482G','Best soap from my childhood with marvelous fragrance','4.0 out of 5 stars','Packaging'
'B0932T482G','Good product','5.0 out of 5 stars','Good freshness one'
'B0932T482G','All is well','4.0 out of 5 stars','Very nice fragrance but old is gold .'
'B0932T482G',"Downgraded version of old liril's.",'2.0 out of 5 stars',"Mild or negligible scent, it doesn't seem that you are using liril it like ki its just a ordinary soap ."
'B0932T482G','Super soaps','5.0 out of 5 stars','Perfect soap to all'
'B0932T482G','Ok ok','4.0 out of 5 stars','Not good not bad'
'B0932T482G','Good bathing soap !','5.0 out of 5 stars','The fragrance and quality of Liril is very good; it is refreshing and the scent stays much longer as compared to other soaps.'
'B0932T482G','Service is good by amazon','5.0 out of 5 stars','Good service by amazon'
'B0932T482G','Dublicate product','1.0 out of 5 stars','Dublicate'
'B0932T482G','Very bad soap but rapper is good .','1.0 out of 5 stars','सेंट ताजगी मॉइश्चर सभी कुछ खराब।'
'B0932T482G','Absolutely rubbish product','1.0 out of 5 stars','Wastage of money No fragrance Not even a soild piece after using for 10 sec Melting like crazy'
'B0932T482G','Worst','1.0 out of 5 stars','Poor quality'
