item,title,rating,body
'B093LKKNWF','Travel bag','4.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r31egj9amwe9v0_1697112220668","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-0625861-7183453","refMarkers":"vse_reviews_desktop_R31EGJ9AMWE9V0_1697112220668_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"ASD2D94DJ544R814Q7QY","customerId":"0","sessionType":1},"mimeType":"video/mp4","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R31EGJ9AMWE9V0","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R31EGJ9AMWE9V0_1697112220668_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/I/C1QRePHTTUL.mp4","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R31EGJ9AMWE9V0","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r31egj9amwe9v0_1697112220668-player-76e13b45-c541-43e7-a7f3-0aa7c5083fc9","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"ASD2D94DJ544R814Q7QY","pageAsin":"","sessionId":"261-0625861-7183453"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-0625861-7183453","refMarkers":"vse_reviews_desktop_R31EGJ9AMWE9V0_1697112220668_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"ASD2D94DJ544R814Q7QY","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R31EGJ9AMWE9V0","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R31EGJ9AMWE9V0_1697112220668_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/911CFwjfnuL._SY256.png","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa0-:- Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. The media could not be loaded, either because the server or network failed or because the format is not supported. Light weight and good space.. Lock is also good but I think it won\'t be scratch proof... Material is very flexible don\'t know how long it would go... But I hope safari is here to protect from any damage 🤘'
'B093LKKNWF','Good quality product','4.0 out of 5 stars','Good quality product for traveling with light weight and faith of company . happy to purchase the product .....good one'
'B093LKKNWF','Value for money','5.0 out of 5 stars','It is sturdy , chain was easy to operate. Also wheels are very smooth'
'B093LKKNWF','Safari bag','4.0 out of 5 stars','The media could not be loaded. I bag is allready...set a password does not open a lock'
'B093LKKNWF','5','4.0 out of 5 stars','Nice toli bag'
'B093LKKNWF','Very nice suitcase I recommend this','5.0 out of 5 stars','For going out'
'B093LKKNWF','How the product quality','2.0 out of 5 stars','1st the quality wise it is very cheap product its like a cardboard if your press tightly dame will come 2nd colour and the chain of the bag its good but main this quality itself not good at all'
'B093LKKNWF','Good 👍🏻','5.0 out of 5 stars','Good product like 👍🏻'
'B093LKKNWF','Nice,Same as written in description','5.0 out of 5 stars','Same as written in description, everything thing fit n fine. No need to worry about'
'B093LKKNWF','Poor chain quality otherwise nice product','3.0 out of 5 stars',''
