item,title,rating,body
'B094P2P2HS','Good work out shoes','5.0 out of 5 stars','Good shoes for workout and walking. Worth the price compared to this branded costly ones. It is comfortable but not original.'
'B094P2P2HS','Perfect','5.0 out of 5 stars','Insole , mid sole and outer sole provides better comfort. Better cushioning experience. This product is recommended for day long use.'
'B094P2P2HS','Good product','4.0 out of 5 stars','Product used for running and fitness. Comfort'
'B094P2P2HS','Nice shoes👌','5.0 out of 5 stars',''
'B094P2P2HS','Not a worthy buy','2.0 out of 5 stars','The shoes are not comfortable. The sole has grip but the insole is slippery. Very inconvenient whole walking'
'B094P2P2HS','Qaliti ledu','1.0 out of 5 stars','Verry bad'
'B094P2P2HS','Good product but size issue','4.0 out of 5 stars','Good product but size issue with good comfort and stuff is used quite nice and seems to be quite durable'
'B094P2P2HS','Totally Flop shoe','2.0 out of 5 stars',"Don't know. But it's not worth it . Because it's seem like the first copy .. totally not satisfied with the product"
'B094P2P2HS','Good','5.0 out of 5 stars','I like this product'
'B094P2P2HS','Good product value for money','5.0 out of 5 stars','Quality is excellent'
'B094P2P2HS','Good purchase','5.0 out of 5 stars','Light weight & good for running. Good purchase.'
'B094P2P2HS','Not perfect fit..size is very small','1.0 out of 5 stars','Dislike'
'B094P2P2HS','Awesome','5.0 out of 5 stars',"It's Adidas for a reason. Light weight. Looks great. Very comfortable. Original product."
'B094P2P2HS','Great product','5.0 out of 5 stars','Bought for my husband.. He liked it..'
'B094P2P2HS','Simply brilliant','4.0 out of 5 stars','Get fits in some of its sphere..'
'B094P2P2HS','Stylish','4.0 out of 5 stars','Awesome stylish but not so comfortable for ARCH FEET,.,'
'B094P2P2HS','I love the shoes','5.0 out of 5 stars','Good quality 😁'
'B094P2P2HS','Flat sole- can be better','5.0 out of 5 stars','Shoe sole is flat... Feels like walking on the floor with out shoes after wearing... Sole can be better for this price'
'B094P2P2HS','NOT OG PRODUCT','2.0 out of 5 stars','this is replica of addidas..'
'B094P2P2HS','Perfect','5.0 out of 5 stars','Value for money'
'B094P2P2HS',"You have to order 1 size large... because it's small to actual size",'4.0 out of 5 stars',"It's good..but you have to order 1 size large"
'B094P2P2HS','Nice shoes with best quality','5.0 out of 5 stars','Nice shoes with best quality'
'B094P2P2HS','BEst shoes of lowest price','3.0 out of 5 stars','Nice shoes good product'
'B094P2P2HS','Not orginal... Second quality','1.0 out of 5 stars','Second quality'
'B094P2P2HS','Osam','4.0 out of 5 stars','Comfortable'
'B094P2P2HS','You should buy this as at this price','4.0 out of 5 stars','Fill good to buy this product, value is true as per product comfort'
'B094P2P2HS','Good product','4.0 out of 5 stars','Better'
'B094P2P2HS','So comfortable and lightweight shoes in cheap price','5.0 out of 5 stars','These shoes are so good for walking,running,workout and many other activities I love these shoes these are so lightweight and comfortable and you should buy it for sure'
'B094P2P2HS','Not value for money','2.0 out of 5 stars','Uncomfortable looked like fake product.'
'B094P2P2HS','Good','4.0 out of 5 stars',''
'B094P2P2HS','If your normal size is 8 then must order for one size more','5.0 out of 5 stars','Good product'
'B094P2P2HS','This shoes looks like 1st copy .','3.0 out of 5 stars','Shoes looks not real , looks like 1st copy stuff'
'B094P2P2HS','Amazing look','5.0 out of 5 stars','Simply loved the look of the shoes and way more comfortable then other shoes.'
'B094P2P2HS','Duplicate Product','1.0 out of 5 stars','Just by one look with the shoes in hand you can tell that its duplicate. The quality of shoe was worst. I am using Adidas shoes since last 10 years ... hence can know the quality of original product. Its not even the first copy... its worst than that.'
'B094P2P2HS','Adidas Shoes','4.0 out of 5 stars','Looking good...have to see the performance'
'B094P2P2HS','Good fit and good quality, really worth the price','5.0 out of 5 stars','Good quality product with a great fit. Value for money'
'B094P2P2HS','Return ke paise waps lota do 🙏🙏','5.0 out of 5 stars','Product is best but service team is very loose'
'B094P2P2HS',"It's very uncomfortable and this type of bad quality is not expected from addidas I think it's fake",'1.0 out of 5 stars',"It's very uncomfortable and this type of bad quality is not expected from addidas I think it's fake!!!"
'B094P2P2HS','Bang for buck!','5.0 out of 5 stars',"Firstly, I was a bit skeptical about the authenticity of the product, but, I'm happy to say that the product is absolutely genuine Adidas shoes. And as expected, the fit and comfort is good on this one. Overall I'd say, if you can get this one under 1k, then definitely go for it!"
'B094P2P2HS','Nice','3.0 out of 5 stars',''
'B094P2P2HS','Product is good with one question','5.0 out of 5 stars',"It's showing country of origin is India, but when i scan the barcode it's showing Germany, lol buy the way shoes are extremely good for running, ya it's little bit hot for your feet when you run 10 to 15km continues a day. No air system. Conclusion:- buy this shoes for running, jogging, Gym and Daily uses. Thanks Adidas."
'B094P2P2HS','Stitching Defect','1.0 out of 5 stars','Stitching Defect. Shoes are light weighted though. Overall ok except stitching effect. Replacing with new one. Color is good and decent.'
'B094P2P2HS','Fitting Issue','3.0 out of 5 stars','It looks good and fabulous but cushioning is not comfortable at all…. well its good for the price segment of Rs.1000/-'
'B094P2P2HS','Good','5.0 out of 5 stars','Very good product at this price range. Loved it'
'B094P2P2HS','Nice fitting and comfortable','4.0 out of 5 stars','Please 🙏 do deliver fresh articles unweared .....this likely to be tried by someone'
'B094P2P2HS','Superb shoes','5.0 out of 5 stars','Bought it for my Father.. he’s super happy with the shoe.. good quality👍🏻👍🏻👍🏻'
'B094P2P2HS','ITS GOOD BUT NOT SOFT','4.0 out of 5 stars','ITS GOOD BUT SOUL IS NOT MUCH SOFT BUT ITS OVERALL GOOD LOOKS IS ALSO GOOD MAIN POINT IS IT IS NOT MUCH SOFT'
'B094P2P2HS','Product is very good. Am completely ok for the product. And','5.0 out of 5 stars','No'
'B094P2P2HS','Product is good and comfortable','4.0 out of 5 stars','Comfortable'
'B094P2P2HS','Product is not original.............','2.0 out of 5 stars',"Product is not original its a first copy. Size is ok but build quality is not good. There are difference between both shoes. My right feet's thumb use to ache when i wear the shoe."
