item,title,rating,body
'B094VGTK9C','Size','1.0 out of 5 stars','Size extra large'
'B094VGTK9C','Stiching very poor','1.0 out of 5 stars','Lesses stiching very poor, before delivery pls check properly'
'B094VGTK9C','Quality poor','2.0 out of 5 stars','Damaged product'
'B094VGTK9C','Comfortable and qualitative products','5.0 out of 5 stars','Design, colour and product quality is very good.'
'B094VGTK9C','Nice shous','4.0 out of 5 stars','Excellent'
'B094VGTK9C','Worst quality shoes not expected this cheap quality','1.0 out of 5 stars',"Don't buy for free"
'B094VGTK9C','Stitching problem','3.0 out of 5 stars','Found this Defect in 6 Month I have no idea which kind of quality is this what kind of Products I brought its local or Brand I have no idea but I have Bill which declared its manufactur by #Reebok'
'B094VGTK9C','Good product','5.0 out of 5 stars','Nice'
'B094VGTK9C','Right for Indian people','5.0 out of 5 stars','Value for money'
'B094VGTK9C','Good','5.0 out of 5 stars','Liked it'
'B094VGTK9C','प्राइज बढ़ गया है','5.0 out of 5 stars','Like'
'B094VGTK9C','not a goos quality','3.0 out of 5 stars','product is not good'
'B094VGTK9C','Not well but nice at this price','3.0 out of 5 stars','Something well'
'B094VGTK9C','Great Shoes','4.0 out of 5 stars','Great fit and comfort.'
'B094VGTK9C','Good','5.0 out of 5 stars','Lightweight'
'B094VGTK9C','duplicate item.. after using 5 time it started hurting my toe.. & toe ke paas se fatna suru ho gaya','1.0 out of 5 stars','The media could not be loaded. college wear'
'B094VGTK9C','Awesome','5.0 out of 5 stars','Antic piece'
'B094VGTK9C',"Doesn't feel like real 😕",'3.0 out of 5 stars',"The comfort as I expected from a brand like reebok is doesn't felt the same which i have been using from years."
'B094VGTK9C','Very good shoes , can buy','5.0 out of 5 stars','Durability is a bit ❓ , bcoz the lace model is little affraid of tearing, but not teared - may be it can'
'B094VGTK9C','Light weight or comfortable','5.0 out of 5 stars','Ameging'
