item,title,rating,body
'B098Q88RWK','Top cloth quality','4.0 out of 5 stars','This tops look more good in real live than in the pictures comfortable cotton top ,look festive wear Also'
'B098Q88RWK','Cute top','5.0 out of 5 stars','Worth buying product. Super nice fabric'
'B098Q88RWK',"It's so pretty",'5.0 out of 5 stars','Quality is good and quiet comfortable'
'B098Q88RWK',"It's nice",'5.0 out of 5 stars','Value for money'
'B098Q88RWK','Print came out in first wash','1.0 out of 5 stars',"Print of the product came out in first wash. Could not wear it again ever. Total waste of money. Won't suggest anyone to buy it. Bad experience"
'B098Q88RWK','Great','5.0 out of 5 stars',"If you think to buy it, go for it. This top will give you a amazing look also it's comfortable to wear in summer. It's a cotton top slightly thin but not that much."
'B098Q88RWK','Very good','5.0 out of 5 stars','I live it go for it'
'B098Q88RWK','Nice','5.0 out of 5 stars','Was beautiful'
'B098Q88RWK','Nic look','5.0 out of 5 stars','Amazing top'
'B098Q88RWK','Color fading','1.0 out of 5 stars','Entire print got washed away in one machine wash. Such poor quality'
'B098Q88RWK','Good product','5.0 out of 5 stars','Fit as expected.. Must buy if you want to.'
'B098Q88RWK','Just ok','3.0 out of 5 stars','Ok type'
'B098Q88RWK','Ok','3.0 out of 5 stars','Nice product but white design in it was faded'
'B098Q88RWK','As shown in image, worth buying','5.0 out of 5 stars','Good fabric and fitting.'
'B098Q88RWK','Good','4.0 out of 5 stars','Good Product'
'B098Q88RWK','Good quality and looks cute','5.0 out of 5 stars',"It's cute, comfortable! I have watched it one till now, hasn't lost the colour at all. But fits better whilst the straps were a bit loose on me initially. So i guess it shrinks a tiny bit!"
'B098Q88RWK','Good','3.0 out of 5 stars','But cost is high'
'B098Q88RWK','Love it, beautiful kurti!!','5.0 out of 5 stars',"Beautiful kurti, I've thick arms hence I generally style it with a stoll. Looks amazing!!! Worth the price, colour and print do not fade away."
'B098Q88RWK','Recommended','5.0 out of 5 stars','Highly recommended very pretty good material You will look like a doll'
'B098Q88RWK','Good product','5.0 out of 5 stars','Very nice colour nice product'
'B098Q88RWK','Superb colour and quality of cloth','5.0 out of 5 stars','Superb colour and quality of cloth. Worth Buy. Same as shown in the image.'
'B098Q88RWK','Very beautiful top','5.0 out of 5 stars','Bright colour . Good fit and stuff is also good after many washes'
'B098Q88RWK','Worst ever','1.0 out of 5 stars','Print goes of in one wash only.'
'B098Q88RWK','Stains were there','2.0 out of 5 stars','Product is okay but there were black stains on top. Dissatisfied👎'
'B098Q88RWK','Color fades too much','1.0 out of 5 stars','Color fades too much'
'B098Q88RWK','Very bad','1.0 out of 5 stars','After first wash all print vanished I want my money back'
'B098Q88RWK','The fit isnt good','2.0 out of 5 stars','Doesn’t fit well.'
'B098Q88RWK','Beautiful top','4.0 out of 5 stars','Perfect fit and style'
'B098Q88RWK','Nice','5.0 out of 5 stars','Nice colour and looking preety.'
'B098Q88RWK','The yellow top','3.0 out of 5 stars','The yellow top looks beautiful. The fitting is beautiful.But the stitches are not very sturdy. One if the hands came out after one or two wears.'
'B098Q88RWK','Nice top for daily wear','4.0 out of 5 stars','Value for money'
'B098Q88RWK','Good','4.0 out of 5 stars',"Quality is good ..size is also perfect..same as shown in the picture..but price is Lil bit high for this one ..but overall it's good 👍🌺"
'B098Q88RWK','"Fashionable Fit with Color Fading Concern: A Price-Worthy Purchase"','4.0 out of 5 stars','Good appearance and fit, but color fades with heavy washing. Still a decent purchase considering the price, but be cautious about color loss.'
'B098Q88RWK','Really the good one🤍','5.0 out of 5 stars',''
'B098Q88RWK','Not good','2.0 out of 5 stars',"Please don't buy it"
'B098Q88RWK','Best fitting','5.0 out of 5 stars','Looks adorable.. perfect size and fitting.. colour is good'
'B098Q88RWK','Beautiful','5.0 out of 5 stars','Awesome'
'B098Q88RWK','Overall good product but i got maroon instead of yellow','4.0 out of 5 stars','Colour changed...but seems to be good..'
'B098Q88RWK','Best','5.0 out of 5 stars','Bahat acha aiya hai or colour bhi bahat acha hai'
'B098Q88RWK','Love it','5.0 out of 5 stars',"It's a gem. It's so inexpensive looks gorgeous and feels nice on the skin and has a variety of sizes available and in different colours too. Just buy it already and you won't regret"
'B098Q88RWK',"It's cute boho kinda top",'4.0 out of 5 stars','I ordered it in maroon color but today i recived in yellow color but quality is good looks good . Still thinking of keeping it or not bcz of colour issue seller should take care of such small things plz . Giving 4 star bcz product is good .'
'B098Q88RWK','Worthy','5.0 out of 5 stars','Just perfect'
'B098Q88RWK','wastage of money','2.0 out of 5 stars','after a wash white stuff washed away all over ...total waste'
'B098Q88RWK','Amazing look and fit','5.0 out of 5 stars','Love the product. The colour is just amazing ordered yellow one and size medium, fits perfectly ❤️'
'B098Q88RWK','Value for money top','5.0 out of 5 stars',"Happy with the purchase as after several uses and many wishes, the colour of the top remains intact (earlier i was a little worried about the yellow color). Considering its price, it's very comfortable wear and worth purchase for those who are okay with sleeveless tops."
'B098Q88RWK','Worth it','5.0 out of 5 stars','Product was too good'
'B098Q88RWK','Pretty yellow','5.0 out of 5 stars','So so so pretty. Perfect fit, I’m 32 bust and bought XS'
'B098Q88RWK','Worthy','4.0 out of 5 stars','The design and color is as exact as shown in image..can be a bit cheaper as per the stuff but its still fine to buy if you liked the pattern'
'B098Q88RWK','Torned product also black spots without tag','1.0 out of 5 stars',''
'B098Q88RWK','Perfect','5.0 out of 5 stars','Perfect fir and looking great.'
