item,title,rating,body
'B09B2LVR9L','Causes itching','3.0 out of 5 stars','The look of the sweater is good, gives good protection from cold but causes itching all over the body after wearing it.'
'B09B2LVR9L','Size','2.0 out of 5 stars','Size of the product not mentioned on label and sizes are not as per ordered'
'B09B2LVR9L','Good','5.0 out of 5 stars','Weight'
'B09B2LVR9L','great product','5.0 out of 5 stars',"perfect but, can't use, because it's pune"
'B09B2LVR9L','Good','4.0 out of 5 stars','Good'
'B09B2LVR9L','Good and handy selfie stick for the price paid.','5.0 out of 5 stars','Good and handy selfie stick for the price paid. Light weight and easy to handle. Fairly priced in the range.'
'B09B2LVR9L','Not good quality not fit to large','1.0 out of 5 stars','Bad product'
'B09B2LVR9L','Good Quality','4.0 out of 5 stars','Great Experience'
'B09B2LVR9L','Good quality product','5.0 out of 5 stars',"Too good it's looking very nice"
'B09B2LVR9L','Good','5.0 out of 5 stars','Suggest to buy good product'
'B09B2LVR9L','Product is very good under this price range','5.0 out of 5 stars','Product is very good under this price range'
'B09B2LVR9L','So Nice 👌 product & quality','5.0 out of 5 stars','Wear to comfortable & looking so cool 😎 According to price quality is the best'
'B09B2LVR9L','Size issue','2.0 out of 5 stars','Size can be issue. While buying this product Please take care of your size like XL to 2XL or vice versa'
'B09B2LVR9L','Good nice one','5.0 out of 5 stars','Happy with product'
'B09B2LVR9L','Different color','1.0 out of 5 stars','Not fitting and different color'
'B09B2LVR9L','Too large','5.0 out of 5 stars',''
'B09B2LVR9L','Totaly worsted','1.0 out of 5 stars','Poor quality'
'B09B2LVR9L','One hole/damage in back side of the sweater','1.0 out of 5 stars',''
'B09B2LVR9L','😚😚😚😚😚😚😚','5.0 out of 5 stars','🥰🥰🥰🥰🥰🥰'
'B09B2LVR9L','बहुत गरम है।','5.0 out of 5 stars','बहुत ही अच्छा है।गरम है।।फिट है।'
'B09B2LVR9L','Not bad','3.0 out of 5 stars','Good'
'B09B2LVR9L','Not upto the mark','2.0 out of 5 stars','Not upto the mark'
'B09B2LVR9L','Superb Quality','5.0 out of 5 stars','Superb'
'B09B2LVR9L','Looking nice, but not suitable for more cold','3.0 out of 5 stars',"If cold is much like in Adilabad, it's not protecting from cold, nice looking, quality is good. Value for money."
'B09B2LVR9L','Good product.','3.0 out of 5 stars','I used this product for the winter. The product is good but it is not 100% woolen. It is a poly woolen product. It can resist against the cold but not good if the atmosphere is very cold and stromy.'
'B09B2LVR9L','Perfect fit','5.0 out of 5 stars','The Sweater looks exactly the way it is in the picture. The fit is perfect. Good for cool climate.'
'B09B2LVR9L','Nice','4.0 out of 5 stars','Good product'
'B09B2LVR9L','Decent','4.0 out of 5 stars','Product was very good but due to some minor issue I had to returned this...'
'B09B2LVR9L','I gifted it to my brother and he loved it','5.0 out of 5 stars','I gifted it to my brother and he loved it Cloth Material is also nice'
'B09B2LVR9L','Wastage of money','1.0 out of 5 stars','Very poor quality'
'B09B2LVR9L','Super','4.0 out of 5 stars','Super'
'B09B2LVR9L',"Not good and very high price don't buy online",'2.0 out of 5 stars',"Don't buy this product in India"
'B09B2LVR9L','Fitting','2.0 out of 5 stars','Quality is good but fitting issue and also size not mentioned on product.'
'B09B2LVR9L','Too hard meterial','1.0 out of 5 stars','The cloth is not smooth'
'B09B2LVR9L','OK OK','4.0 out of 5 stars','Fabric is hard n rough, overall product is satisfactory bt seems costly for given fabric quality'
'B09B2LVR9L','Good quality','5.0 out of 5 stars','Good quality'
'B09B2LVR9L','This is super duper flop item not protected in winter never purchase it','1.0 out of 5 stars','This is super duper flop item not protected in winter never purchase it why amazon promote this product. Pls avoid'
'B09B2LVR9L',"It's not worth it",'2.0 out of 5 stars',"It's not worth it and the quality of the fabric is something like very raw woolen. Hurting in while using few minutes don't go for it."
'B09B2LVR9L','Deliver wrong colour product','1.0 out of 5 stars','Product is good but deliverd wroung colour product।'
'B09B2LVR9L','Courier service bakbas','5.0 out of 5 stars','Product aacha h par Amazon ki courier services bahut jyada bakbas h prime user hone ke bad b 6 din deliver kiya courier bakbas service'
'B09B2LVR9L','Fabric quality is not good','1.0 out of 5 stars','Fabric quality is worse'
'B09B2LVR9L','👎🏼👎🏼👎🏼','1.0 out of 5 stars','👎🏼👎🏼👎🏼👎🏼👎🏼'
'B09B2LVR9L','Product was good as I expected','5.0 out of 5 stars','good'
'B09B2LVR9L','Poor quality','2.0 out of 5 stars','The sweater got fuzz all over it after being worn only 2-3 times and stitches are starting to come losose already. Would not recommend this product.'
'B09B2LVR9L','Super nice','5.0 out of 5 stars','Super nice'
'B09B2LVR9L','Good product','5.0 out of 5 stars','Good'
'B09B2LVR9L','Baugas and howkers type product and quality','1.0 out of 5 stars','Baugas product and finishing.'
'B09B2LVR9L','Nice','4.0 out of 5 stars','Gdd one..worth buying...highly recommended to all..perfect for winters👍'
'B09B2LVR9L','Perfect','5.0 out of 5 stars','Good quality n fashionable'
