item,title,rating,body
'B09BLX7P2F','Best cards you can get at this price!','5.0 out of 5 stars','These are paper cards with a plastic finish. They are very slippery out of the box and I had to break in the deck just like any other new deck. They are very easy to use and the quality is also very good! I use them for cardistry and I can tell you that they are excellent for it! Also the price is very affordable. If you’re new to cardistry then I would highly recommend these as they are cheap and very easy to handle with great quality.'
'B09BLX7P2F','It is ok','3.0 out of 5 stars','Plastic cards ok'
'B09BLX7P2F','Nice','5.0 out of 5 stars','Nice'
'B09BLX7P2F','Product','5.0 out of 5 stars','The product is worthy and excellent.'
'B09BLX7P2F','Just ok','2.0 out of 5 stars','Mediocre'
'B09BLX7P2F','Good','5.0 out of 5 stars','Good product.'
'B09BLX7P2F','Good','4.0 out of 5 stars','qwality'
'B09BLX7P2F','Good quality playing cards','5.0 out of 5 stars','Good quality playing cards. Recommended for buying.'
'B09BLX7P2F','Good product','5.0 out of 5 stars','The media could not be loaded. Received red & black. Good product. Nice quality. Good packaging. Very affordable.'
'B09BLX7P2F','Good Quality','5.0 out of 5 stars','Card is of good quality. Go for it without second thoughts.'
'B09BLX7P2F','Slippery','1.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r2504fk5z5qvwn_1697146623753","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-5824343-8441052","refMarkers":"vse_reviews_desktop_R2504FK5Z5QVWN_1697146623753_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"N61R3SD9A2QX6CSV00DP","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2504FK5Z5QVWN","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2504FK5Z5QVWN_1697146623753_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/c96f8cdc-05b6-42f4-9bf6-a7da12972e33/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R2504FK5Z5QVWN","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r2504fk5z5qvwn_1697146623753-player-700a2ae3-b5b0-43fd-8098-6f7c7c167762","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"N61R3SD9A2QX6CSV00DP","pageAsin":"","sessionId":"258-5824343-8441052"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"258-5824343-8441052","refMarkers":"vse_reviews_desktop_R2504FK5Z5QVWN_1697146623753_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"N61R3SD9A2QX6CSV00DP","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2504FK5Z5QVWN","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2504FK5Z5QVWN_1697146623753_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/61xaPaab6yL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media.'
'B09BLX7P2F','Actual product price is 149 only, instead of 200 listed on the site.','3.0 out of 5 stars',''
'B09BLX7P2F','Quality','4.0 out of 5 stars','Nothing particularly'
'B09BLX7P2F','Good product','5.0 out of 5 stars','Good to play'
'B09BLX7P2F','above average product','5.0 out of 5 stars','Above average product easy to play.'
'B09BLX7P2F',"These are one of the best quality cards you'll find",'5.0 out of 5 stars',"There are 2 packs inside as said and both the packs have extra joker so , don't worry about that  *Just purchase it *"
'B09BLX7P2F','Good to play Rummy','4.0 out of 5 stars','Good'
'B09BLX7P2F','Very good product and geniune','5.0 out of 5 stars','Should be buy this'
'B09BLX7P2F','Starting to wither after daily use for 45 days','4.0 out of 5 stars','We use these for our daily game of rummy for an hour or two. Will buy them again after the current set falls apart.'
'B09BLX7P2F','Value for Money','4.0 out of 5 stars','Very good product'
'B09BLX7P2F','Premium Quality Product Classic Design','5.0 out of 5 stars','Premium Quality Product Classic Design'
'B09BLX7P2F','Good','5.0 out of 5 stars',''
'B09BLX7P2F',"Don't buy very slippery cards, can't play",'1.0 out of 5 stars',"Very slippery don't buy, cant play with them. Not traditional cards which we play and enjoy."
'B09BLX7P2F','Great','5.0 out of 5 stars','Nice one'
'B09BLX7P2F',"Don't boy total west money. 😠😠😡😡",'1.0 out of 5 stars','😡'
'B09BLX7P2F','Product is good .. worth price','4.0 out of 5 stars','Yes.. kids really enjoyed in summer vacation.. making groups to play.. happy to purchase'
'B09BLX7P2F','Good coating','5.0 out of 5 stars','Well coated, easy to handle'
'B09BLX7P2F','Nostalgic design','5.0 out of 5 stars','Nice quality. Loved this classic design.'
'B09BLX7P2F','So smooth','4.0 out of 5 stars','Good but are very smooth to hold'
'B09BLX7P2F','555 gold premium playing cards are good.','4.0 out of 5 stars','Over all it is a good product.'
'B09BLX7P2F','Overall good','4.0 out of 5 stars','Cards are little thin.'
'B09BLX7P2F','Rummy cards','3.0 out of 5 stars','Dissapointed, Medium quality'
'B09BLX7P2F','VALUE FOR MONEY','5.0 out of 5 stars','GOOD PRODUCT'
'B09BLX7P2F','Good quality cards','5.0 out of 5 stars','Enjoyed playing with these cards'
'B09BLX7P2F','Not bad','4.0 out of 5 stars','Good'
'B09BLX7P2F','Good','5.0 out of 5 stars','Initially Got bad pair of cards, later it was replaced. Good quality.'
'B09BLX7P2F','Bad','1.0 out of 5 stars','Too slippery'
'B09BLX7P2F','Very bad quality cards','2.0 out of 5 stars','Very bad quality cards, which is folds when you played 2-3 Timew'
'B09BLX7P2F','Not the plastic card but plastic coated','1.0 out of 5 stars','Quality is same as paper card only a thin polythene coating. Price is too high. I returned the item.'
'B09BLX7P2F','Quality is not good.','2.0 out of 5 stars','The cards are already starting to look worn out after being used three times only!'
'B09BLX7P2F','Good product , value for money','4.0 out of 5 stars','Family entertainment'
'B09BLX7P2F','Value for money','3.0 out of 5 stars','Card size is bit and slippery. Otherwise value for money, comes with pack of 2'
'B09BLX7P2F',"don't buy",'1.0 out of 5 stars',"don't buy these are just regular cards, not plastic cards don't be fooled by the product heading read the product description."
'B09BLX7P2F','Seriously','1.0 out of 5 stars','These are not plastic cards .these are faarzi cards plastic cards'
'B09BLX7P2F','Excellent','5.0 out of 5 stars','Good quality as expected'
'B09BLX7P2F','Worth it product','5.0 out of 5 stars','Good value for money'
'B09BLX7P2F','Very good quality! Go for it','5.0 out of 5 stars','Product is very good'
'B09BLX7P2F','Misleading','1.0 out of 5 stars',"These are not plastic cards. Don't mislead buyers."
'B09BLX7P2F','Superb finish and good quality','5.0 out of 5 stars','Nice to hold and the print is great.'
'B09BLX7P2F',"It's very premium quality soft toutching should buy value for money",'5.0 out of 5 stars','Good product'
