item,title,rating,body
'B09CNPVLWV','Go for it!!','4.0 out of 5 stars','It was ok , cloth was good .'
'B09CNPVLWV','Nice and sterchy','5.0 out of 5 stars','Good quality nice comfort thick material No color leak if u wash also'
'B09CNPVLWV','Size not fits','2.0 out of 5 stars',"The material of legging is nice... But it's length is small.. Not fits for me....(ordered XL size)"
'B09CNPVLWV','Quality','1.0 out of 5 stars','Quality is not good'
'B09CNPVLWV','Amazing it is…!!!!','5.0 out of 5 stars','Material is very good and soft. Super comfortable and price is reasonable too. I loved it. I bought the black one too🧡 Thank you Max & Amazon :)'
'B09CNPVLWV','Happy with the purchase','4.0 out of 5 stars','Stylish and elegant happy with the purchase'
'B09CNPVLWV','Quality not upto the mark','3.0 out of 5 stars','Fit is okay. But the cloth is not as comfortable as other leggings. Also the quality of the cloth could have been better. After 1 2 uses, it is getting torn from the sides of stitches. But i got for some 300rs so it is just an okay purchase.'
'B09CNPVLWV','Good','4.0 out of 5 stars','Quality is good'
'B09CNPVLWV','Good quality','5.0 out of 5 stars','Fine quality and well fitted Must buy'
'B09CNPVLWV','Max legging','5.0 out of 5 stars','Superb quality'
'B09CNPVLWV','very good','4.0 out of 5 stars','its good. my wife loved it, esp the color.'
'B09CNPVLWV','Quality','4.0 out of 5 stars','Colour and size of product is good as same as shown on Amazon'
'B09CNPVLWV','Good','5.0 out of 5 stars','Good'
'B09CNPVLWV','Waste','3.0 out of 5 stars','Not worth for money'
'B09CNPVLWV','Pretty','4.0 out of 5 stars','But colour is kind of different'
'B09CNPVLWV','expected','4.0 out of 5 stars','expected'
'B09CNPVLWV','White one runs small','3.0 out of 5 stars','Used Max leggings L size since long. Accordingly ordered off white leggings in L. However, it runs somewhat small.'
'B09CNPVLWV','True to size, economical leggings that serve the purpose well','5.0 out of 5 stars','Good quality leggings that is true to size, washes well & serves the purpose'
'B09CNPVLWV','Perfect','5.0 out of 5 stars','Max always has the best of fabric. Very comfortable fit and material - first wash slight color bleeding but quality of cloth not compromised. Love the color.'
'B09CNPVLWV','Great fitting','5.0 out of 5 stars','This product can be used in a versatile manner. The elasticity of the product is also good. There is a slight shimmer to the material and hence goes well with most kurta. Do remember that it is an ankle length legging'
'B09CNPVLWV','Wonderful leggings','5.0 out of 5 stars','Color did not run! Material is soft Stitch is good!'
'B09CNPVLWV','Awesome','5.0 out of 5 stars',"Leggings fits nicely 'XL' height 5.2 weight 67 kgs . Go for it."
'B09CNPVLWV','As expected','4.0 out of 5 stars','Good material, Good fit ok price.... could be cheaper'
'B09CNPVLWV','I had wear once, I felt that one part is short, very bad','1.0 out of 5 stars',"The media could not be loaded. After one time wearing I felt one part is long and other is short It's now useless for me i can't change it Or return it Please don't buy this"
'B09CNPVLWV','Bad stitching','2.0 out of 5 stars',"Stitching isn't straight"
'B09CNPVLWV','Good','5.0 out of 5 stars','Perfect fit and colour matches as display'
'B09CNPVLWV','superbb','5.0 out of 5 stars','excellent.. price too high'
'B09CNPVLWV','Comfortable','5.0 out of 5 stars','Comfortable size xl'
