item,title,rating,body
'B09DVXXVNP','Good','4.0 out of 5 stars','Good product'
'B09DVXXVNP','Good quality and price too','4.0 out of 5 stars','This mouse pad impresses with its exceptional quality and smooth surface. It offers precise tracking and ample space for fluid mouse movements. The non-slip base adds stability during intense usage. A definite upgrade for a seamless and enjoyable computing experience (not for gamers).'
'B09DVXXVNP','QUALITY NOT GOOD.','1.0 out of 5 stars','BAD PRODUCT. NO VALUE FOR MONEY. AT THIS PRICE GO FOR OTHER PADS. ALSO NO RELEVANCE OF VEGAN. DONT FALL FOR THESE TRAPS.'
'B09DVXXVNP','Premium Lether Pad','4.0 out of 5 stars','The media could not be loaded. This product looks good. It looks like premium. Today I started using. I have to see its durability in longer period. But i felt the item not sticking to the floor but moving along with mouse that should not be the case. The product is looking good. The length of the item is bigger in size. Very elaborative. not much place consuming. It will be good to use by anyone to use mouse at your hime. But before you buy once again please do check the quality of item by reviews especially. Thank you and enjoy the product.'
'B09DVXXVNP','Best mouse pad in the market','4.0 out of 5 stars','Leather quality was good stitching was good and durable'
'B09DVXXVNP','Good one','5.0 out of 5 stars','Very comfortable to use, and the leather texture is good. smooth. Just I liked it.'
'B09DVXXVNP','not for gaming.','1.0 out of 5 stars','do not use it for gaming. i warn you.'
'B09DVXXVNP','its good','5.0 out of 5 stars',"getting it for the 1st time. so far it's good. I haven't used it for gaming since I'm not a gamer. but it looks and feels durable. Both sides can be used without any problem. the mouse just slides effortlessly. although, it may be very slippery depending on the type of surface it's kept on. Overall a good mouse pad."
'B09DVXXVNP','Very bad product','1.0 out of 5 stars',"It's not good for any mouse"
'B09DVXXVNP','Best','5.0 out of 5 stars','The Best Product With Best Quality And Packing Is Also Good'
'B09DVXXVNP','Excellent product','5.0 out of 5 stars','Great use for mouse, excellent'
'B09DVXXVNP','Really good product.','5.0 out of 5 stars','This product is of good quality. It had really good packaging and finishing. Loved it. Will be ordering more of it.'
'B09DVXXVNP','Does not have a grip','1.0 out of 5 stars','Not worth buying.'
'B09DVXXVNP','Better then normal mouse pad','4.0 out of 5 stars','Sitiching and material is good.'
'B09DVXXVNP','Best low price mousepad','5.0 out of 5 stars','This is the best mousepad for just 200 rs, leatherette quality is good,overall feels way more premium than its price'
'B09DVXXVNP','Not very great, too light weight..keeps slipping','1.0 out of 5 stars','Not very great, too light weight..keeps slipping'
'B09DVXXVNP','Nice product','5.0 out of 5 stars','Gud product value for money'
'B09DVXXVNP','Stylish but useless','1.0 out of 5 stars',"The leather makes it very hard to move the mouse. Don't recommend."
'B09DVXXVNP','Bad product','1.0 out of 5 stars',"Not happy , bad product,don't buy. Do not buy bad product  Bad product of world don't buy this. Bad product"
'B09DVXXVNP','Looks good but not usable','2.0 out of 5 stars','The mouse pads slips a lot and there are no returns.'
'B09DVXXVNP','Good Product','4.0 out of 5 stars','Smooth and flexible'
'B09DVXXVNP','Amazing','5.0 out of 5 stars','Looks classy'
