item,title,rating,body
'B09DYLKLDR','Looks Sturdy and All in one product for home and professional','4.0 out of 5 stars',"It is just overview review not based on actual use. I purchased this for home use, I am not the professional. Reviews are not satisfied for the product yet I chose this because of reasonable price and I don't have heavy use, plus there are tons of useful utility at one place. It is very organised and product looks professional. Overall good purchase and definitely useful for home use. go for it. Only thing noticed on dry run is there is sparking inside the machine. I don't know I should worry about it or not. Let's hope for the best."
'B09DYLKLDR','Excellent Product for home use','5.0 out of 5 stars','The drill set all the necessary tools required and the quality is very good... Please go for it'
'B09DYLKLDR','Price guaranteed product','5.0 out of 5 stars','Good product for the price given'
'B09DYLKLDR','Quality is nice to me but i wanted to say it is costly.','4.0 out of 5 stars','Quality is nice to me but i wanted to say it is costly.'
'B09DYLKLDR','Superb','5.0 out of 5 stars','A very useful and excellent quality product'
'B09DYLKLDR','Dill is not working','1.0 out of 5 stars','Drill is not working'
'B09DYLKLDR','The product is as mentioned.','5.0 out of 5 stars','it is compact. product requires you to write a reveiw'
'B09DYLKLDR','Nice','4.0 out of 5 stars','Very useful product'
'B09DYLKLDR','Good','5.0 out of 5 stars','Good'
'B09DYLKLDR','Good','5.0 out of 5 stars','Product is delivered in good condition and working as expected'
'B09DYLKLDR','Awesome','5.0 out of 5 stars','Very good product, very useful for me for daily home use.'
'B09DYLKLDR','Some Parts missing','4.0 out of 5 stars','Carbon brush & concrite Drile beat missing'
'B09DYLKLDR','About','4.0 out of 5 stars','I liked the drilling machine most'
'B09DYLKLDR','This product total waste','1.0 out of 5 stars',"This product is worst👎 don't buy don't waste your money"
'B09DYLKLDR','Nice all tools and packing','5.0 out of 5 stars','Good product'
'B09DYLKLDR','In box two 2 extra corbons missing, toolkit quality is not expected','2.0 out of 5 stars','In box two 2 extra corbons missing, toolkit quality is not expected'
'B09DYLKLDR',"Worst product don't buy",'1.0 out of 5 stars','The media could not be loaded. Do not buy..unable to use for occasional household fixing purpose.. Burnt & smoked for just 5 holes'
'B09DYLKLDR','Concrete drilling is not possible','2.0 out of 5 stars','My house is 8 years old, I used this machine to drill a screw but its not strong enough to drill a wall. Took nearly 30 minutes to drilling a centimeter.'
'B09DYLKLDR','Average','4.0 out of 5 stars','OK product.'
'B09DYLKLDR','Worst product','1.0 out of 5 stars','Worst product money full of waste.not working'
'B09DYLKLDR','Product is fine','5.0 out of 5 stars','Value for money'
'B09DYLKLDR','Great work','4.0 out of 5 stars','Very good 👍  Thanks for your team'
'B09DYLKLDR','Good for regular home work','4.0 out of 5 stars','Very good for regular home work and maintenance very easy to use and versatile'
'B09DYLKLDR','Excellent product. More powerful driller than bosch in much low price,','5.0 out of 5 stars','You can buy it. this is good product. Components are good quality.'
'B09DYLKLDR','Knife missing','4.0 out of 5 stars','Missing knife other is good'
'B09DYLKLDR','Note so i recived demaged product qulity is not good ,Plier is broken','1.0 out of 5 stars','Note so i recived demaged product qulity is not good , Plier is broken and pin was also demaged'
'B09DYLKLDR','Good one for home use','4.0 out of 5 stars','Consumables included are not up to the mark. You may need to purchase drill bits and all for your ease of job. Machine is good. Not for heavy jobs.'
'B09DYLKLDR','Not Good quality product','2.0 out of 5 stars','Screw bits are off poor quality .. and drill machine gets heated after a couple of minutes of usage.. quality of tools like pliers isn’t good .. started to catch rust after 2 days of opening the set..'
'B09DYLKLDR','Its good for home use','4.0 out of 5 stars','Nice for home working very good tool'
'B09DYLKLDR','plier is broken','1.0 out of 5 stars','Plier is broken. I check today and it was broken. And i want to replace it but miss by 2 day'
'B09DYLKLDR','Very good for home DIY work','5.0 out of 5 stars','No comments for now'
'B09DYLKLDR','Good','5.0 out of 5 stars','Good'
'B09DYLKLDR','Very Good machine','5.0 out of 5 stars','Machine working good Tools are very useful'
'B09DYLKLDR','not good quality','1.0 out of 5 stars','not good quality , broke down in month use'
'B09DYLKLDR','Nice one','5.0 out of 5 stars','Nice products'
'B09DYLKLDR','Very powerful drill machine','4.0 out of 5 stars','It is very useful tool kit which includes powerfull drill machine alongwith other usefull tools for repairing'
'B09DYLKLDR','Drill machine speed','2.0 out of 5 stars',"Hold it by the hand drill machine speed Don't buy this product I was deceived"
'B09DYLKLDR','Satisfied','5.0 out of 5 stars','Very impressive product as expected'
'B09DYLKLDR','Excellent product','5.0 out of 5 stars','Very useful and good collection of tools'
