item,title,rating,body
'B09GLWQZ83','Quality is not good','3.0 out of 5 stars','Could be better in quality'
'B09GLWQZ83','Good enough for light winter.','4.0 out of 5 stars','Fashionable garment with protection from light cold weather like 18-20 deg C.'
'B09GLWQZ83','Bad quality wool','1.0 out of 5 stars','Pills appear within a week of use'
'B09GLWQZ83','Good','4.0 out of 5 stars','Good product'
'B09GLWQZ83','Perfect','5.0 out of 5 stars','My little lady loved it and she looks good in it perfect fir'
'B09GLWQZ83','Hard material','1.0 out of 5 stars','Material is not good'
'B09GLWQZ83','Excellent','5.0 out of 5 stars','Excellent product tq so much Amazon'
'B09GLWQZ83','Good','4.0 out of 5 stars','Only smal thing the design is showing small holes'
'B09GLWQZ83','Nice','5.0 out of 5 stars','Nice and perfect'
'B09GLWQZ83','Excellent','5.0 out of 5 stars','Very good quality.'
'B09GLWQZ83','Fabric uncomfortable!!','2.0 out of 5 stars','Fabric not that good and comfortable. But give a good look after wearing.'
'B09GLWQZ83','Beautiful cardigan worth the price','5.0 out of 5 stars',''
'B09GLWQZ83','It’s too small for me. No price tack is there','1.0 out of 5 stars','Please I want to return it the delivery boy did not took it because no price tack was there please I request you again to return it thanks'
'B09GLWQZ83','Looks good but bad material used','3.0 out of 5 stars',"The sweater looks good but material used is very rough and not stretchable. Can't wear it for long time as it starts to feel uncomfortable because of the texture it has. I was expecting a softer wool like usual cardigan."
'B09GLWQZ83','Good quality but not for heavy cold area.','4.0 out of 5 stars','Great material with good design....but I wish it has S size as M size is large .'
'B09GLWQZ83','product large exchange is taking time and quality is poor. do not buy from this vendor','1.0 out of 5 stars','bad quality poor delivery and a lot of delay in response. this vendor must be avoided for any woolen purchase.'
'B09GLWQZ83','Okay ok product, but not according to the price','3.0 out of 5 stars',"Not very thick. Buttons are loosely stitched. But long enough and has good look. Price doesn't meet quality expectations"
'B09GLWQZ83','Nice design but material is very thin.','3.0 out of 5 stars',"The product quality is bad as its material is very thin. It doesn't give much warmth. It is suitable for early winter. It looks very stylish."
'B09GLWQZ83','Comfort','5.0 out of 5 stars','Nice thing'
'B09GLWQZ83','Size is large and there is no price tag','1.0 out of 5 stars',''
'B09GLWQZ83','Not matching with the pic','2.0 out of 5 stars',''
'B09GLWQZ83','Awesome !','5.0 out of 5 stars','Wool quality, knittting pattern, dress design, stitching; all perfect ! Superior product. Warm enough for temp up to 19°c. Fashionable.'
'B09GLWQZ83','Value for money','5.0 out of 5 stars','Quality of the product is good. Perfect fitting'
'B09GLWQZ83','Great expectations not good !','4.0 out of 5 stars','Not as warm as I thought it would be !'
'B09GLWQZ83','Very bad,worst quality','1.0 out of 5 stars',"Very bad don't go for it"
'B09GLWQZ83','Excellent.. Worth for money','5.0 out of 5 stars',''
'B09GLWQZ83','Only fashion','2.0 out of 5 stars',"Not good quality, it's not warm."
'B09GLWQZ83','Awesome','5.0 out of 5 stars','Go for it fit and comfortable too....!!!'
'B09GLWQZ83','Excellent','5.0 out of 5 stars','This product is verry beautiful and good comfortable'
'B09GLWQZ83','Style received is completely different','2.0 out of 5 stars',"Product material is ok. But nowhere close to what it's shown. Its shown here as near knee length sweater with collars. But what I received was cardigan...till waist length and without collars."
'B09GLWQZ83','Excellent Product','5.0 out of 5 stars','Excellent Product ... Made me to go for one more'
'B09GLWQZ83','Good product','4.0 out of 5 stars','Product quantity is good'
'B09GLWQZ83','Very worst quality changed the colour also','1.0 out of 5 stars','Very worst quality and ordered one colour and received one colour'
'B09GLWQZ83','Too good','5.0 out of 5 stars','The material,everything is good about this winterware,just go for it without a second thought'
'B09GLWQZ83','Fabric','5.0 out of 5 stars','Awesome product'
'B09GLWQZ83','Good 👍','5.0 out of 5 stars','Good product No comments'
'B09GLWQZ83','Good product','5.0 out of 5 stars','Product as expected and good'
'B09GLWQZ83','Poor Quality','2.0 out of 5 stars','Stiching is very poor. Design wise good. Stiching at button hole is almost torn and loose. Thread were loose and. The weaving has been opening bcz of poor stiching.'
'B09GLWQZ83','Requested return and refund. The item still needs to be picked up','2.0 out of 5 stars',"Request return and refund. Wool is not warm at all. Size also doesn't fit. Tight in arms"
'B09GLWQZ83','Look like old ..no shine in the clothes','3.0 out of 5 stars','Look like old no shine....and quilty also not good'
'B09GLWQZ83',"Don't like",'1.0 out of 5 stars','Material is not good. Does not warm. Poor fabric'
'B09GLWQZ83','Low quality product','1.0 out of 5 stars',''
'B09GLWQZ83','Within the price, I say the product is decent.','5.0 out of 5 stars','I like the fabric and the stitches within the price, soft, lightweight, fits faultlessly person to person.'
'B09GLWQZ83','The colour is totally different than the photo','3.0 out of 5 stars','The color is different and not bright.. rather dull pinkish not red. Fitting and quality are good. At this price 759 I decided to keep it'
'B09GLWQZ83','Good 👍','5.0 out of 5 stars','Good product 👌'
'B09GLWQZ83','No size tag on product,ordered L and looks small size as no size tag on priduct','2.0 out of 5 stars','Size too small'
'B09GLWQZ83','Go for it .','5.0 out of 5 stars',"Go for it it's super amazing 🤩"
'B09GLWQZ83','Nothing to say','4.0 out of 5 stars','Not worth above 600/_'
'B09GLWQZ83','you can always trust on it','5.0 out of 5 stars','go for it'
'B09GLWQZ83','Good one','5.0 out of 5 stars',"The sweater is really good and stylish too. It's actually woolen."
