item,title,rating,body
'B09JSRBPP7','Absolutely Substandard pillow','1.0 out of 5 stars',"This is not how it's advertised. It's absolutely Substandard and on the first use felt like using a normal pillow. When I lie down with my head and neck on it, it compresses fully and makes me feel there is no pillow at all. Because of that, there is strain in my neck.  Please avoid."
'B09JSRBPP7','Pillow cover not provided.','2.0 out of 5 stars','Pillow is good but Pillow cover not provided as mentioned in the product description and if you try to replace the exchange is showing 7 days to return and exchange while it was delivered within 1 day of purchase.'
'B09JSRBPP7','Good','5.0 out of 5 stars','Very nice Yellow Kanwariya Kawar is very nice and very cheap. It is of very good quality. And I got it at a very cheap price, I am very happy with it.'
'B09JSRBPP7','I just ordered a Cloud!','5.0 out of 5 stars',"Finally the pillow I always wanted. I know it's expensive but I really wanted one very comfortable pillow badly due to constant neck pain after a long working hours."
'B09JSRBPP7','The pillow cover is very soft','5.0 out of 5 stars','The pillow cover designed by white willow is the best fit for a pillow. The pillow cover is very soft for the skin and easily washable. Mellow and fluffy and is a budget product. Thanks to white willow for this amazing product.'
'B09JSRBPP7','No climate control or cooling foam as advertised','2.0 out of 5 stars','The pillow is same as all pillows out there when it comes to the reality there us no such cooling features as advertised. So buy it knowing it is just another pillow you will find in your near by shops.'
'B09JSRBPP7','Good product','5.0 out of 5 stars','Good product very soft .Very premium quality pillow cover, it is looking very good, and perfectly fit with the pillow.'
'B09JSRBPP7','Good quality','5.0 out of 5 stars','Fabric is very good and good quality this product'
'B09JSRBPP7','Nice','5.0 out of 5 stars','This is very nice quality pillow cover. After 3 wash this pillow cover looks like brand new,very low weight.this is really nice'
'B09JSRBPP7','Very good.','5.0 out of 5 stars','This pillowcase is a great product. It is soft, comfortable, and well-made. It is also specifically designed for ultraslim pillows, which is perfect for me. I highly recommend it!'
'B09JSRBPP7','Height wound not be even 3 inches when they claim 4-5','2.0 out of 5 stars','Not worth the money'
'B09JSRBPP7','Fantastic Pillowcase','5.0 out of 5 stars',"I'm extremely satisfied with this pillowcase. This pillowcase is fantastic – it's super soft, fits my pillow perfectly, and the fact that it's removable, washable, and has a zipper is a huge plus for easy maintenance. The grey color looks classy too. I'm really happy with this product and would definitely recommend it for a great night's sleep."
'B09JSRBPP7','good','5.0 out of 5 stars','very good and super softness. colour is also good. size is also good.'
'B09JSRBPP7','good product','5.0 out of 5 stars','very soft and comfortable i liked this product'
'B09JSRBPP7','Really great peoduct','5.0 out of 5 stars',"I am using thus since 3 years. Now my whole issues it. This pillow is great to sleep. And price is also good. It's good. Durable also. Definitely buy"
'B09JSRBPP7','Bakwas Pillow','1.0 out of 5 stars',"Intially 1-2 days after buying i felt quite comfortable but i didn't realise i had started getting backpain and neck stiffness because of the pillow."
'B09JSRBPP7','Super comfy','5.0 out of 5 stars','I use this every single day and it’s really helped with my neck pain. Since I work on a desk everyday - I have a lot of back problems. But this helps with those a lot :)'
'B09JSRBPP7','Very bad and not a pillow for sure','1.0 out of 5 stars',"The pillow never inflated after opening. It's been more than 3 days now. Will be calling the customer care and will see the response."
'B09JSRBPP7',"It's a waste of money.",'1.0 out of 5 stars',"Very poor quality.. it's waste of money.. It seems Amazon manipulate it's ranking... don't go for it. Amazon manipulate it's ranking."
'B09JSRBPP7','Uneven thickness','1.0 out of 5 stars','The pillow is deformed in shape. Unsatisfactory considering the high cost & poor quality.'
'B09JSRBPP7','Best orthopedic pillow','5.0 out of 5 stars','Excellent product and perfect for my neck pain'
'B09JSRBPP7','Product is not worth value','3.0 out of 5 stars','Product is good but not worth value.Too costly com pairing it’s price with other company'
'B09JSRBPP7','Great choice','5.0 out of 5 stars','Expensive but great quality. A budget option would be myarmor pillows.'
'B09JSRBPP7',"Product doesn't work",'1.0 out of 5 stars',"Product was supposed to expand to 5 inches within 48 hours but it's been more than 10 days. No expansion has taken place at all."
'B09JSRBPP7','Small size','2.0 out of 5 stars','Not, value for money'
'B09JSRBPP7','Too soft','2.0 out of 5 stars','Orthopedic memory foam is too soft. Initiated return and refund'
'B09JSRBPP7','Comfort','5.0 out of 5 stars','its really very nice pillow'
'B09JSRBPP7','Comfortable','5.0 out of 5 stars','Love it'
'B09JSRBPP7','Ideal for neck or upper back pain','5.0 out of 5 stars','There are no dislikes. The pillow is a boon to people who are suffering with neck pain or uppperback pain. The contouring of the pillow is good and is a good support for the head'
