item,title,rating,body
'B09K7KKLJ8','Quality','5.0 out of 5 stars','Good quality product by Amazon. Go for it.'
'B09K7KKLJ8','Good','5.0 out of 5 stars','Good'
'B09K7KKLJ8','Bahut khatiya and bekar he','1.0 out of 5 stars','Is pen 🖊️ ko khavi nhi kharede'
'B09K7KKLJ8','Good quality','5.0 out of 5 stars','Best product with in tha price'
'B09K7KKLJ8','Awesome product as a writing tool','5.0 out of 5 stars',"I've order the 1 pack of this pen, product is really nice, smoot writing tool, fine grip to hold as the diameter of the body is provide perfect comfort to hold during writing, Reynolds product is ever green and known for its quality since a long time."
'B09K7KKLJ8','Very light','1.0 out of 5 stars','Very disappointing never buy this pen'
'B09K7KKLJ8','Very nice writing but it is very small grip to handle','4.0 out of 5 stars','Like'
'B09K7KKLJ8','Old product,self life is decreased.','1.0 out of 5 stars','MRP is Rs.125.00 not 175/-, manufactur date Aug, 2021,'
'B09K7KKLJ8','Very nice, 💯','5.0 out of 5 stars','Product is cheap, but quality is great'
'B09K7KKLJ8','Wrong delivery','1.0 out of 5 stars','There were only 3 pens present in the delivery packet instead of 5 pens.'
'B09K7KKLJ8','Not working','1.0 out of 5 stars','Not a single pen working in this box'
'B09K7KKLJ8','Not working','1.0 out of 5 stars','Not even 1 pen is writing properly.. We are spending our hard earned money so do please provide working products only...'
'B09K7KKLJ8','Writting experience','4.0 out of 5 stars','It is a very light weight pen for writing. Had been using for a long time. Good and value for money .'
'B09K7KKLJ8','Old jun 2021 stock received ink leaking/not working','1.0 out of 5 stars','Worst experience, ordered replacement, no return option'
'B09K7KKLJ8','Good pen','5.0 out of 5 stars','Value for many, smooth pen,grip is also good.'
'B09K7KKLJ8','Value for money','4.0 out of 5 stars',"It's cheaper than the market value"
'B09K7KKLJ8','Nice product','5.0 out of 5 stars','The media could not be loaded. Nice product smooth and good hand grip'
'B09K7KKLJ8','Good quality pen set for this price.','5.0 out of 5 stars','The quality of the pen were nice. Worth the money.'
'B09K7KKLJ8','Good quality Pen set','5.0 out of 5 stars','Product quality is good , happy with the purchase.'
'B09K7KKLJ8','Lightweight Ball Pens','4.0 out of 5 stars','These lightweight ball pens offer a seamless writing experience, making them perfect for both school and office use. The 0.7mm tip size ensures precision, making my handwriting appear neater and more refined.  One of the standout features is the comfortable grip these pens offer. Even during long writing sessions, my fingers don’t tire out, thanks to the ergonomic design. The ink flow is smooth and consistent, without any skips or smudges, resulting in clear, legible writing.'
