item,title,rating,body
'B09L8LJ4K7','Very nice','5.0 out of 5 stars',"Worth for money I ordered medium size prefect for me and don't go for small size medium is crt size for lean one and top was flexible over all very nice ."
'B09L8LJ4K7','Nice cloth','4.0 out of 5 stars',"Love the colour and quality little bit loose but I'm size s soo that's fine"
'B09L8LJ4K7','Fake','1.0 out of 5 stars','Everything is poor about this product The product is not even same as shown in the pictures'
'B09L8LJ4K7','Blue 💙 Love','5.0 out of 5 stars','I actually loved it..soft..body hugging... lovely texture....'
'B09L8LJ4K7','It’s a perfect ribbed top','5.0 out of 5 stars','Perfect fit.. comfortable cloth and at this price.. amazing'
'B09L8LJ4K7','Nice product','5.0 out of 5 stars','Product is value for money and also the material is very comfortable'
'B09L8LJ4K7','nyc','5.0 out of 5 stars','nyc'
'B09L8LJ4K7','Good quality','5.0 out of 5 stars','I ordered 3 tops all are good in quality and feeling was just perfect👌👌'
'B09L8LJ4K7','Good and warm','4.0 out of 5 stars',"I liked the fit and all but it is for winters as it's favric is thick and warm, but overall a nice one"
'B09L8LJ4K7','Um','5.0 out of 5 stars','Um'
'B09L8LJ4K7','For whom who like the low neck.','4.0 out of 5 stars','The neck level is low which is too hot to see for whom who like the deep necks. My woman enjoying this as of now.'
'B09L8LJ4K7','Colour and Pattern Different','2.0 out of 5 stars','Different colour received from what is seen in the picture. Sleeves length not up to mark.'
'B09L8LJ4K7','Top','5.0 out of 5 stars','Exactly what I needed'
'B09L8LJ4K7','Good quality','5.0 out of 5 stars','Long lasting'
'B09L8LJ4K7','Amazing product','5.0 out of 5 stars','Amazing product beautifully fits comfortable and looks cute❤️💕'
'B09L8LJ4K7','Good product','5.0 out of 5 stars','Nice top, comfortable must buy, but the price is too much.'
'B09L8LJ4K7','Worth it!!','5.0 out of 5 stars','Comfortable fabric!! Trendy top!! Same as expected!!'
'B09L8LJ4K7','Good product','5.0 out of 5 stars','Must buy, the fabric and the fit'
'B09L8LJ4K7','Nice product.','4.0 out of 5 stars','Good Fabric quality, comfortable & soft material, perfect size, same colour as per shown in the picture. You can go for it...'
'B09L8LJ4K7','Waste of moneyy','1.0 out of 5 stars','Waste of money i have kept a return request its been a month but non of them turnedup Not recommended at all! Cheap quality'
'B09L8LJ4K7','Color is different','2.0 out of 5 stars','I bought beige but this is different color than beige, like yellow'
'B09L8LJ4K7','go for it','5.0 out of 5 stars','I just loved the product. If you have a big bust i don’t recommend it for it looks quite uncomfortable. The colour is not exactly as shown, but better than what is shown in case of the colour coffee brown. It’s a light shade and it isss pretty. Overall a good buy.'
'B09L8LJ4K7','Fine quality','5.0 out of 5 stars',"I like this top it's quality very fine .size and colour are perfect."
'B09L8LJ4K7','Quality','4.0 out of 5 stars','A little loose....but it is manageable somehow because of the good stretchablefabric'
'B09L8LJ4K7','Product quality','5.0 out of 5 stars','Fits perfectly well . True to size. Love the colour'
'B09L8LJ4K7','I loved the product so much','5.0 out of 5 stars','material is so good & thick but yeah can wear this in summer’s too'
'B09L8LJ4K7','Good product','5.0 out of 5 stars','Good'
'B09L8LJ4K7','pink diff colour','3.0 out of 5 stars','for pink colour is totally diff not as like pic'
'B09L8LJ4K7','Must buy','5.0 out of 5 stars','Amazing fit.. Nice quality'
'B09L8LJ4K7','Nice one!','4.0 out of 5 stars','Front side neck is Very deep. Otherwise all-over good.'
'B09L8LJ4K7','Material not good','1.0 out of 5 stars',"The material isn't good."
'B09L8LJ4K7','Please return product','2.0 out of 5 stars',"I don't like this top iss soo small is my size"
'B09L8LJ4K7','Good','5.0 out of 5 stars','Good'
'B09L8LJ4K7','Not so good','3.0 out of 5 stars','I did not like the fitting, color shade is way too different in actual, sleeves are not full So overall i did not like'
