item,title,rating,body
'B09MLM4LFW','Nice','2.0 out of 5 stars','Nice'
'B09MLM4LFW','Received damaged bucket','1.0 out of 5 stars','I have received damaged and broken bucket Please cancel this order'
'B09MLM4LFW','Yes...','5.0 out of 5 stars',"Good....quality wise it's superb..."
'B09MLM4LFW','Fantastic Product','5.0 out of 5 stars','The media could not be loaded. Fantastic product.. it is heavy and sturdy. The handle is perfect and attachment of solid grip is an added quality. Very very satisfied to buy two buckets. Thank you Amazon for this amazing product.'
'B09MLM4LFW','Sturdy','5.0 out of 5 stars','Plastic is of good quality but on the heavier side'
'B09MLM4LFW','Very strong','5.0 out of 5 stars','Very strong'
'B09MLM4LFW','Nice printed bucket','5.0 out of 5 stars','Usefull and sturdy'
'B09MLM4LFW','Very strong and durable bucket','5.0 out of 5 stars','The buckets are strong and sturdy. They feel durable. Go for it without a doubt'
'B09MLM4LFW','Good','5.0 out of 5 stars',"I'm fully satisfied."
'B09MLM4LFW','Best quality good product','5.0 out of 5 stars','The media could not be loaded.'
'B09MLM4LFW','Best','5.0 out of 5 stars','Best'
'B09MLM4LFW','Quality product','5.0 out of 5 stars','The quality of the product was good but it differs in colour and design of the product. Overall according to price its worth buying it.'
'B09MLM4LFW','look awesome','5.0 out of 5 stars','colour is white and pink.look is good and quality are great.'
'B09MLM4LFW','Good product','5.0 out of 5 stars','Value for money'
'B09MLM4LFW','Overall good and product','4.0 out of 5 stars',"It was pack of 2 in which I received one bucket with crack may be in transportation due to very poor packing inside. No policy of replacement available for this, only return policy which should be improved and updated. The bucket quality is nice and it's strong as well."
'B09MLM4LFW','Thankyou seller this amazing product . Please contact me me i want in bulk','5.0 out of 5 stars','Best premium bulty'
'B09MLM4LFW','Very good quality products','5.0 out of 5 stars','Very good quality products.'
'B09MLM4LFW','I am satisfied with this bucket','5.0 out of 5 stars','I bought this bucket for my daily use,to keep in my bathroom for storing water. It is really good quality,sturdy and strong bucket. Fit for my bathroom.I liked its color and design both. I am satisfied with my purchase.'
'B09MLM4LFW','খুবেই ধুনীয়া বাল্টি। কিনক বহুত কম দামতেই','5.0 out of 5 stars','এখন কিনিলে আৰু কিনিব মন যাব। বহুতেই কম দামত উন্নত মানৰ বাল্টি।  ডিজাইন খুবেই ধুনীয়া। মই ৯০ টকাত দুখন পাইছোঁ।'
