item,title,rating,body
'B09SPNKT16','black colour laptopcase for 15.6 inch','5.0 out of 5 stars','black case is good product with good durability for 15.6inch laptop with a quality material meeting the expectation from amazon basics'
'B09SPNKT16','Best at this price no compromise on quality 👌','4.0 out of 5 stars','Best 👌 👌 👌 👌 👌 price and quality'
'B09SPNKT16',"It's perfect.. The color ,the quality and the design.Same as the picture",'5.0 out of 5 stars',''
'B09SPNKT16','Not proper for Dell G15 5520','3.0 out of 5 stars','Item is good. I bought it for Dell G15 5520 gaming laptop but laptop fitted in it upto the chain. It becomes very hard to close the chain. Since 15.6 inch gaming laptop is somewhat thick at battery side and because of this, no space left in the sleeve i.e it is tight fit for Dell G15 5520. Manufacturer should provide at least one centimeter gap so that chain of the sleeve should be properly closed. Length and breadth should be increased at least one centimeter. Due to tight fit, two stars deducted.'
'B09SPNKT16','Quality','5.0 out of 5 stars','The quality is very good. You must go with this product without any hesitation.'
'B09SPNKT16','Comfy','5.0 out of 5 stars','Good protection for laptop and good quality also.'
'B09SPNKT16','Product.','5.0 out of 5 stars','Amazing product.'
'B09SPNKT16','Quality','5.0 out of 5 stars','bought it for my ASUS ROG STRIX G15 fit perfectly thanks AMAZON'
'B09SPNKT16','Not as good as shown I photos','3.0 out of 5 stars',''
'B09SPNKT16','Good quality','3.0 out of 5 stars','Very nice product good quality. I have given only 3 stars to the product because the size was not appropriate as per my laptop otherwise it is a very feasible product in this price range. Must buy it but please check the measurements before hand.'
'B09SPNKT16','Amazing product','5.0 out of 5 stars','Amazing product. Worth the money'
'B09SPNKT16','Good product','4.0 out of 5 stars','Good product and best comfortable to our laptop "Exceptional laptop sleeve! Sleek design, perfect fit, reliable protection. A must-buy for safeguarding your laptop in style. Highly recommended!"'
'B09SPNKT16','Damaged sleeve as it was folded in the package?!','1.0 out of 5 stars','I\'m so confused as to the reason behind the seller folding a perfectly fine laptop sleeve while sending the package? You can\'t even return it and it is common knowledge that "folding" this can certainly damage the product. The original sleeve is absolutely fine, but unsure why, the seller decided to fold it while packing and as a result I have a damaged sleeve.  So confused and disappointed.'
'B09SPNKT16','360 degree protection','5.0 out of 5 stars','Best quality 🌟🌟🌟🌟🌟'
'B09SPNKT16','Not good quality','1.0 out of 5 stars','This product is not as explained'
'B09SPNKT16','Best sleeve for 14 inch laptop','4.0 out of 5 stars','The size was almost perfect and the qualify and softness of sleeve is very better than other sleeves in the same price range I can say go for it'
'B09SPNKT16','Good Product at Good Price','5.0 out of 5 stars',"Super product... don't spend on costly sleeves... I got 14inch laptop this fits perfectly... good finishing... great feel!"
'B09SPNKT16','worth for 300 rupees.','3.0 out of 5 stars','a wonderful choice if u on budget.fits well but a bit big size for 13inch MacBook.'
'B09SPNKT16','Worthy purchase','5.0 out of 5 stars','Cushion is good . Gives a good protection to laptop'
'B09SPNKT16','Best Product..👌🏻','5.0 out of 5 stars','Very best product... good material... fit on my laptop Asus vivobook 15 pro'
'B09SPNKT16','Quality sleeve','4.0 out of 5 stars',"Good investment for extra safety of 14' laptops if you have other items in your laptop pocket of backpack. Not recommended for Mac product it's quite large for the apple product."
'B09SPNKT16','Too big for a 14in laptop','2.0 out of 5 stars','It is advertised for 14in laptop but it is big and can easily a 15in laptop. Too much extra room, doesnt feel very secure.'
'B09SPNKT16','Good purchase','4.0 out of 5 stars',"It's properly cushioned so protects from scratches and small accidents. I don't think its waterproof. Hope it lasts long"
'B09SPNKT16','Quality product','5.0 out of 5 stars',"Didn't expect this kind of quality at such low a price. The sleeve is well padded with foam and can prevent water from entering to some extent. And it perfectly fits on ."
'B09SPNKT16','Good ❤️','5.0 out of 5 stars','Fit &quality'
'B09SPNKT16','Perfect fit for 14.6 inch Samsung Tab S9 Ultra','5.0 out of 5 stars','Perfect fit for 14.6 inch Samsung Tab S9 Ultra'
'B09SPNKT16','Suitable','5.0 out of 5 stars','Suitable for laptops and comport size and easy handling'
'B09SPNKT16','Quality was nice','5.0 out of 5 stars','And it was soo smooth and soft And easy to carry'
'B09SPNKT16','Super awesome product','5.0 out of 5 stars','Must buy product ....its texture is soo good ....padding is superb ....liked the color and even the cloth....it is not like plastic as others....5 star to it...❤️😊'
'B09SPNKT16','Good one in this price range','4.0 out of 5 stars','The quality is great, can\'t say it\'s water resistant though. And yes! The reviews are right, go for the 13.3 inch variation for 14" laptops. Fits like a glove'
'B09SPNKT16','If you looking for quality product .','3.0 out of 5 stars','This is durable laptop sleeve and sufficient for laptop.'
'B09SPNKT16','Nice product','5.0 out of 5 stars','Good product'
'B09SPNKT16','AmazonBasics laptopss Sleeve','5.0 out of 5 stars','good sleeve at affortable price'
'B09SPNKT16','Good Quality','5.0 out of 5 stars','Quality is the material as well as zip is good. Padding will protect the laptop well.'
'B09SPNKT16','Quality','5.0 out of 5 stars',"Just go for it without thinking twice. At this price it's just superb quality nd cushioning everything is just amazing.."
'B09SPNKT16','Very soft and spongy foam !!','5.0 out of 5 stars','The media could not be loaded.'
'B09SPNKT16','Good but little heavy','5.0 out of 5 stars','Actually it has a great cusion quality like a pillow, but it felt it is little heavy but its really worth of money if u dont have a laptop or u brought the wrong laptop size cover i am sure you can have a great nap in this laptop case it is tht soft like a new luxury sofa set ..recommended to buy in this price range good product .'
'B09SPNKT16','Excellent','5.0 out of 5 stars','Sutable'
'B09SPNKT16','Perfect fit and good quality','5.0 out of 5 stars','Great product. Bought for my 15.6 laptop.'
'B09SPNKT16','Amazing','5.0 out of 5 stars','The Amazon basics laptop sleeve is definitely an amazing product. I loved the quality the foam is really good and it’s worth the price.'
'B09SPNKT16','Good sleeve for a reasonable price.','5.0 out of 5 stars','Impressive quality nd design'
'B09SPNKT16','Quality is good','5.0 out of 5 stars','Good quality'
'B09SPNKT16','Good quality','5.0 out of 5 stars','Go for it'
'B09SPNKT16','Laptop sleeve','5.0 out of 5 stars','Very elegant and protective.'
'B09SPNKT16','Perfect product by Amazon','5.0 out of 5 stars','The product is really very good with this price range. It is just perfect as it has double padding inside and the zip is also of good quality. Branding of Amazon Basics looks good. Perfect fit for Macbook Air M1. Do not think much and just purchase this product.'
'B09SPNKT16','Item not found suitable.','5.0 out of 5 stars','The item is too small and does not suit my requirement. I wish to return the same.'
'B09SPNKT16','Great bag for my laptop','5.0 out of 5 stars','The bag fits well and is a good sturdy protection for my laptop. The zip works great and the bag is really spongy and good for less fall damage'
'B09SPNKT16','Good Quality Product','5.0 out of 5 stars','Good quality 👍'
'B09SPNKT16','Superb ! Amazon','5.0 out of 5 stars','This product is soo soo good and worth every penny that it motivated me to write the review within a minute i saw it. It is so sturdy,soft l, premium looking also high quality fabric is used. Your laptop will be completely safe in this case.'
'B09SPNKT16','Best safety product','5.0 out of 5 stars','Very good product, i like it'
