item,title,rating,body
'B09SXXMPB4','Waste of money','1.0 out of 5 stars','Shrink after one wash.. not recommended'
'B09SXXMPB4','Misleading colours','1.0 out of 5 stars','The actual shirt is messy and different designs and totally darker colours'
'B09SXXMPB4','Budget friendly','4.0 out of 5 stars','Value for money , quality of fabric not to much good expected according to price, Overall Apperance look Good and good in fitting'
'B09SXXMPB4','Worst item','1.0 out of 5 stars','Was looking good. When washed it become a crop top. Worst cloth quality.'
'B09SXXMPB4','Nice fabric','4.0 out of 5 stars','Lived the print and loved the comfort and loved the fabric.. Just loved it'
'B09SXXMPB4','Poor quality','1.0 out of 5 stars','Not as expected waste of time.'
'B09SXXMPB4','Not that grate or bad in this price range','3.0 out of 5 stars',"You can buy this shirt as it comes very cheap in price so don't Expect extra"
'B09SXXMPB4','Polyster','2.0 out of 5 stars',"It's not rayon not happy with the product. So returning it back ."
'B09SXXMPB4','Satisfaction','5.0 out of 5 stars','I am fully satisfied worth for the money Good quality and Size of the shirt I love it.... Good product'
'B09SXXMPB4','Starter for this style','3.0 out of 5 stars','Stitching is not perfect. Design kind cool. Meterial is soft.'
'B09SXXMPB4','good','5.0 out of 5 stars','go for it'
'B09SXXMPB4','Good product but order with caution','1.0 out of 5 stars','Product quality is good but size is small compare to normal size chart and there was no tag on product...delivery guy argued to pickup the return.'
'B09SXXMPB4','Comfortable','3.0 out of 5 stars','I like it So soft nd silky cloth'
'B09SXXMPB4','Wash','5.0 out of 5 stars','After washing clothe shrinks better to go one size larger'
'B09SXXMPB4','A 5 ⭐ product','5.0 out of 5 stars','A product with quality worth its price for a different look'
'B09SXXMPB4','Exchange Not Completed','1.0 out of 5 stars','There Was no Price Tag or Price Label from Beginning & the delivery person is asking for the price tag to exchange the product, please do the needful to exchange the product'
'B09SXXMPB4','It shrinks','2.0 out of 5 stars','Was delighted with the product - till its first wash when it shrank, making it practically unwerable.'
'B09SXXMPB4','Comfortable','4.0 out of 5 stars','Nice for summer 🏝️🌞'
'B09SXXMPB4','Nice','4.0 out of 5 stars','Good cloth best for summer wear and beach wears'
'B09SXXMPB4','Poor quality','1.0 out of 5 stars','Very bad quality It shrinks after one wash now it is not fitting me'
'B09SXXMPB4','Nice','4.0 out of 5 stars',''
'B09SXXMPB4','Good','4.0 out of 5 stars','Good'
'B09SXXMPB4','Not as shown in the pic','1.0 out of 5 stars','Not at all as shown in the pic'
'B09SXXMPB4','Very bad.','1.0 out of 5 stars','It sinks after washing. Only one time use not recommended for second tym wearing. Bad quality and bad material.'
'B09SXXMPB4','Quality is good .. But fit is not good','3.0 out of 5 stars','The media could not be loaded.'
'B09SXXMPB4','Shrunk after first wash','1.0 out of 5 stars','Shirt was two sizes smaller after first wash'
'B09SXXMPB4','Good onee','4.0 out of 5 stars','Great Product just go for it!!'
'B09SXXMPB4','Bad Quality','1.0 out of 5 stars','Poor quality fabric'
'B09SXXMPB4','Good product','5.0 out of 5 stars','Nice product'
'B09SXXMPB4','Average Product','2.0 out of 5 stars','Inside of the cloth, where buttons & hole are, is made up of thin paper sheet. In one wash it will tear down.'
'B09SXXMPB4','bekaar','1.0 out of 5 stars','koe mt buy kroo ese'
'B09SXXMPB4',"Don't",'1.0 out of 5 stars','The quality is such that you can use it for 1-2 months only'
'B09SXXMPB4','Very low quality product','1.0 out of 5 stars','Just in one wash it shrinker from XL to small. Never buy it. Avoid the seller also.'
'B09SXXMPB4','Quality','2.0 out of 5 stars','After washing 2nd time clothes size decreased.'
'B09SXXMPB4','Fabric is not that great as compared to the price','3.0 out of 5 stars','As compared to the price fabric is not that great'
'B09SXXMPB4','Excellent Quality','5.0 out of 5 stars','Mind Blowing'
'B09SXXMPB4','Worst','1.0 out of 5 stars','Worst shirt. Very very very very poor quality'
'B09SXXMPB4','Poor quality','2.0 out of 5 stars','Can use 3-4 times ..'
'B09SXXMPB4','Nice','4.0 out of 5 stars','Nice'
'B09SXXMPB4','Color is exact same as shown in catalogue.','5.0 out of 5 stars','Satisfied with the color, the picture i posted i dull cause of my camera. Fitting is perfect for 6ft height person of L size or 42. Cloth is Synthetic but for this segment this would be ok.'
'B09SXXMPB4','Good product','5.0 out of 5 stars','Quality is nice, Would love to buy many of these with the same quality'
'B09SXXMPB4','Exact Fit, Good wear for Summer: Size "L" for 5\'7 n 75kg','4.0 out of 5 stars','Good stitching and fantastic Fit with loose cloth. Wow👏🏻'
'B09SXXMPB4','Quality and size','1.0 out of 5 stars','Quality is soo poor and size is small than XL.'
'B09SXXMPB4','Low quality product','2.0 out of 5 stars','It is low quality product, the stitches came out just after wearing twice. Please don’t waste your money on it.'
'B09SXXMPB4','Good Shirt','5.0 out of 5 stars','Good shirt, fits well. The shirt is light weight but comfortable to wear'
'B09SXXMPB4','Best of any Cuban collared shirts','5.0 out of 5 stars','The colors and pattern depicted in the website is exact.  This is made from a blended cotton material and is really easy flowing than viscose or synthetic material.  Love the fit. I wish there are more patterns and shirts listed so that I can buy more.'
'B09SXXMPB4','Got shrink after one wash','1.0 out of 5 stars','I bought xl size and wore it for one time and after washing it got shrink and become m size.'
'B09SXXMPB4','Love it','5.0 out of 5 stars','One of my favourites. Love the fit and feel of the fabric. Fits as expected'
'B09SXXMPB4','Worse','1.0 out of 5 stars',"Totally worst material, don't buy !!"
'B09SXXMPB4','Superb quality','5.0 out of 5 stars','I am very interested this product'
