item,title,rating,body
'B09T37CKQ5','Suffers from loose connection.','2.0 out of 5 stars','The charger always suffers from loose connection in Indian plug points.'
'B09T37CKQ5','Good','5.0 out of 5 stars','Good'
'B09T37CKQ5','Nil','4.0 out of 5 stars','It works. Nothing special'
'B09T37CKQ5','Bakwas, useless','1.0 out of 5 stars',"Don't buy it. Money waste"
'B09T37CKQ5','Value for money','5.0 out of 5 stars','Nice charger mera phone me 10W support karta hai to 3260mAh. 1.20 min me full kardeta hai ye mast charger hai 149₹ ✌'
'B09T37CKQ5','Flix charger 2.4 amp','5.0 out of 5 stars','The media could not be loaded. Good'
'B09T37CKQ5','Value for money with reliable output','4.0 out of 5 stars','Good charging of 2 gadgets simultaneously High speed charging kworks with limited devices Only con i see os some noise starts coming when you start charging after plugging in'
'B09T37CKQ5','Good product','5.0 out of 5 stars','Good product, works well , blue led indicator makes it more attractive'
'B09T37CKQ5','Waste of Money','1.0 out of 5 stars','First of all it’s not a fast charger and then it doesn’t even charge 1%'
'B09T37CKQ5','Best product','5.0 out of 5 stars','Best that i knoe'
'B09T37CKQ5','Dead in a month','1.0 out of 5 stars','Third class product. I tried to save money and learned a lesson. Get a charger from some other reputed brand.'
'B09T37CKQ5','Good product','5.0 out of 5 stars','Product is good and fast charging'
'B09T37CKQ5','The charging speed is not that great','2.0 out of 5 stars','The charging speed is not up to the mark specially for smartphones like iPhones and also build quality is not good needs improvement'
'B09T37CKQ5','Good','4.0 out of 5 stars','Good'
'B09T37CKQ5','Acha','5.0 out of 5 stars','👌👌'
'B09T37CKQ5','wonderful','5.0 out of 5 stars','Very Good Product'
'B09T37CKQ5','This product is so much helpful for fast charging for mobile, speaker.','5.0 out of 5 stars','The media could not be loaded. I like the most of the product which helpful for me.'
'B09T37CKQ5','This not 2,4 wats','3.0 out of 5 stars','This is a 1,5 Bates charger'
'B09T37CKQ5','Poor quality','1.0 out of 5 stars','Poor quality stopped working after 3 days'
'B09T37CKQ5','Compact for all phones','3.0 out of 5 stars','Charging speed was slow as it was 5v charger'
