item,title,rating,body
'B09TH2KDWN','Quality','3.0 out of 5 stars',"Flow is not good. It's dry."
'B09TH2KDWN','Pen is not smooth','2.0 out of 5 stars','The pen scratches on the paper. You will not feel a very smooth writing. I always buy Pilot V7 and my reference is the smoothness of that pen. There was a delivery charge attached to the Pilot pen thats why I tried Reynold, primarily due to its good name as a boll pen.'
'B09TH2KDWN','Ik','2.0 out of 5 stars','Okk'
'B09TH2KDWN','Okay, not for fast writing','3.0 out of 5 stars','I like the design, how ever quality can be better. On time delivery as committed by amazon'
'B09TH2KDWN','Wow','5.0 out of 5 stars','I love the pin-point nib. It gives a superb writing experience. Not to mention the waterproofing of the ink now. The body is thick hence giving a proper hold. I always feel that a thick body and a pin-point tip give the best writing experience.'
'B09TH2KDWN','Packing was ok','3.0 out of 5 stars','As per photos been pen was missing instead of that got black pen double.'
'B09TH2KDWN','Old product useless items sent','1.0 out of 5 stars','Old stock sent when tried to write with the pen it stop working after few lines'
'B09TH2KDWN','Good Quality','5.0 out of 5 stars','Best Gel Pen.'
'B09TH2KDWN','Fake item delivered used pens all pens are used','1.0 out of 5 stars','Used pens are delivered'
'B09TH2KDWN','Quality','5.0 out of 5 stars','Soft and smooth'
'B09TH2KDWN','Worst Quality','1.0 out of 5 stars','Ink is coming outbfrom the pen as shown in the picture'
'B09TH2KDWN','Good','5.0 out of 5 stars','Good'
'B09TH2KDWN','Useful for people with Sweaty Hands','5.0 out of 5 stars',"The pen's body gives better grip while writing and the ink is waterproof which helps me while working with sweaty hands. Been a trimax lover for years now, it has saved me a lot of exams!"
'B09TH2KDWN','Missing product','1.0 out of 5 stars','Only receive 1 pen 4 pen missing'
'B09TH2KDWN','Except 1 pen out of 5 was not working','4.0 out of 5 stars','It was good not excellent'
'B09TH2KDWN','Cheating to customers','1.0 out of 5 stars','Pens are sent with only fifty percent ink filled cartridges. This is cheating with the customers. Not at all the value for money. Amazon Please look into it.'
'B09TH2KDWN','Poor packaging','5.0 out of 5 stars','Pen is awesome ...no issues with pen... But packaging is poor.'
