item,title,rating,body
'B09TL1YCMS','Good','5.0 out of 5 stars',"It's good, material feels good"
'B09TL1YCMS','Best at the price','5.0 out of 5 stars','Best for the price and value The zip locking tech took me 5 minutes to understand but thats a good feature'
'B09TL1YCMS','Quality seems good but style has designing faults','3.0 out of 5 stars',"The quality is ok but there are some concerns regarding design & style of jacket. 1. Pockets are poorly designed, it hangs below the jacket. 2. You can't use it without zipping closed due big size loose pockets hangs out from jacket. 3. If it is not zipped till full, zipper will poke you on neck. 4. Little costly as per quality"
'B09TL1YCMS','Very good joket but zip is not good','3.0 out of 5 stars','Jacket and fitting quality also good but zip is very low quality'
'B09TL1YCMS','Waste of money','1.0 out of 5 stars','Very bad item'
'B09TL1YCMS','Best product','5.0 out of 5 stars','This jacket is become my favourite and i wear it everyday.'
'B09TL1YCMS','Good','5.0 out of 5 stars','Good, Perfect fiting.'
'B09TL1YCMS','See product','5.0 out of 5 stars',''
'B09TL1YCMS','Value of money','4.0 out of 5 stars','Gud product'
'B09TL1YCMS','Average','3.0 out of 5 stars','It will turn to bubble layer after washing'
'B09TL1YCMS','Sleeves are tight','3.0 out of 5 stars','Design is good, good material but I found sleeves tight so returned it.'
'B09TL1YCMS','Le looooo','5.0 out of 5 stars','42 chest m size lelo 1 no hai'
'B09TL1YCMS','STYLISH','4.0 out of 5 stars','The design is super stylish and it looks great with a tshirt. Need to see how durable it is in coming weeks.'
'B09TL1YCMS','Really good quality with best price. Liked it.','5.0 out of 5 stars','Very smooth and good quality product, just bought felt gooda and satisfied with material quality'
'B09TL1YCMS','Marvelous best worthy product. Value for money','5.0 out of 5 stars','The media could not be loaded. I liked the material of the product and i used this in monsoon season.'
