item,title,rating,body
'B09Z78LCSH',"Jeans not original - Levi's",'2.0 out of 5 stars','This is not seems to be original'
'B09Z78LCSH','Duplicate Product','1.0 out of 5 stars','The product is fake duplicate tags no fittings cheap quality'
'B09Z78LCSH','Very poor quality','2.0 out of 5 stars',"Not at all good quality very poor very thin not a branded one it's road side product Only labels are branded not the quality"
'B09Z78LCSH','Fabric is not of good quality','2.0 out of 5 stars','Fabric is thin. This product is sold by "Sold by Cocoblu Retail and Fulfilled by Amazon.". Returned the product. At the same time I have ordered another one "Sold by Levi\'s Strauss India Pvt Ltd and Fulfilled by Amazon.". Fabric of this Jean is good (Same size and Levi\'s 511).'
'B09Z78LCSH','Comfortable','5.0 out of 5 stars','Go for it'
'B09Z78LCSH','Product related','1.0 out of 5 stars',"Fake product don't purchase this"
'B09Z78LCSH','proven brand','5.0 out of 5 stars','proven brand'
'B09Z78LCSH','Worthy purchase.....','4.0 out of 5 stars','Levi fitting always works....Amazon delivery never fails.....good buy...'
'B09Z78LCSH','Quality','5.0 out of 5 stars',"Original product.....but I didn't understand y Amazon is selling original product at lover cost than showroom  But must buy it"
'B09Z78LCSH','Good','4.0 out of 5 stars','The media could not be loaded.'
'B09Z78LCSH','Perfect fit & good quality','5.0 out of 5 stars','Good quality and perfect fit.'
'B09Z78LCSH','value for money','5.0 out of 5 stars','nice'
'B09Z78LCSH','Genuine slim fit jeans!','4.0 out of 5 stars',"Absolutely genuine Levi's. I know, as have been wearing only Levi's jeans since 15 years. This is slim fit not skinny. So if you slightly loose, this is the one. Not stretchable, but not required also, as it's not skinny."
