item,title,rating,body
'B0B296NTFV','good product','5.0 out of 5 stars','goodproduct'
'B0B296NTFV','Cheap quality product','1.0 out of 5 stars',"Suddenly stopped working after 3 week.. hardly used it.. don't buy.. It is better to buy Logitech or hp mouse they might be little costly but it is better then wasting money on this cheap quality product."
'B0B296NTFV',"Didn't last long",'3.0 out of 5 stars','Pros: Reasonably priced, Wireless connectivity, Small & portable, Good for gaming thanks to 1200 DPI  Cons: I bought 2 mouse, 1st one got frequent disconnect issue & 2nd one for scroll issue within 6 months.  Conclusion: Good for normal use but get a better quality mouse if you play games.'
'B0B296NTFV','Low quality. Waste of money','1.0 out of 5 stars','It stopped working after 15days. I will not recommend this product'
'B0B296NTFV','Good quality product smooth and durable','5.0 out of 5 stars','Good quality product smooth and durable'
'B0B296NTFV','Stopped working in 2 weeks','1.0 out of 5 stars',"I thought it's a good product but working working in 2 weeks"
'B0B296NTFV',"It's good",'4.0 out of 5 stars','Good quality 😁'
'B0B296NTFV','Failed in 3 months!!','2.0 out of 5 stars','The mouse has stopped working in just 3 months of usage and despite multiple battery changes refuse to work. I just can’t believe the shelf life for this could be so bad.'
'B0B296NTFV','Terrible!','1.0 out of 5 stars','Terrible power consumption and build quality!'
'B0B296NTFV','Stopped working','2.0 out of 5 stars',"The mouse stopped working after 4 months, there is a loose connection at the back where battery is fixed ,, tried to look at it but won't work anymore"
'B0B296NTFV','Pathetic mouse','1.0 out of 5 stars','Unresponsive'
'B0B296NTFV','Excellent product at this price','5.0 out of 5 stars','Mouse works fine (review after 2 months of use) Seems excellent product at this price.'
'B0B296NTFV','Great Deal','5.0 out of 5 stars','Bahut hi Mast Mouse hai Maja agya 😁  Saste me aur kya chaie'
'B0B296NTFV','Good product','5.0 out of 5 stars','Works good. Mouse handling is also easy. Responds well.'
'B0B296NTFV','Scroll bar not working','2.0 out of 5 stars','Clicks and movement is fine, scrollbar not working at all. quality is good.'
'B0B296NTFV','Durable and Potable','5.0 out of 5 stars','It is very durable mouse. It is still working fine after a big throw with wall. Also, it is perfect in size that you can keep in your pocket as well whenever required to go in meeting room from your seat.'
'B0B296NTFV','Mouse scrolling button is not working now','3.0 out of 5 stars','The scrolling button is not working'
'B0B296NTFV','Good product','5.0 out of 5 stars','Good product. I like the battery saver feature. When in idle for long time, it automatically goes off. Slim mouse. Easy to move around.'
'B0B296NTFV','Perfect','5.0 out of 5 stars','Easy to use. perfect'
'B0B296NTFV','Getting ised product','1.0 out of 5 stars','Getting used mouse and Getting unsild package. Bluetooth receiver is missing in mouse. Very bed service.'
'B0B296NTFV','Awesome product','5.0 out of 5 stars','Very good product at this price.the working features are also pretty good.design and responsiveness is quite unbelievable'
'B0B296NTFV','Value for money','4.0 out of 5 stars','Pros - Feels good in hand. Works well. Power switches off when not in use, this saves battery  Cons- Scrolling rollerbis made of plastic. Finger feel sore when used for prolonged hours.'
'B0B296NTFV','Product not working after 5 months.','2.0 out of 5 stars','Product is not working after 5 month Money is wasted'
'B0B296NTFV','Drag function of mouse not working','1.0 out of 5 stars','Just after 2 weeks of purchase drag function of mouse has stopped working'
'B0B296NTFV','Unable to start','1.0 out of 5 stars','The media could not be loaded.'
'B0B296NTFV','Even not work for a week','1.0 out of 5 stars','Worst product by Amazon'
'B0B296NTFV','Auto off feature is awesome','5.0 out of 5 stars',"Amazing mouse in this range, grip, size and scroll is very favourable. One of the best feature is auto off, when you forget to switch off the mouse it's automatically done by self."
'B0B296NTFV','Good product','5.0 out of 5 stars',''
'B0B296NTFV','Worst product, do not buy!','1.0 out of 5 stars','Crappy product, usb Bluetooth dongle is not given along with the mouse . Amazon will not give replacement for this. My suggestion to buyers, better to avoid this product and buy offline.'
'B0B296NTFV','Superb','5.0 out of 5 stars','Nice Product'
'B0B296NTFV','Battery life','1.0 out of 5 stars',"Every 10 day I am replacing battery. It's very bad experience I have with this device. Stop working in between as well."
'B0B296NTFV','Stopped working in 10 days','1.0 out of 5 stars','Stopped working in 10 days'
'B0B296NTFV','Package was also good and mouse is also very good','4.0 out of 5 stars',''
'B0B296NTFV','Defective product','2.0 out of 5 stars','I don’t know what’s wrong with this but after just a week of using this mouse , it’s glitching alot. I have changed 3-4 batteries and the issue is not resolving and I ordered two of them because I really liked the colours however both are facing the same exact issue. Very bad experience tbh'
'B0B296NTFV','Lasted only for 3 months','1.0 out of 5 stars','Because of this brand name portronics, I went ahead to make a purchase. This mouse lasted for just 3 months and stopped working!!'
'B0B296NTFV','Good for the price','4.0 out of 5 stars','Works well with CP Plus DVR.'
'B0B296NTFV','Cheapest and good quality product','5.0 out of 5 stars','I have found this mouse as a cheapest yet excellent quality'
'B0B296NTFV','Usb not working','1.0 out of 5 stars','Bought 3 months ago now thr USB us not working. Kindly help'
'B0B296NTFV','Good product','5.0 out of 5 stars','Value for money'
'B0B296NTFV','is not working with smsung s8+ tablet','5.0 out of 5 stars','i bought this mouse today, however it is not connecting to my tablet samsung s8+ i wonder if it is compatible with adroid os and tablets. please reply if anyone can suggest with mouse shoulld i buy'
'B0B296NTFV','Not good. Less sensitive and very limited range','3.0 out of 5 stars','Not a good mouse. The pointer is not well calibrated. Range is also very less'
'B0B296NTFV','Randomly stops working','1.0 out of 5 stars','I bought this a month ago and it started freezing randomly. LED light goes off and mouse stops functioning. I claimed warranty and requested replacement. They sent me a new one and the new one replicates the same problem within one day of using it. The design of this mouse is faulty.'
'B0B296NTFV','Ok mouse, but very small ON/OFF switch','3.0 out of 5 stars','Ok mouse, but very small ON/OFF switch. Difficult to turn on/off and looks very delicate.'
'B0B296NTFV',"It's good",'5.0 out of 5 stars','Mouse is good and working fine'
'B0B296NTFV','Poor experience','1.0 out of 5 stars','Delivered partial items . Looks like a used product. Bad experience'
'B0B296NTFV','Nice product','5.0 out of 5 stars','Affordable and nice quality'
'B0B296NTFV','Good one','4.0 out of 5 stars','Doing ok for my works .Let’s see'
'B0B296NTFV','waste product...','1.0 out of 5 stars','waste product...within one month it will be damaged...and not working'
'B0B296NTFV','Excellent Mouse for this price.','3.0 out of 5 stars','Awesome quality product . Very light weight product and dpi is working perfectly.'
'B0B296NTFV','Thank you portronics👍','5.0 out of 5 stars','Works very well and looks good too. Its build quality is very good. It is a very good mouse at this price.'
