item,title,rating,body
'B0B3S2Z5GM','Normal quality','4.0 out of 5 stars','Product normal,amount high.'
'B0B3S2Z5GM','Nice','5.0 out of 5 stars','Very good'
'B0B3S2Z5GM','Very nice one','5.0 out of 5 stars','Very nice Jacket. Fit, comfort and material are very good. Would recommend...'
'B0B3S2Z5GM','Good value for money','4.0 out of 5 stars',"It's good"
'B0B3S2Z5GM','Looks very nice and colour is so good','5.0 out of 5 stars','Awesome product'
'B0B3S2Z5GM','Best in this price segment.','5.0 out of 5 stars','Like the jacket very much look cool and stuff was very nice.'
'B0B3S2Z5GM','Colour','4.0 out of 5 stars','Same as shown in picture and go for L size it would be perfect for all and material is not that much thick, but it is very good in this price range'
'B0B3S2Z5GM','Amazing!!!','5.0 out of 5 stars','The product is really amazing.... Cloth quality is really great... After you ware it it gives good look...I also like the color choices.... It fits as expected... I really like it...'
'B0B3S2Z5GM','Great Product','5.0 out of 5 stars','Amazing product. Fits to size. Looking for an affordable denim jacket?? Go for this one. Also various colours to choose from.'
'B0B3S2Z5GM','Jacket is cool','5.0 out of 5 stars','Quality is good as per my expectations.  Looking good with a tshirt as well.  Good for office wear & party wear both.'
'B0B3S2Z5GM','Worst Quality product','1.0 out of 5 stars','Totally a worst quality product and the color will get lighter after 1st wash. Even the size is not on standard parameter.'
'B0B3S2Z5GM','Comfortable to wear','5.0 out of 5 stars','This denim jacket feels stiffer to the touch with added weight. The stitching looks higher quality as well. From the pattern to the fabric it can give a better look on its wear.'
'B0B3S2Z5GM','Amazing quality','5.0 out of 5 stars','Amazing quality with perfect fitting.. Love the texture and look so smart while wearing this denim'
'B0B3S2Z5GM','Amazing product','5.0 out of 5 stars','Really amazing product. Fits perfectly. If you are looking for a affordable denim jacket you can go for this one. There are a variety of colours available you can choose which ever you like.'
'B0B3S2Z5GM','Perfect','5.0 out of 5 stars','It comes with good color and design. Perfect comfort for winter collection. It looks great with black jeans.'
'B0B3S2Z5GM','Value for money','5.0 out of 5 stars','Excellent quality product.It looks so stylish and fashionable denim jacket.It fits very well , the cloth quality is good and very comfortable to wear.It looks classy in navy blue.Its color not fade or get dull after wash.must buy denim jacket'
'B0B3S2Z5GM','Premium quality material','5.0 out of 5 stars','Look and design of the denim is super. Material quality is premium one. Fitting of the jacket is perfect.'
'B0B3S2Z5GM','Good looking and perfect fitting.','5.0 out of 5 stars',"Hello friends i am using jockets regularly , my old jocket was damaged so i am ordering new jocket it's quality was excellent and material used by made super i am very happy because it's styles and low price also."
'B0B3S2Z5GM','Classy Design','5.0 out of 5 stars',"I fell in love with this denim jacket. The design look so trendy and elegant. It's so versatile and can be paired with anything. The fit is also very good and material is very comfortable to wear."
'B0B3S2Z5GM','Wow! What a finishing and comfort !!','5.0 out of 5 stars','This is really amazing and the fabric used is really smooth and comfortable and the thread used and the threadwork done is done really professionally and prefectly guys ! Srsly , I was amazed to see the Jacket. It really looks so cool the buttons used were really attractive and suits it well and the finishing and design is tip top also it it so comfortable from arms and from shoulder and it is a perfect fit for me & I am really satisfied with my purchase and the quality of fabric used is so soft and comfortable with soft texture and looks super cool on me & also it comes in good well packed and the blue colour suits it well on me , I would strongly suggest you all to buy it and I can say it will suits you really well'
'B0B3S2Z5GM','Perfect material','5.0 out of 5 stars','In this range it is best product. It is very stylish jacket. Material is too good. Design is very unique and colour combination is perfect. For this generation it is best jacket. Personally i liked this jacket. It is very light weight jacket.'
'B0B3S2Z5GM','Good one','5.0 out of 5 stars',"Product is great at quality, fit is perfect as it's material and look, couldn't be better at this price. Like it"
'B0B3S2Z5GM','Cloth quality is good','5.0 out of 5 stars','Denim jacket looks good in cloth quality and in design. Colour looks awesome to me.lengthwise it fits well to me. Overall good choice at this price.'
'B0B3S2Z5GM','worth every penny and fabulous.','5.0 out of 5 stars','beautiful design and a good colour combination.perfectly stitched together and colour will also stay for long time...best for parties ..materials are of best quality .it also gives an extraordinary feeling ..truely satisfied ..'
'B0B3S2Z5GM','Quality denim!','5.0 out of 5 stars','Recently purchased this HubberhoIme denim jacket and I really liked the quality of the denim and design. The fabrics used in it is good and in range and better price than other branded jacket. Overall decent one!'
'B0B3S2Z5GM','Amzing quality jacket','5.0 out of 5 stars','Quality is really commendable, bought this for my brother and he looks too handsome in this Jacket.'
'B0B3S2Z5GM','Best Denim Jacket','5.0 out of 5 stars',"This Denim jacket is an awesome men's wear. The cloth materials used in jacket feels very premium and also looks very premium. The jacket comes exactly as shown in the picture and the colors are also accurate. This jacket fits perfectly. I would highly recommend this to everyone ."
'B0B3S2Z5GM','Comfortable and solid','5.0 out of 5 stars','The media could not be loaded. Jacket is cool lookwise and jeans is solid. Nice jacket In this range. Fit as expected and no issue with the size I ordered for myself is perfect fit to me.'
'B0B3S2Z5GM','Good quality material and super looking.','5.0 out of 5 stars',"Hello friends now a days all youth using jackets because it's very stylish and comfortable that's why I am ordering one hubberholme jacket in Amazon it's looking was very stylish 👌 and material used very good , perfect fitting also different colors also there thanks for Amazon given this excellent jackets."
'B0B3S2Z5GM','Casual night stylish wear','5.0 out of 5 stars','The material of the jacket is very soft the stitching is on point and the measurements are given perfect just what a causal night needs'
'B0B3S2Z5GM','Average','3.0 out of 5 stars','That product have average quality.'
'B0B3S2Z5GM','Stylish and comfortable','5.0 out of 5 stars',"Love this jacket it's look super stylish and the colour and shade is looking dope fabric is comfortable and lightweight got just what expected."
'B0B3S2Z5GM','Fits Good','5.0 out of 5 stars','Overall the fitting was nice and I use it as an alter for a blazer. The weight is quite good as per with material and the color is nice as well. I majorly in search of a blazer but was confused to take...then I bought this as it will work on casual as well as during the occasional wear. I liked it..'
'B0B3S2Z5GM','Fabulous...','5.0 out of 5 stars','Fully satisfied with the denim, Top notch. Looking so good and stylish. It is very comfortable. Product quality is superb and perfect fitting. For this price rang definitely you should go for it blindly.....'
'B0B3S2Z5GM','Great','5.0 out of 5 stars','Awesome jacket & colour is good. It can be wear in any season. My lenth in 5. 8ft and I purchased m size. This size is perfect for me.'
