item,title,rating,body
'B0B3TLB5GG',"Doesn't perfectly fit.",'2.0 out of 5 stars','You should take 13.3 inch sleeve for a 14 inch laptop bcz it fits perfectly than the 14 inch sleeve.'
'B0B3TLB5GG','Satisfied with product quality','5.0 out of 5 stars',"Product is good soft cushion for laptop. Didn't tested for waterproof claim. But that's ok"
'B0B3TLB5GG','Good product','5.0 out of 5 stars',"Colour and size is perfect. Price a bit higher as per the quality but overall it was worth buying. Material is good and from inside it's like soft foam. Note:- this cover is only to protect laptop from dust and all. It gives no drop protection. Hope this review will help you purchasing it."
'B0B3TLB5GG','Not water proof or resistant','5.0 out of 5 stars','This case may prevent any damage due to miscarriage but is not water resistant to little rain as your laptop will get wet inside.'
'B0B3TLB5GG','Quality and looks','5.0 out of 5 stars','I like the quality of the product it is very nice and it looks very good'
'B0B3TLB5GG','Good product','5.0 out of 5 stars','Good product'
'B0B3TLB5GG','Very soft fabric','5.0 out of 5 stars','Very soft fabric'
'B0B3TLB5GG','No separate section for keeping your charger','2.0 out of 5 stars','2 star since i cant return it'
'B0B3TLB5GG','One of the best one','5.0 out of 5 stars','Loved colors, material and keep laptop safe'
'B0B3TLB5GG','Not strong','1.0 out of 5 stars','Not good material for protecting laptop.'
'B0B3TLB5GG','Over priced cheap quality product','1.0 out of 5 stars','Over priced cheap quality product'
