item,title,rating,body
'B0B4WV4163','Good','5.0 out of 5 stars','Like'
'B0B4WV4163','Cold purpose ok not for hot','4.0 out of 5 stars','👍👍👍'
'B0B4WV4163','Within a month the full color of the botel is gone out','2.0 out of 5 stars',''
'B0B4WV4163','Just ok','5.0 out of 5 stars','Ok but not Greatly'
'B0B4WV4163','Best bottle ever','5.0 out of 5 stars',"This bottle has larger capacity than I expected not like the other products that give lesser than what they say. I am so happy about this product and looking forward to using this in the long run. I feel more comfortable with it so I don't have to refill the bottle frequently."
'B0B4WV4163','Bad Quality','1.0 out of 5 stars','Not upto the expectation. Outer color fades after few days of use'
'B0B4WV4163','Ak number product','5.0 out of 5 stars','V. Good quality product'
'B0B4WV4163','Nice','5.0 out of 5 stars','Colour and. Durability'
'B0B4WV4163','The colour of the product is awesome','5.0 out of 5 stars',"It's very useful bottle."
'B0B4WV4163','Worst product','1.0 out of 5 stars',"Worst product, leaves colour within the use of 2 weeks. Don't buy, go for some brand one."
'B0B4WV4163','Nice','5.0 out of 5 stars','Very nice and comfortable 👌 value for money 💰'
'B0B4WV4163','Bekar','1.0 out of 5 stars','Black paint sub nikal Raha hai.'
'B0B4WV4163',"This is a normal still bottle, the water isn't cold for more than one hour",'1.0 out of 5 stars',"I wanted the water to stay cold for hours but it's getting back to its normal temperature in less than 2 hours"
'B0B4WV4163','Nice','5.0 out of 5 stars','Nice'
'B0B4WV4163','Best quality','5.0 out of 5 stars','Mostly buy'
'B0B4WV4163','Perfect bottle','5.0 out of 5 stars','Lovely and good bottle. It’s keeps water cool for a long time 😊'
'B0B4WV4163','amazing product of amazon','5.0 out of 5 stars','Very cold water even after 24hrs.Good purchase'
'B0B4WV4163','Amazon is all ways best','5.0 out of 5 stars','Best product.... And best service amazon'
'B0B4WV4163','Good quality','5.0 out of 5 stars','Sturdy bottle. Keeps water cool for a long time.'
'B0B4WV4163','Color might get off.','3.0 out of 5 stars',"I used for a day and there are already small marks. The paint looks like it will wear off after some months. Everything except this is good but what is the meaning of buying something for 700 rupees if it doesn't look good."
'B0B4WV4163','Value for money','5.0 out of 5 stars','Worth it'
'B0B4WV4163','Excellent product','5.0 out of 5 stars','Since I have used this flask am quite satisfied😊. Thank you Amazon for providing such nice and quality products.'
'B0B4WV4163','Paint getting peel off in just one day use.','2.0 out of 5 stars','First, Solimo printed paint easily just two three time rubbing with soft cloth removal.  And black paint of bottle getting out started from bottom'
'B0B4WV4163','Best water bottle','5.0 out of 5 stars','It can hold the temperature almost a day. Very useful for office and school going persons.'
'B0B4WV4163','Awesome','5.0 out of 5 stars','Too happy with the product It keeps up with its description Thanks Amazon'
'B0B4WV4163','Bad quality of the black coating','1.0 out of 5 stars','Very bad quality the black coating is getting peeled off'
'B0B4WV4163','Value for money','5.0 out of 5 stars','Water stays cool for nearly 20hrs. Excellent quality and worth the money'
'B0B4WV4163','Great','5.0 out of 5 stars','Quality product'
'B0B4WV4163','Good','5.0 out of 5 stars','Awesome product quality'
'B0B4WV4163','Nice bottle','4.0 out of 5 stars','Aammm ?!!!'
'B0B4WV4163','Budget','5.0 out of 5 stars','Best pik bottle'
'B0B4WV4163','Light, well made bottle!','5.0 out of 5 stars','The bottle looks good, is sturdy and easy to carry around too. Is not as expensive as the other black colour bottles floating around.'
'B0B4WV4163','Go for if','5.0 out of 5 stars','Its really well built and thicker than 90% of steel bottles out in offline market . Keeps water cold for 12 hours . Maybe even more , but finished within 12 hours , so 😀'
'B0B4WV4163','Quality','2.0 out of 5 stars','According to quality price are high'
'B0B4WV4163','Keeps water cold for more than 12 hours','5.0 out of 5 stars','Light weight Aesthetically pleasing Holds more than 1 lt of water No condensation Keeps water cool for more than 12 hours . Cheaper then most alternatives in the market Go for it'
'B0B4WV4163','Best Product for good price','4.0 out of 5 stars','1) The quality of the product is so good. 2) It keeps the warm water.. Warm for 5 - 6 hrs same goes with cold water too. 3) It looks exactly how it is shown in the picture. 4) The look of the product is classy.  Go for it if you need a good looking and good product.'
'B0B4WV4163','Best deal and product','4.0 out of 5 stars','Design of the flask bottle is awesome. Looks great. Thanks to amazon solimo brand. Keep water cool for long time.best for summer.'
'B0B4WV4163','EXILENT PRODUCT','5.0 out of 5 stars','Water staying cold is a very good thing except products to deliver excellent 👌'
'B0B4WV4163','Its good, but bulky, go for 500ml instead','4.0 out of 5 stars','Its good, but bulky, go for 500ml instead'
'B0B4WV4163','Similar as milton','5.0 out of 5 stars','Design, performance and price are really great 👍'
