item,title,rating,body
'B0B5MXGXVJ','Worthy product','5.0 out of 5 stars','Its afferdable for us go through buying it'
'B0B5MXGXVJ','Good product','4.0 out of 5 stars',"It's was so good,worth it"
'B0B5MXGXVJ','Good Product','5.0 out of 5 stars',''
'B0B5MXGXVJ','This is my 3rd Belt from this Brand..','5.0 out of 5 stars','Super Quality at this price range..I was tired of my Belts getting damaged very often..But this is really nice & long lasting..'
'B0B5MXGXVJ','Good product','5.0 out of 5 stars','The media could not be loaded.'
'B0B5MXGXVJ','Quality was so good','5.0 out of 5 stars','It was good quality product. Large size but they provide hole maker to adjust the product. Weight and thickness is nyc.'
'B0B5MXGXVJ','Poor Quality, Not worth the price!','3.0 out of 5 stars','I bought the product assuming this to be good based on reviews. But once I got the product, I found many issues. The paint of the buckle was worn out and to cover up, the seller has used marker pen 🤐 The leather has many dull marks too and it looked like a used one or old stock. Overall it seems they no longer care about the quality of product after getting success initially. The width and buckle size is good but the quality provided is definitely NOT WORTH THE PRICE.'
'B0B5MXGXVJ','Good','3.0 out of 5 stars','Excellent'
'B0B5MXGXVJ','Good in quality 10/10','5.0 out of 5 stars','Quality is good and recommended.'
'B0B5MXGXVJ','Worth it','5.0 out of 5 stars','Nice quality and worth of every penny'
'B0B5MXGXVJ','Nice belt but leaves stains','4.0 out of 5 stars','Very nice belt and the leather is superb. Leaves stains though'
'B0B5MXGXVJ','Belt Review','4.0 out of 5 stars','Belt quality is Ok. But length is short'
'B0B5MXGXVJ','Excellent quality','5.0 out of 5 stars','Value for money'
'B0B5MXGXVJ','Value of money','5.0 out of 5 stars',''
'B0B5MXGXVJ','Just average','2.0 out of 5 stars',"Quality is just OK. . Belt might be prone to scratches over use so need to take care. Overall it's average. But they are offering Rs 100 CB for 5 star review. So pls be aware"
'B0B5MXGXVJ','Nice..','4.0 out of 5 stars','Good onr'
'B0B5MXGXVJ','Best among all','5.0 out of 5 stars','Value for money'
'B0B5MXGXVJ','Nice product','5.0 out of 5 stars','Nice leather'
'B0B5MXGXVJ','Lovely','5.0 out of 5 stars','Good product'
'B0B5MXGXVJ','Good and solid','5.0 out of 5 stars','Leather quality is good and value for money.'
