item,title,rating,body
'B0B66Y84DH','Comfortable','5.0 out of 5 stars','Comfortable but the colour is a bit dull.'
'B0B66Y84DH','Good quality material','5.0 out of 5 stars','good quqlity product. I like it.'
'B0B66Y84DH','I want more product in various colours and various pattern in pants.','5.0 out of 5 stars',"The media could not be loaded. Fabric, Colour and fitting is best. It's also fully stretchable. I love this product. Thanks to Amazon and Pant Project.  With thanks, Kaushal Raj"
'B0B66Y84DH','Good quality but not fit','3.0 out of 5 stars','Good quality but not fit'
'B0B66Y84DH','Superb','5.0 out of 5 stars','Excellent quality'
'B0B66Y84DH','Nice','4.0 out of 5 stars','This trousers r very good but I had to return the trouser only for one reason, it is very narrow from knee to heel...'
'B0B66Y84DH','Worse product','1.0 out of 5 stars','Worse clothes 2 time wear and dots dots are comes'
'B0B66Y84DH','Very Nice!','5.0 out of 5 stars','Just received and tried out the trouser. Nice stretchable material and the fit is good. Really liked the product. Will update again, once used and washed.'
'B0B66Y84DH','Excellent purchase','5.0 out of 5 stars','It’s a complete value for money. The color is awesome and fabric is great too. I’ll buy one more. Highly recommended'
'B0B66Y84DH','Very impressed with the quality and Fit.','5.0 out of 5 stars','The materials are very good, comfortable and very convenient for a plus size person like me (my size is 42). If you are reading this review then go for it. Good quality at affordable price.'
'B0B66Y84DH','Stitching quality','3.0 out of 5 stars','Pant is ok but stitching on hip pocket is not proper. Poor stitching quality.'
'B0B66Y84DH','The most comfortable pants ever','5.0 out of 5 stars','I have been working on corporate for a long time now and to have a nice pair of pants becomes even more important as you rise up the ladder. These pants are the most comfortable that I have worn in a very long time. Will buy another pair soon- because why not'
'B0B66Y84DH','Poor stitching','3.0 out of 5 stars','The media could not be loaded. The stitch of the pant has come out in Cen before a single wash. Poor stitching.'
'B0B66Y84DH','Perfect fit','5.0 out of 5 stars','The media could not be loaded. Very very very comfortable pent Best pent thanks the pent project best formal comfortable pent im very happy. 😄😀 b'
'B0B66Y84DH','Size is too big','3.0 out of 5 stars','They did not co-operate for replacement...'
'B0B66Y84DH','👌Excellant strechable trouser','5.0 out of 5 stars','Liked very much Use this for routine use Buy with out hesitation Select one small size than usual'
'B0B66Y84DH','Exlent','5.0 out of 5 stars','The media could not be loaded. Exlent'
'B0B66Y84DH','Super comfort, ok look','5.0 out of 5 stars','Super comfort, ok look'
'B0B66Y84DH','Effortless caring and comfortable wearing.','4.0 out of 5 stars','Effortless caring and comfortable wearing. Fitting is upto the mark with such a discounted price.'
'B0B66Y84DH','Good pant in 1850rs','4.0 out of 5 stars','Good comfortable pant in 1850rs'
'B0B66Y84DH','4 way stretch material pant','5.0 out of 5 stars','Amazing quality. Worth buying. Must go for it. This is what i wanted. Order 1 size smaller.'
'B0B66Y84DH','Product is not good','1.0 out of 5 stars','Size to short'
'B0B66Y84DH','Comfortable and stretchy','5.0 out of 5 stars','All the pants I purchased (4 pants) from the Pant Project are extremely comfortable and stretchable. I wish there were more colour options.'
'B0B66Y84DH','Size quality and service awesome✨✨✨','5.0 out of 5 stars','Value for money... Quality awesome .. Fabric ✨✨✨ and color black super.. Each and everything worth ... I suggest everyone to get it.. And tje exchange delivery is also so fast 😍😍'
'B0B66Y84DH','Waste of money','2.0 out of 5 stars','Poor quality fabric, after one wash it is looking like one year old, attracts dusts easily. Stitching is bad, lines are not algned while pressing...'
'B0B66Y84DH','Great','5.0 out of 5 stars','Beyond expectations, feels very comfortable and true to fit'
'B0B66Y84DH','Osm','5.0 out of 5 stars','Very nice product please go for it'
'B0B66Y84DH','Amazing Comfort','5.0 out of 5 stars','I have used pant project articles before but this one specifically is extremely light and stretchable. Highly recommended for use in hot and humid climate. This pant would do it’s bit to keep you cool.'
'B0B66Y84DH','Excellent quality and fitting','5.0 out of 5 stars','This product very good and fitting excellent..worth to buy ..'
'B0B66Y84DH','Very comfortable fit','5.0 out of 5 stars',"Fitted as expected. Comfortable and elastic. No worry of tight fitting. You may try 1 size less due to its elasticity. Only thing a bit disappointing is overpriced and bit heavy. It shouldn't be more than 1499 Rs. Overall OK and can go for it."
'B0B66Y84DH','Very Comforatable','5.0 out of 5 stars','Nice fabric and its flexibility is beyond expectation. Very Comforatable to wear'
'B0B66Y84DH','Material','1.0 out of 5 stars','Material was too bad'
'B0B66Y84DH','Very soft cotton trouser','5.0 out of 5 stars',"I never seen like this type of trouser fabric. Very soft touch fantastic 😍 purchase without a second thought.....no need to think '' i will purchase regular in future."
'B0B66Y84DH','Solution for people looking for a better fit','5.0 out of 5 stars','Good product'
'B0B66Y84DH','Good','4.0 out of 5 stars','Pant is nice ,streachable comport,nice fitting only thing wich disappointed high price the weekar side otherwise good product।'
'B0B66Y84DH','Best trousers I ever wear','5.0 out of 5 stars','Most comfortable and affordable trousers, very good material, bhagwan Kasam best hai'
'B0B66Y84DH','Perfect fit and make','5.0 out of 5 stars',"Tried Pant Project for the first time. Must say I am very satisfied. Initially I ordered 34 but it was oversized. So replaced it with 32 which was perfect fit. Now I'm a satisfied customer."
'B0B66Y84DH','Super super super strechable clothe','5.0 out of 5 stars','చాలా తక్కువ price మరియు super strecha best quality company site లో 2,990 rs. Amazon లో మాత్రం 2,037 rupees కే వస్తుంది నాకు ఐతే పిచ్చ పిచ్చ గా నచ్చింది , లావుగా వున్నవాళ్ళు office purpose చాలా బాగుంటుంది. థాంక్యూ AMAZON'
'B0B66Y84DH','Elasticity','4.0 out of 5 stars','Very good elasticity of the fabric. Fully stretchable. But a bit heavy to wear'
'B0B66Y84DH','It is not fitting to waste','1.0 out of 5 stars','We have still not received a refund or replacement'
'B0B66Y84DH','Best fitting Pants','5.0 out of 5 stars',"One of the best fitting Pants so far and it's looking awesome. Worth every penny. Hoping it lasts for a while."
'B0B66Y84DH','Wow product','5.0 out of 5 stars','First time gone with unknown brand other than branded one and experience is very good. Feel of fabric is very royal and stretchable in size make this product different from others'
'B0B66Y84DH','Quality is Super','5.0 out of 5 stars','The Quality is very Superb. Better to Reduce the Price.'
'B0B66Y84DH','Good quality with high price','5.0 out of 5 stars','Stretchy & Smooth cloth with correct Fitting, but high price.'
'B0B66Y84DH','Best A Man can get','5.0 out of 5 stars','The Pants are .. fantastic fit....and value for money.... recommended everyone to buy it'
'B0B66Y84DH','Ok for the money','3.0 out of 5 stars','Could not wear in summer. Light irritating feel.'
'B0B66Y84DH','Good','4.0 out of 5 stars','Good comfort'
'B0B66Y84DH','Nice fit and great quality','5.0 out of 5 stars','Very good pants and fits well and quality is good'
'B0B66Y84DH','Better than average','3.0 out of 5 stars',"Fabric looks good but doesn't feeel good, its comfortable but from inside it sticks to the body hair in summer and humid conditions"
'B0B66Y84DH','Super fit for Indians and this is real indian sizes','5.0 out of 5 stars',"Excellent fitting and awesome comfort enjoying the comfort and really doesn't wear this type of comfort and fit till now"
