item,title,rating,body
'B0B6Q92HGV','Easy writing.','5.0 out of 5 stars','Smooth easy writing. Worth every penny.'
'B0B6Q92HGV','IT IS BALL PEN','4.0 out of 5 stars','I purchased this after reading it is gel pen. On receiving came to know it is ballpoint. The pen as such is good but not what I was expecting.'
'B0B6Q92HGV','item missing','1.0 out of 5 stars','only 9 pen'
'B0B6Q92HGV','Great quality','5.0 out of 5 stars','Great value for money.'
'B0B6Q92HGV','Good for handwriting','5.0 out of 5 stars','I like this pen'
'B0B6Q92HGV','Excellent','5.0 out of 5 stars','Excellent'
'B0B6Q92HGV','Pack of 10 Pens got 9, 1 is missing','2.0 out of 5 stars','I like pen, smooth writing, good handling 5 star for pen'
'B0B6Q92HGV','Fantastisk','1.0 out of 5 stars','Very nice'
'B0B6Q92HGV','Excellent','5.0 out of 5 stars','Packing, product and performance is excellent'
'B0B6Q92HGV','Horrible pen','1.0 out of 5 stars','I ordered black, received blue. No rubber grip, easily slips off. First few days it writes too smooth, smudge free, then it writes with no ink for half alphabet and more ink flow for the other half of the alphabet.'
'B0B6Q92HGV','Best design and woth to buy','5.0 out of 5 stars','Best pen per pen 10₹*10= 100 ₹ worth to buy, its refill is little bit big as compared to other pens( similar to gel pens) so quantity of ink is little high also it protected by gel at end also design top notch go for it'
'B0B6Q92HGV','An absolute pleasure/satisfaction to write with this pen!!!','5.0 out of 5 stars','Very good quality pens at an affordable price, the smoothness and the character of the pen is amazing!! A must buy pen👍'
'B0B6Q92HGV','Good quality','5.0 out of 5 stars','Pens are as good as shown in the image. Satisfactory items from the Hauser company...'
'B0B6Q92HGV','Good Product 👍','4.0 out of 5 stars','Writing Quality is good, Value for money..'
'B0B6Q92HGV','Good pen quality.','5.0 out of 5 stars',"It's not good for light papers."
'B0B6Q92HGV','My favourite','5.0 out of 5 stars','Excellent quality of writing and very durable.sleek and stylish look. This is my second pack'
'B0B6Q92HGV','Smooth writing.. good performance..','5.0 out of 5 stars','The media could not be loaded. Value for money'
'B0B6Q92HGV','Review','5.0 out of 5 stars','These pens are great for writing on all types of surfaces, including slick or cheap paper, which other pens tend to bleed through or smudge.'
'B0B6Q92HGV','V Good','5.0 out of 5 stars','Writes wall.'
'B0B6Q92HGV','Great quality with good value for money . I like the looks too','5.0 out of 5 stars','Very good colour of blue ..very smooth in writing . Really good value for money. Excellent quality pen. Great buy . Very happy with the product'
'B0B6Q92HGV','Must buy for students','5.0 out of 5 stars','Hauser XO 0.6 ballpoint pen provides a great writing experience it just glides on the pen through its unique and consistent ink flow system...No doubt the best in the market right now arguably btr than overrated Pentonic ball pen....I give 10 out of 10....'
'B0B6Q92HGV','9 pens instead of 10 pens.','4.0 out of 5 stars',"The seller has packed 9 pens, when the product clearly stated 10 pens. And this was their only job. It may seem like a mere loss of 10 rs, but when you buy hundreds of these products, it's a loss of 1000 rs.  The Hauser pen quality and ease of writing is as amazing as expected. Hauser pens are known for their smooth writing, and they didnot disappoint."
'B0B6Q92HGV','Received old stock','1.0 out of 5 stars','We received less quantity 7/10 in pack. The package is old and damaged'
'B0B6Q92HGV','very good','5.0 out of 5 stars','highly recommended'
'B0B6Q92HGV','Received only 9 pens instead of 10','3.0 out of 5 stars','Received only 9 pens. Instead of 10 pens which I paid for.'
