item,title,rating,body
'B0B71149YK','Product is good if you','5.0 out of 5 stars','Product is very good'
'B0B71149YK','Good','5.0 out of 5 stars','Nice product'
'B0B71149YK','Product undelivered','1.0 out of 5 stars','मुझे प्रोडक्ट मिला ही नहीं आप डिलिव्हरड कैसे बता रहे हो'
'B0B71149YK','Normal','5.0 out of 5 stars','Packing is good but just like a normal'
'B0B71149YK','Nice','5.0 out of 5 stars','Nice'
'B0B71149YK','Freshness well n good','4.0 out of 5 stars','Smell is mild and freshness very well good'
'B0B71149YK','Great soap','5.0 out of 5 stars','Really good soap'
'B0B71149YK','Shandar Jabardast Zindabaad','5.0 out of 5 stars','Bhut hi shandaar Khusboo hi Khusboo'
'B0B71149YK','Good product','5.0 out of 5 stars',''
'B0B71149YK','Good one,','5.0 out of 5 stars','Wow amazing😍 best one.'
'B0B71149YK','Good Price','4.0 out of 5 stars','Good Product with comfortable price.'
'B0B71149YK','Value for money','5.0 out of 5 stars','Good enough'
'B0B71149YK','Good','3.0 out of 5 stars','Good product'
'B0B71149YK','Good','4.0 out of 5 stars','Very good'
'B0B71149YK','Good','4.0 out of 5 stars','Good product'
'B0B71149YK','Just okay','2.0 out of 5 stars',"Didn't smell much good as it is a luxury perfume. Don't want to purchase again."
'B0B71149YK','great product..... totally value for money.','5.0 out of 5 stars','great product..... totally value for money.'
'B0B71149YK','Nice soap','5.0 out of 5 stars','Nice'
'B0B71149YK','Gteat fragrance soap','3.0 out of 5 stars','I just loved the fragerance of these soaps, and the deal i got on amazon was amazing and the soap really refreshens me. But after using it for a month i have realised that it is not that long lasting. The soap completely get used in a week whereas my other soaps last atleast 10-12 days, hence it is not that long lasting. Overally its a decent soap from park avenue'
'B0B71149YK','Nice','4.0 out of 5 stars','Fragrance is nice'
'B0B71149YK','Best','5.0 out of 5 stars','Best product'
'B0B71149YK','कोई अच्छी खुशबू नहीं है','1.0 out of 5 stars','फ्रेगरेंस इस नॉट गुड'
'B0B71149YK','Y','3.0 out of 5 stars','C'
'B0B71149YK','Smell not good','1.0 out of 5 stars','Overall not worth it'
'B0B71149YK','Good','5.0 out of 5 stars','Good'
'B0B71149YK','Not Good','2.0 out of 5 stars','Smells are very bad'
'B0B71149YK','Nice fragrance','5.0 out of 5 stars','Its very nice product and fragrance'
'B0B71149YK','Good','4.0 out of 5 stars','Very good price'
'B0B71149YK','Good','5.0 out of 5 stars','Nyc'
'B0B71149YK',"Don't buy waste of money",'1.0 out of 5 stars','Sorry not worth to buy When the packet is open you will get the smell from the soap after that it smells like dry rice.'
'B0B71149YK','So So','2.0 out of 5 stars','Below expectations'
'B0B71149YK','Useless','1.0 out of 5 stars','It is a generic soap with barely any fragrance. Buy regular soap from park avenue but not this variant'
'B0B71149YK','Average','3.0 out of 5 stars',"These are average kind of soap.. the Odour doesn't last for even 1 hour."
'B0B71149YK','Nice','3.0 out of 5 stars','Value of money'
'B0B71149YK',"Cool, Cool, amazing men's soap",'5.0 out of 5 stars','It is value for money and the washability is soft, subtle and cool.There is no harsh chemicals to damage , on the other hand it protects the skin and truly an amazing experience.'
'B0B71149YK','Best Cooling Soap for Summer','4.0 out of 5 stars','Best Cooling Soap for Summer. Gives you freshness..'
'B0B71149YK',"It's good iam using last 5year",'5.0 out of 5 stars','Good'
'B0B71149YK','Nice fregrance and value for money','5.0 out of 5 stars','Like'
'B0B71149YK','Value for money.','5.0 out of 5 stars','Good'
'B0B71149YK','Buy if offer','3.0 out of 5 stars','No fragrane But moisturize'
'B0B71149YK','Perfect product','5.0 out of 5 stars','I like it very much... Price is ok...'
'B0B71149YK','Worst Product','1.0 out of 5 stars',"The soap is unfit for human beings, highly pungent smell, worst product, never ever buy this low quality soap, further it's not replaceable."
'B0B71149YK','Fragrance issue','2.0 out of 5 stars','Fragrance is dull'
'B0B71149YK','Fresh','5.0 out of 5 stars','Fresh soap Always in my bucket list'
'B0B71149YK','Not so great','2.0 out of 5 stars',"The bar soap was expected to have a good men's fragrance but instead it smelled like talk and it wasn't having good lather. Quite upsetting for it to come from park avenue honestly speaking"
'B0B71149YK','Nice','4.0 out of 5 stars','Boys love it'
'B0B71149YK','Aroma and freshness.','5.0 out of 5 stars','We use old Cinthol as our bath soap.For a change this time we purchased this. Happy with the purchase. Especially a shower before bed gives a great refreshment. 👍'
'B0B71149YK','Warth of money','3.0 out of 5 stars','Good'
'B0B71149YK','Awesome😍','5.0 out of 5 stars',"The Park Avenue Pure Luxury Soap Pack of 4 (500g each) feels incredibly soft on the skin, leaving it smooth and refreshed. These bars are long-lasting, and you get great value for your money with four bars in a pack. It's a skincare product that's both gentle and budget-friendly."
'B0B71149YK','Good morning','5.0 out of 5 stars','Good product. It is beyond my expectations.'
