item,title,rating,body
'B0B8DLZLTP','Too comfort','5.0 out of 5 stars','Good material'
'B0B8DLZLTP','Perfect Fit','5.0 out of 5 stars','Nice quality jeans, perfect fitting.'
'B0B8DLZLTP','Very nice quality jeans','5.0 out of 5 stars','Perfect fit'
'B0B8DLZLTP','Good 👍','4.0 out of 5 stars','Value for money. The size, fit and color all as expected'
'B0B8DLZLTP','Good one','5.0 out of 5 stars','Perfect fit and material is good'
'B0B8DLZLTP','Nice one!!!!','5.0 out of 5 stars',"The U.S. POLO ASSN. Men's Jeans are crafted with excellent attention to detail, showcasing the brand's commitment to quality. The stitching and finishing are impeccable, ensuring durability and longevity.  These jeans offer a comfortable and relaxed fit, allowing for easy movement and all-day comfort. The fabric is soft yet sturdy, providing a great balance between comfort and style.  The classic design of the U.S. POLO ASSN. Men's Jeans makes them versatile and suitable for various occasions. They can be dressed up with a button-down shirt for a more formal look or paired with a casual t-shirt for a laid-back vibe.  The range of available styles and washes allows for individual expression and personal style. Whether you prefer a dark indigo wash or a faded vintage look, there is a pair of U.S. POLO ASSN. jeans to suit your preference.  The brand's attention to detail extends to the fit, with various size options available to accommodate different body types. This ensures that you can find a pair of jeans that fits you perfectly, enhancing your confidence and overall appearance."
'B0B8DLZLTP','Good, could be better','3.0 out of 5 stars','Fabric became bit rough after first wash. Color as shown Fit is good Fabric is soft'
'B0B8DLZLTP','worth it 👌','5.0 out of 5 stars','at this price is best product 👌👍'
'B0B8DLZLTP','Colour is ok','1.0 out of 5 stars','Footpath parking not Amazon'
'B0B8DLZLTP','Very bad quality','1.0 out of 5 stars','This product is totally wasted of money'
'B0B8DLZLTP','fabric is too thin','5.0 out of 5 stars','fabric is too thin'
'B0B8DLZLTP','Overall product was ok ok','5.0 out of 5 stars','The length was quite more but the quality of the cloth is good 👍🏻'
'B0B8DLZLTP','Not that good','3.0 out of 5 stars','Cloth quality is not good. I had ordered this one and another one with same price but brand was different which is of good quality. You will get any local brand with this quality much cheaper.'
'B0B8DLZLTP','Poor quality','1.0 out of 5 stars','Better to buy from footpath, US Polo brand material quality is very low'
