item,title,rating,body
'B0B8NZGHFX','Good','4.0 out of 5 stars','Good , soft but very thin'
'B0B8NZGHFX','good product','5.0 out of 5 stars','good product .. light weight and very comfy'
'B0B8NZGHFX','Good product','4.0 out of 5 stars','I loved it. Its pure cotton and very soft. Must buy.'
'B0B8NZGHFX','Thin duvet good for summer','4.0 out of 5 stars','The duvet is very thin hence suitable only for summer nights under AC. Not suitable for winter at all. The price is too high.'
'B0B8NZGHFX','Cost','5.0 out of 5 stars','Nice but costly'
'B0B8NZGHFX','Quality','5.0 out of 5 stars','Nice fabric.'
'B0B8NZGHFX','Poor quality','1.0 out of 5 stars','The quality is very poor for the price. It looks all faded. I initiated return since 4 days, but no pickup till now.'
'B0B8NZGHFX','Cost is little more','4.0 out of 5 stars','Product is good, but cost is more'
'B0B8NZGHFX','Quality','5.0 out of 5 stars','Quality good.'
'B0B8NZGHFX','Good','4.0 out of 5 stars',"It's cotton but very thin, in winter can't be useful"
'B0B8NZGHFX','Very nice product','5.0 out of 5 stars','I have purchased this for one of my relative..They liked this very much..Quality is excellent & price is also reasonable. Overall nice product.'
'B0B8NZGHFX','Good quality','5.0 out of 5 stars','Fabric quality is very good.'
'B0B8NZGHFX','Soft Cotton Dohar','5.0 out of 5 stars','It has very good print on a soft cotton fabric.Worth purchasing fo air conditioned and light winters of Oct Nov of North India.Value for money is also too high.'
'B0B8NZGHFX','Low quality','1.0 out of 5 stars','Low quality with joints in the fabric'
'B0B8NZGHFX','Love the colour combination','5.0 out of 5 stars','We use this to cover our kids at night. Good for summers and will work as AC Quilt.'
'B0B8NZGHFX','Very nice','5.0 out of 5 stars','Very nice product'
'B0B8NZGHFX','Soft and good cloth material with reasonable cost.','5.0 out of 5 stars','Nothing to dislike. All good.'
'B0B8NZGHFX','Good Product in AC Rooms','5.0 out of 5 stars','Nice Product for AC rooms. Go for it.'
'B0B8NZGHFX','Nice one','4.0 out of 5 stars','Really cool this is nice one'
'B0B8NZGHFX','Soft touch...Kids love alot','5.0 out of 5 stars','Cotton touch product. Kids love a lot.'
'B0B8NZGHFX','Nice product','5.0 out of 5 stars','Nice product, comfortable, good quality'
