item,title,rating,body
'B0BBN3568V','Very very thank you','5.0 out of 5 stars','The product is goodness'
'B0BBN3568V','ठीक हें ऑन ऑफ़ सिस्टम अलग से देना था','5.0 out of 5 stars','ऑन ऑफ़ सिस्टम band से अलग रखना था'
'B0BBN3568V','This Is A Grear Product. PAGARIA R-917 Radio Working Too Good and Also His Voice Is Too clear.','5.0 out of 5 stars',''
'B0BBN3568V','Stupid and expensive product','1.0 out of 5 stars',"Stupid and expensive product. Why are they even producing and selling it. It's a daylight robbery."
'B0BBN3568V','Great Product','4.0 out of 5 stars','Amazingly this product has surprised me. In a low cost has a lot of features. Good reception, good sound quality, supports BT/SD card, flash torch. What else can we expect at this price? Pagaria brand should have included USB C rather than Micro USB.'
'B0BBN3568V','Innovative Radio-917 Set Pagaria','4.0 out of 5 stars','Superb Radio-917 Set. Size of the set is small with all good features checked .  @Superior Qualities: Excellent loud Sound quality with clarity with out distortion at maximum volume.  @ Bluetooth: BT connectivity very good.  @ USB/TF: Quality is nice. Super clarity.  @ FM reception is super. External antenna is working effectively for FM. @ AM is also good. @ SW : 4 SW Bands are receiving signals , especially in night hours. May be required one more external antenna for clearer reception.  @ Tuning knobs are smooth & effective.  @ Side LED light is good & bright.  @ Earphone/Head phone jack provided. It is good .  @ USB Out from Power Bank side port is extraordinary design to charge Mobile on emergency.  @ So with this Small Radio unit, it creates Loud sound (5W) with crystal clear clarity. Really to be appreciated to include all basic features.  @ Radio lifting Sling provided. It is nice.  @ "Backup" is good as mentioned with 4 hours of charging time. To be checked after few weeks.  @ Quality of "Pagaria" Radio should not be compared with other similar Radios existing in Market.  @ Price is worth and value for Money & you can\'t buy another similar brand Radio with all features.  @@Improvement Required@@ : @ On/Off switch should be given separately. So every time we have to move the slide bar.  @ Battery indicator level to be required. @ "Printed scale" for FM & SW3 in blue color is NOT clearly visible . Color should be different for visibility.  I appreciate Melody India/Pagaria to Lunch such a beautiful Radio set for Radio Listeners. Great Job.  Recommended to all ages.'
'B0BBN3568V','very good radio','5.0 out of 5 stars','good sound'
'B0BBN3568V','Newly purchased. Not working properly','1.0 out of 5 stars','Waste of money'
'B0BBN3568V','Portable radio from pagariya','5.0 out of 5 stars','Very good product'
'B0BBN3568V','All in one great purchase.','5.0 out of 5 stars','All great. But best is body and fitment. Simply value for money. Looks great. Work great. Bettery life also best as of one month of use. Not recoment for elders but great for overall use.'
'B0BBN3568V','Good','4.0 out of 5 stars','Good receiver.'
'B0BBN3568V','ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ','5.0 out of 5 stars','ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ'
'B0BBN3568V','Pagaria R 917 best than any other radio','5.0 out of 5 stars',"The media could not be loaded. It is easy to use it has a band switch through which you can also on off and switch to various modes of radio and mp3 its return policy is also excellent you will also get a warranty card through which you can register it for warranty on melody media website it also has an excellent battery life and on a single charge if you listen it's battery life can go upto 2 days although it is a value for money a full money justifier..."
'B0BBN3568V','Ease to use good 👍. Product','5.0 out of 5 stars','Good product Thanks Amazon for this 👍🥰'
'B0BBN3568V','Quality poor','1.0 out of 5 stars','The media could not be loaded. After completing one year the speaker is working like this'
'B0BBN3568V','Best quality','4.0 out of 5 stars','Celir saund'
'B0BBN3568V','Battery backup','4.0 out of 5 stars','We are getting battery backup of 9 hours which is better than advertised. Its better to connect an external antenna for better channel reception'
'B0BBN3568V','All in one device in a reasonable price.','4.0 out of 5 stars','I got it and using for a 5w Bluetooth speaker since radio reception is very poor especially for FM. Build quality is nice, audio quality is nice, battery back up, bluetooth connectivity and even torch is also good but if you value a radio for its radio quality then remember, this product is not for you. XHdata d219 will be a nice deal in 1200 INR if you are a true radio lover with the similar budget. So, all is depend on you. This product may be a multy function package with a compromise of a sensitive radio.  Edit on 14 Sept... DSP chip response is good, so I am increasing two star more (from 2 to 4). Problem is the small length of antenna which is insufficient to pull the distant stations. Iam in fringe area where FM stations are around 100 Kms. far. AM, especially M.W. statons are also at the same distance but with dense disturbance due to TV towers, electricity transformers, cable amplifiers and so many other reasons. So, FM is the option. Problem of small antenna can be solve by external antenna and signal booster. Suggest any remedy if available in budget price.'
'B0BBN3568V','Satisfied','5.0 out of 5 stars','Very good and powerful radio , completely satisfied.'
'B0BBN3568V','Wonderful Device','5.0 out of 5 stars',"It's a small package with loads of entertainment. FM, AM , Bluetooth, Memory card, USB , Light ufff....what else such a handy device can have. I loved it's size and performance. I had been using from past week after 1st full charge it's still running smooth. 5 out of 5 for this wonderful package."
'B0BBN3568V','Portable radio','5.0 out of 5 stars','Very nice and very useful'
'B0BBN3568V','Pagaria r917 reviews','5.0 out of 5 stars','It is very good product and useful entertaining device .some times it s signal not received for fm. Good for conectivity to blootooth.'
'B0BBN3568V','Very nice Listening 🎶 easy to use with all optimum function only signal disturbance sometime','4.0 out of 5 stars','The media could not be loaded. Easy to use'
'B0BBN3568V','My Favourite Small Radio','5.0 out of 5 stars','The media could not be loaded. Every function I like it. FM, AM, SW, BLUETOOTH, MP3, TF, USB, TORCH LIGHT, POWER BANK OUTPUT, DUAL CHARGING PORT, EARPHONES SUPPORTED, SIZE WIDTH 10INCH ONLY, AUDIO BASS QUALITY GOOD, BATTERY IS EXCHANGE AS COMMON BATTERY USED. EVERY THING IS EXCELLENT 👌👌👌 YOU CAN GO FOR IT.'
'B0BBN3568V','For best results ....','5.0 out of 5 stars','The media could not be loaded. Super quality of sound and battery 🔋 level Good recieving fm signals Good connectivity to Bluetooth and USB drive And Good received am signals'
'B0BBN3568V','WORST BRAND','1.0 out of 5 stars','Next to IMPOSSIBLE to contact this brand for any support so PLS NEVER BUY THIS BRAND...... Ya brand nahi _and hai.......'
'B0BBN3568V','Fine radio sound is ok','5.0 out of 5 stars','Like'
'B0BBN3568V','Super','5.0 out of 5 stars','Very good'
'B0BBN3568V','రేడియో బ్యాటరీ తో పనిచేయదా','5.0 out of 5 stars','ఈ రేడియో బ్యాటరీ తో పనిచేయదా తెలపండి'
'B0BBN3568V','Excellent Radio','5.0 out of 5 stars','Pagaria radio is very good FM reception and Mp3, Bluetooth works fine am and sw band also works fine.'
'B0BBN3568V','Nice product.','4.0 out of 5 stars','Value for money. Good quality sound.'
'B0BBN3568V','Good look','5.0 out of 5 stars','Good.'
'B0BBN3568V','Maximum possible functions included with Cristal clear voice','5.0 out of 5 stars','Good product'
'B0BBN3568V','Thank you ❣️😊 Amazon 🙂','5.0 out of 5 stars',"The media could not be loaded. Superb guy's 😃 voice and other function are work excellent easy to Cary 😊 it's help to mood relax.....stay tune pagariya ❣️go for it guy's"
'B0BBN3568V','Damage product','1.0 out of 5 stars',"The media could not be loaded. It's not switching on, battery looking dead condition!! Disappointed"
'B0BBN3568V','Bahut Achcha Laga','5.0 out of 5 stars','The media could not be loaded.'
'B0BBN3568V','Excellent product.','5.0 out of 5 stars','Superb radio'
'B0BBN3568V','एफएम यूएसबी सही सब चलते हैं','3.0 out of 5 stars','The media could not be loaded.'
'B0BBN3568V','Product is average','3.0 out of 5 stars','AM and SW is not receiving clearly.There is no on/ off button.Sound clarity is good.System is very small.The length of charging cable is very short.'
'B0BBN3568V','Product arrived with scratches.','5.0 out of 5 stars','Works fine but appears to have been used as it arrived scratched, I gave it a five so that my feedback would show.'
'B0BBN3568V','Best sound quality very loud','5.0 out of 5 stars','Best product Happy with this sound is loud and clear fm is good'
'B0BBN3568V','Nice tadio','5.0 out of 5 stars','Very nice radio'
'B0BBN3568V','सांऊड क्वालिटी बेहतरीन','5.0 out of 5 stars','रेडियो'
'B0BBN3568V','Must buy Radio','5.0 out of 5 stars',"It's the best radio with all features. Must buy."
'B0BBN3568V','Nice Looks','5.0 out of 5 stars','Its good product, now a days very less options are available for Radio. In sch scenario this is good product with rasonable price Radio lovers go for it'
'B0BBN3568V','Excellent sound quality..','5.0 out of 5 stars','Really good product 👌'
'B0BBN3568V','Stopped working on 8th day','1.0 out of 5 stars','It has 7 days replacement warranty. Bought on 19th July Stopped working on 27th July Waste of money'
'B0BBN3568V','Nice Radio','4.0 out of 5 stars','Reviewing after using 1 month: Pros: FM and SW2 n 4 reception is good, other bands are not good. For better indoor reception attached wire and hang it in open space(windows). SD card reader is best. Battery back up is best for FM. Torch is Ok. Build Quality is good and size is small so you can carry if you go for picnic.  Cons: It will be Difficult for senior citizen to tune radio station as it is manual process, also station frequency printed in very small font not possible to read for old person.  Overall: Not for senior citizen, but best for youngster.'
'B0BBN3568V','excellent','5.0 out of 5 stars','excellent product'
'B0BBN3568V','Good','4.0 out of 5 stars','Value for money'
