item,title,rating,body
'B0BBQV5JWJ','Good','4.0 out of 5 stars','Ek hath ka Mouse hai Koi dikkat nai hai 100 rupaye me aur ky hi aajyega'
'B0BBQV5JWJ','Ok for the price.','4.0 out of 5 stars','Ok'
'B0BBQV5JWJ','Nice','4.0 out of 5 stars','Nice'
'B0BBQV5JWJ',"Don't Buy!",'1.0 out of 5 stars',"The media could not be loaded. This is a very cheap built and won't even last for 6 months. Suggest you buy from other brands ! NOT WORTH IT ! It's not return so don't buy!"
'B0BBQV5JWJ','Awesome item!','4.0 out of 5 stars','Its value for money product. Special RGB light is looking very good. Nice purchase..'
'B0BBQV5JWJ','Item received was defective and old.','1.0 out of 5 stars','In first order there was no RGB light change button on the back and in replacement order the item received was used with rusting on USB. I recommend to purchase this offline.'
'B0BBQV5JWJ','Really cheap quality and just does the job.','3.0 out of 5 stars','Do not Expect wonders from this mouse. But will be enough to do daily tasks and playing casual games.  Not recommended for shooting games where high precision and quick reflexes are required.'
'B0BBQV5JWJ','RGB Light','5.0 out of 5 stars','RGB Light Is very Impressive'
'B0BBQV5JWJ','Good','4.0 out of 5 stars','Achcha mouse hai iske sensor ko dhul mitti se bachane ke liye lamination karne ke bad bhi chalta rahata hai problem create nahin karta'
'B0BBQV5JWJ','Nice product','5.0 out of 5 stars',"It's very light and working very accurately."
'B0BBQV5JWJ','Cute & Subtle Mouse','5.0 out of 5 stars','Love this light weight gaming mouse from Ant Sports. DPi can be changed on the fly.'
'B0BBQV5JWJ','DO NOT BUY UNLESS YOU WANT YOURSELF TO BE SCAMMED','1.0 out of 5 stars','I, myself as a customer to this product thought it was going to be nice.....trust me , it was not nice.....scroll wheel not working...nothing working in the software and not good for playing fps games like valorant..'
'B0BBQV5JWJ','Nice mouse it worth the money 👏👏👏👍👍👍👍','5.0 out of 5 stars','The media could not be loaded.'
'B0BBQV5JWJ','RGB Lights','5.0 out of 5 stars','Awesome sensors great device love in it'
'B0BBQV5JWJ','Very good product','5.0 out of 5 stars','I liked the option of changing the dpi for different works I can use it for gaming and general works .And the quality is very good.Allover value for money. The buttons sounds very nice.gaming experience is very good.and easy to use'
'B0BBQV5JWJ','Nice product','4.0 out of 5 stars',"I purchased it for 319 . And it's seems a pretty good deal for me ! Works fine ! Led lights are cool . Have a dedicated software for mouse!"
'B0BBQV5JWJ','Weird but...','2.0 out of 5 stars',"I'd say it's pretty ok for NORMAL USE and CASUAL GAMING but not for hardc gaming, this mouse give you the sweats especially if you playing a fast pace multiplayer fps games i won't recommend this mouse for those purposes. The clicks feel weird you have to give a bit extra pressure for the clicks to register properly hence not for fast pace fps gaming. The left and right click body feels wobbly too, it make me kinda angry how it wobbles.  And i can't seem to know or find out whether this mouse is made this way or i got a faulty product.  If you want this mouse for normal surfing then sure otherwise NO NO NO DONT BUY!!! ❌❌❌❌❌❌❌❌"
'B0BBQV5JWJ','Mouse','5.0 out of 5 stars','Value for money. I used for since 9 month'
