item,title,rating,body
'B0BCL58VN9','Poor quality','1.0 out of 5 stars','Not as expected......'
'B0BCL58VN9','Very nice 👌 👍 I am very happy 😊 thanks to amazon','4.0 out of 5 stars',''
'B0BCL58VN9','It does not look like in the photo','3.0 out of 5 stars','It is not A shape like in the picture, it is straight. It is quite see through. Otherwise, it looks great, elegant, but definitely not as the same shape like in the photo'
'B0BCL58VN9','Amazing','5.0 out of 5 stars','Amazing skirt at a good price.'
'B0BCL58VN9','Good product','5.0 out of 5 stars','My mother is 60 years old and love to wear dress like this. She liked this a lot and the quality is good'
'B0BCL58VN9','Damaged','1.0 out of 5 stars','Worst ,product was damaged'
'B0BCL58VN9','Awesome......','5.0 out of 5 stars','Very nice products awesome.......'
'B0BCL58VN9','Quality product i like it.','5.0 out of 5 stars',''
'B0BCL58VN9','The product is too good worth for money and its exactly same as shown in the picture..','5.0 out of 5 stars',"It's beautiful skirt in a reasonable price. Design On Skirt Is Very Beautiful . Comfortable skirt to dance , fabric is soft & comfortable for summer season too. One can buy without hesitation..."
'B0BCL58VN9','The price tag was not given in the product.','2.0 out of 5 stars',"I don't like the product, the produc is picked up today by delivery boy."
