item,title,rating,body
'B0BCPRWMPX','Product is found damaged on delivery.','3.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_renh29ci4i6se_1697140855178","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"262-7058698-1654404","refMarkers":"vse_reviews_desktop_RENH29CI4I6SE_1697140855178_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"YFSFMAQT5065DD5Y7CSV","customerId":"0","sessionType":1},"mimeType":"video/mp4","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RENH29CI4I6SE","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RENH29CI4I6SE_1697140855178_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"videoUrl":"https://m.media-amazon.com/images/I/C1IQxhJEwAL.mp4","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"RENH29CI4I6SE","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_renh29ci4i6se_1697140855178-player-aae5be5f-bc73-4249-bce3-941001f938a5","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"YFSFMAQT5065DD5Y7CSV","pageAsin":"","sessionId":"262-7058698-1654404"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"262-7058698-1654404","refMarkers":"vse_reviews_desktop_RENH29CI4I6SE_1697140855178_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"YFSFMAQT5065DD5Y7CSV","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"RENH29CI4I6SE","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_RENH29CI4I6SE_1697140855178_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/81gq42Q5BJL._SY256.png","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa0-:- Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. The media could not be loaded, either because the server or network failed or because the format is not supported.'
'B0BCPRWMPX','Sturdy table but a bit small.','5.0 out of 5 stars','In photo and 360 degree view, it looks bigger in size. But when placed inside room it look small. Length is roughly 2.5 feet. If the same table with 3 feet long is available that would look superb and will fit a laptop and extra space to put a notebook to jot things down.'
'B0BCPRWMPX','texture and appearance is excellent','5.0 out of 5 stars','awasome!'
'B0BCPRWMPX','A perfect table for using as a office table or as study table .','5.0 out of 5 stars','Well illustrated and labeled chart which makes it a perfect DIY assembly. It hardly took 10 minutes to assemble this. The assembly time can be further reduced if the manufacturer pay attention in matching holes center. The packaging was awesome.'
'B0BCPRWMPX','Very handy table','5.0 out of 5 stars','Table is very handy and easy to assemble. The wood quality is really good.'
'B0BCPRWMPX','Office table, Very good for multiple purposs','5.0 out of 5 stars','The media could not be loaded. Easy to assemble and comport for working and easy to move any where and getting best price.'
'B0BCPRWMPX','STUDY TABLE','5.0 out of 5 stars','Good design.. and nice quality.'
'B0BCPRWMPX','Good Affordable','5.0 out of 5 stars','Quality is good for the price and all the tools for installation are provided'
'B0BCPRWMPX','Good width','4.0 out of 5 stars','The width of table is good making it spacious.'
'B0BCPRWMPX','Bad quality','1.0 out of 5 stars','Really bad quality. Received a damaged table and no exchange available.'
