item,title,rating,body
'B0BLH9HF7N','Value for money product with perfect fitting.','5.0 out of 5 stars','This solid color jacket looks amazing purchase to make use of in any casual meet-up and during parties as well. This is made with best quality cotton material, which makes person feels buttery-soft and ultra-breathable. Best part is the jacket comes complete with a zip-up closure in the front for utility.'
'B0BLH9HF7N','Awesome','5.0 out of 5 stars','Fit as expected, material is really good , no colour difference'
'B0BLH9HF7N','Exceptional Quality and Style','5.0 out of 5 stars','The quality of the materials and craftsmanship is outstanding. I highly recommend it to anyone in need of a great jacket.'
'B0BLH9HF7N','Stylish Jacket','5.0 out of 5 stars','This jacket effortlessly combines style and versatility. The sleek design complements any outfit, while the quality is great. With its comfortable fit.'
'B0BLH9HF7N','Very premium quality product','5.0 out of 5 stars','This jacket exceeded my expectations! Its warmth and comfort are perfect for chilly days, and the sleek design adds a touch of style. A must-have for any wardrobe.'
'B0BLH9HF7N','Great fit','5.0 out of 5 stars',"The elastic makes all for it's comfort. It has very high quality soft material and it is totally value for money."
'B0BLH9HF7N','Great quality','5.0 out of 5 stars',"The fabric the fitting & colour everything is the best when it's xyxx without any doubt guys you can go for it"
'B0BLH9HF7N','Nice look','4.0 out of 5 stars','Quality is good, size is a bit on larger side'
'B0BLH9HF7N','Outdated Stock material','1.0 out of 5 stars','The media could not be loaded.'
'B0BLH9HF7N','Colour faded after 1 wash','2.0 out of 5 stars','The colour faded after just 1 wash .Moreover,there was worn out thread in the order .'
'B0BLH9HF7N','Soft and comfortable','5.0 out of 5 stars','A nice jacket with good quality fabric and I loved the pocket design. The zip is smooth. Worthy product at decent price.'
'B0BLH9HF7N','Fit and eye catching','5.0 out of 5 stars','Great fabric quality and perfectly fit for me. Colour is really eye catching.'
'B0BLH9HF7N','The colour','3.0 out of 5 stars','Colour is not good as shown in the picture. It is little dul ..'
'B0BLH9HF7N','Perfect. Good quality and good fit','5.0 out of 5 stars','Affordable price, very good quality and good fit'
'B0BLH9HF7N','Fabulous','5.0 out of 5 stars','Perfect fitting and colour is also as shown in the description. Chain is smooth and bottom elastic makes it more fit.'
'B0BLH9HF7N','Good','5.0 out of 5 stars','Good item'
'B0BLH9HF7N','Jacket quality is super','5.0 out of 5 stars','Jacket fabric is good. Perfect fit on body. Looking like handsome.'
'B0BLH9HF7N','Nice','5.0 out of 5 stars','Nice quality'
