item,title,rating,body
'B0BN3WM5KW','worst','1.0 out of 5 stars','the product fragrance is not good ,its like some " mitti" smell.it is the worst product,dont buy and dont try ,i have done and i dont like iy.'
'B0BN3WM5KW','Not suitable for oily skin','1.0 out of 5 stars',"I'm not satisfied"
'B0BN3WM5KW','Decent product','4.0 out of 5 stars','Texture and freshness is good but lacks fragrance'
'B0BN3WM5KW','Good','4.0 out of 5 stars','Good'
'B0BN3WM5KW','Nice','4.0 out of 5 stars','Good product'
'B0BN3WM5KW','ok type','3.0 out of 5 stars','ok type'
'B0BN3WM5KW','Good product','5.0 out of 5 stars','Good product.'
'B0BN3WM5KW','Nice soap','5.0 out of 5 stars','Good fragrance and long lasting freshness good to go for it'
'B0BN3WM5KW','Excellent','5.0 out of 5 stars','Nice product'
'B0BN3WM5KW','Value for money','4.0 out of 5 stars','Best bath soap at 99'
