item,title,rating,body
'B0BNC2XQ4P','Bad','1.0 out of 5 stars',"It's very bad item"
'B0BNC2XQ4P','Tool box','4.0 out of 5 stars','Useful for small normal tools.'
'B0BNC2XQ4P','Kind request to the manufacturer','4.0 out of 5 stars','Please remove the the name Khadija from the product or replace it as it is very sacred name.  The tools box with Khadija engraved on it can not be kept down it is not correct'
'B0BNC2XQ4P','मोठे प्रोडक्स लवकर पाठवा कारण उशिरा आणल्यामुळे ते आधीच्या मालाने दाबलेले आहेत','3.0 out of 5 stars','एक नंबर'
'B0BNC2XQ4P','Damaged product received','1.0 out of 5 stars','The product quality is good but it was received in damaged condition'
'B0BNC2XQ4P','Quality and design is good but received with physical damage','3.0 out of 5 stars','I received this product in damage condition. I asked for a replacement again I got one is physical damage so I ordered for third one. The product quality is very good. That is why I am ordering again.'
'B0BNC2XQ4P','Why are you sending this type of damaged items. Don’t fool customers','2.0 out of 5 stars',''
'B0BNC2XQ4P','Quality','5.0 out of 5 stars','very good quality material'
'B0BNC2XQ4P','Useful','5.0 out of 5 stars','This item s very useful for gathering all type of tool in one place'
'B0BNC2XQ4P','easy to handle very good product','5.0 out of 5 stars',''
