item,title,rating,body
'B0BP78FZH7','Very less fill material','2.0 out of 5 stars','Very less fill material, hence the pillow is very thin. Not recommended'
'B0BP78FZH7','Good','3.0 out of 5 stars','Good'
'B0BP78FZH7','Not recommended','1.0 out of 5 stars',"It's showing in description filled material is cotton. False commitment"
'B0BP78FZH7','Not bad','5.0 out of 5 stars',"It's too thin Quality is good But after 6 months I can understand everything"
'B0BP78FZH7','Comfortable and soft','5.0 out of 5 stars','Pillow is very comfortable.. Its very fluffy and light weight . Size is also good 😊'
'B0BP78FZH7','Value for Money','5.0 out of 5 stars','good'
'B0BP78FZH7','Very small','3.0 out of 5 stars','It is very small..good for kid'
'B0BP78FZH7','Not worth the 300rs','1.0 out of 5 stars','Extremely skinny and small pillow! Not recommended for sleeping on it'
'B0BP78FZH7','Do not buy','1.0 out of 5 stars','Its was more like a pillow cover then pillow.'
'B0BP78FZH7','Nice and Soft','5.0 out of 5 stars','Nice and Soft, must buy'
'B0BP78FZH7','Too small and not at all fluffy','1.0 out of 5 stars','The pillow is too small and not at all fluffy. I bought it for around 320 rupees. Not at all worth it. I am going to return it.'
'B0BP78FZH7','Wrost products','1.0 out of 5 stars','It have very thin'
'B0BP78FZH7','Too tiny','2.0 out of 5 stars','Tiny pillow and very loose.'
'B0BP78FZH7','Pillow','5.0 out of 5 stars','Good pillow is quite comfortable'
'B0BP78FZH7','Best buy','5.0 out of 5 stars','Best pillow, super comfortable and soft too'
'B0BP78FZH7','Best in the market','5.0 out of 5 stars','Nice quality nice pillow .As good as price .'
'B0BP78FZH7','Very Comfortable Pillow','5.0 out of 5 stars','This bed pillow is very soft and comfortable. Its quality is very good.'
'B0BP78FZH7','Sleepsia pillow','5.0 out of 5 stars','Soft and Comfy. Loved it very much.'
'B0BP78FZH7','Excellent quality','5.0 out of 5 stars','Very soft and comfortable, quality is also very good. Value for money.'
'B0BP78FZH7','Nice pillow','5.0 out of 5 stars','Order it for my kid and he loved it . Awesome product . filling is appropriate and best for side and back sleeper.Would love to order again.'
'B0BP78FZH7','Comfortable','5.0 out of 5 stars','Pillows are meant to keep your spine in a neutral position. They align your neck with the rest of your body, which supports good posture. As such, research has only focused on the best type of pillow for posture.'
'B0BP78FZH7','Awesome product..','5.0 out of 5 stars','Awesome product..Loving it already for the price. Its very fluffy and light weight . Size is also good 😊'
'B0BP78FZH7','Awesome','5.0 out of 5 stars','Nice product value for money'
'B0BP78FZH7','Soft and comfortable','5.0 out of 5 stars','I was searching for a soft pillow for my back support .. finally found this ,it is really very soft. it comes with breathable fabric for comfortable sleep.'
'B0BP78FZH7','so comfortable','5.0 out of 5 stars','size is perfect and feel so comfortable. value for money product'
'B0BP78FZH7',"Worth the money. It's just the perfect pillow",'5.0 out of 5 stars',"I have tried many pillows over the years, but this one is by far the most comfortable and supportive one I've ever used. It's fluffy and super soft, just like the one I wanted for my family. Sleepsia products are just too good and worth every penny."
'B0BP78FZH7','Very smooth and thin','3.0 out of 5 stars','Like it'
'B0BP78FZH7','Size','2.0 out of 5 stars','Too small.'
'B0BP78FZH7',"Amazon's Poor Service",'1.0 out of 5 stars','I ordered this product however the quality is really poor. I have initiated the return pick up but its been more than 2 weeks the return has not yet initiated. Very poor service from Amazon. Never going to order anything from amazon again. No customer service contact. nothing. Total waste of money and time.'
'B0BP78FZH7',"Not as per description and doesn't serves it's purpose as pillow",'1.0 out of 5 stars',"Waste product, this pillow doesn't serve its purpose."
'B0BP78FZH7','Not a good quality one.','1.0 out of 5 stars','The outer cover quality is too bad, looks like a old one.'
'B0BP78FZH7','Cotton lumps within a months.','2.0 out of 5 stars','Cotton lumps within a months. Cotton was uniformly distributed in the start but within a month it has turned into very bad shape'
'B0BP78FZH7','Very small and cushion less pillow','2.0 out of 5 stars',"Don't buy this pillow for sleep and resting your head. This is very small pillow which can't be used for a comfortable sleep. Not worthy for 280RS."
'B0BP78FZH7','Specify the dimensions and thickness correctly','2.0 out of 5 stars',"The dimensions were lesser than specified. The thickness upon resting the head is poor and almost flat. Doesn't serve the purpose. If the correct dimensions and real thickness are specified, I might have chosen the appropriate one."
'B0BP78FZH7','Value for money','5.0 out of 5 stars','Nice product value for money'
'B0BP78FZH7','It’s a wrong size described on the site','2.0 out of 5 stars','Also the quality is not so supreme and good'
'B0BP78FZH7','Superb product.','5.0 out of 5 stars','Value for money very soft'
'B0BP78FZH7','Superb Worth every Penny','5.0 out of 5 stars','At this price you should go for it without hesitation'
'B0BP78FZH7','Soft pillow','5.0 out of 5 stars','Awesome product..Loving it already for the price.filling is appropriate and best for side and back sleeper.Would love to order again.'
'B0BP78FZH7','Superb Quality at the price!','4.0 out of 5 stars','It perfectly serves to my needs & taste & I am satisfied. It is truly a Support pillow having a bil lower softness. Gives a true feel of comfort thru\' the desired support. However, I would have preferred a size larger, say 17"x26". I suggest the supplier to offer this size, too, in a similar price range.'
'B0BP78FZH7','The pillow certainly exceeds the comfort.','5.0 out of 5 stars',"The pillow was delivered in a rolling parcel, And after opening it It enflatted and retain it's Original shape. Pillow is very soft and the material quality is good as per the price, It's one of the best materialistic pillow available."
