item,title,rating,body
'B0BPSPQ8JL','I have been charged Rs. 81 but the product clearly shows MRP 35. I need a reply for cheating.','5.0 out of 5 stars',''
'B0BPSPQ8JL','Excellent purchase','5.0 out of 5 stars','Worth it .. awesome scissor'
'B0BPSPQ8JL','Useless product','1.0 out of 5 stars','The product description says mustache cutting scissors. But the product delivered does not serve the purpose. I am perfectly unhappy with the product and want to return the product.'
'B0BPSPQ8JL','Worst product','1.0 out of 5 stars','V poor quality...Waste of money...No return policy...Refund issues'
'B0BPSPQ8JL','Nice','5.0 out of 5 stars','Good product'
'B0BPSPQ8JL','Worth buying at 80','5.0 out of 5 stars','Quality is good. Sharpness Comfort'
'B0BPSPQ8JL','Cheap and best','5.0 out of 5 stars',"Does it's job"
'B0BPSPQ8JL','Not fit for Moustache.','2.0 out of 5 stars',"Blade are too thick. Doesn't do this task.Bad Experience"
'B0BPSPQ8JL','Good','4.0 out of 5 stars',"It's a scissor."
'B0BPSPQ8JL','Kitchen scissor','1.0 out of 5 stars','This is not a kitchen scissor. Kitchen scissor should be at least 8”.'
'B0BPSPQ8JL','Great and precise','5.0 out of 5 stars','Very good quality and cheap in price. Absolutely precise and must buy scissors.'
'B0BPSPQ8JL','ok','5.0 out of 5 stars','ok'
'B0BPSPQ8JL','Good','4.0 out of 5 stars','The media could not be loaded. Good for cutting, I would suggest thin and sharp tip.'
'B0BPSPQ8JL','Sharp blade and sharp tip','4.0 out of 5 stars','Sharp blade and sharp tip'
