item,title,rating,body
'B0BQMSV5Q2','Works as Intended','5.0 out of 5 stars','Works well with most USB C devices.'
'B0BQMSV5Q2','Super quality and fast charging','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r1fdei0w0k7fzm_1697127009026","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-4282969-9737959","refMarkers":"vse_reviews_desktop_R1FDEI0W0K7FZM_1697127009026_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"21SK90CGS3D1JBQR4G8S","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R1FDEI0W0K7FZM","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R1FDEI0W0K7FZM_1697127009026_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/ea36f9a9-da05-437f-beaf-842351a23b3f.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/4d15d76b-1860-4fe0-b4a4-a07edce24161/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R1FDEI0W0K7FZM","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r1fdei0w0k7fzm_1697127009026-player-312002dd-44cc-4338-99b4-58037e935993","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"21SK90CGS3D1JBQR4G8S","pageAsin":"","sessionId":"260-4282969-9737959"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-4282969-9737959","refMarkers":"vse_reviews_desktop_R1FDEI0W0K7FZM_1697127009026_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"21SK90CGS3D1JBQR4G8S","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R1FDEI0W0K7FZM","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R1FDEI0W0K7FZM_1697127009026_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/61rpB5kanKL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Perfect for latest c type pin charging with very sturdy charger and cable set. Fast charging and user friendly as both charging options usable at the same time. Auto cut off feature saves the device from over heating. Very happy as got better than expected for the price paid. Surely recommend to buy this if need a c type charger and cable. Thank you Amazon and boat.'
'B0BQMSV5Q2','Charger ok but faulty cable','3.0 out of 5 stars','Charger is working fine but the cable received was faulty. So using ear podes cable to charge. Time to charge is long with that cable. Not asked for exchange ...'
'B0BQMSV5Q2','Port not working','1.0 out of 5 stars',"Defective product, one of the port is not working properly and it's loose."
'B0BQMSV5Q2','Good Charging Speed and Compatibility','5.0 out of 5 stars','I appreciate the wide compatibility of this charger. It works seamlessly with various devices, including both Android and iOS platforms.  One of the standout features of this charger is its dual-port functionality. Having two USB ports allows me to charge multiple devices simultaneously.  The sleek and compact design of the Boat Dual Port Charger caught my eye immediately.'
'B0BQMSV5Q2','Nice product','5.0 out of 5 stars','Small size But nice quality We love boat Aman gupta we are fan of you S.p Please but this product'
'B0BQMSV5Q2','In time delivery','5.0 out of 5 stars','I like quality and I am using to charge samsung mobile'
'B0BQMSV5Q2','happy','5.0 out of 5 stars','happy'
'B0BQMSV5Q2','Good product','4.0 out of 5 stars','Quality ok value for money product . Charging speed okay . USB & c to c charging port is useful'
'B0BQMSV5Q2','50/50','3.0 out of 5 stars','Can adjust'
