item,title,rating,body
'B0BRFX19Y1','Product is nice 👍','5.0 out of 5 stars','Touch screen - Good and smoothly work. Display - Display large and perfect set .. Charging - Charging cable are mostly usefull for charging Performance - Good .. value for money.'
'B0BRFX19Y1','Good Product','5.0 out of 5 stars','Product is very good I like the display & everything price is also very good'
'B0BRFX19Y1','Quality','5.0 out of 5 stars','Product quality is awesome. In this prize range this too good watch .'
'B0BRFX19Y1','Budget friendly smartwatch','4.0 out of 5 stars','It contains all the features like the similar Watches but in a affordable price. So buy it !!'
'B0BRFX19Y1','Great looking..nice display','5.0 out of 5 stars','Great looking watch.. lot of features in watch. Great watch.'
'B0BRFX19Y1','Nice','4.0 out of 5 stars','Tried it for the first time, and absolutely loving it! As compared to the other expensive brands, it is one of the best out there in the market!'
'B0BRFX19Y1','Very good','5.0 out of 5 stars','Good quality'
'B0BRFX19Y1','Best smartwatch for teenagers','5.0 out of 5 stars','I have purchased this smartwatch for my daughter and she liked this smartwatch.I am satisfied with this purchase. Totally value for money'
'B0BRFX19Y1','Good watch','5.0 out of 5 stars','Goods watch at this price'
'B0BRFX19Y1','Design','5.0 out of 5 stars','Nice looking watch'
'B0BRFX19Y1','Must buy!','5.0 out of 5 stars','Best watch in this price range.'
'B0BRFX19Y1','Awesome','5.0 out of 5 stars','Value for money product'
'B0BRFX19Y1','Dont have swimming track....','1.0 out of 5 stars','It has lots of sports tracking option but even though its IP68 it dont have swimming tracking. I want to return this product but not sure if I can do that or not'
'B0BRFX19Y1','Nice watch','5.0 out of 5 stars','Very nice good calling and voice assistant'
'B0BRFX19Y1','Best watch in affordable price 799*','5.0 out of 5 stars','Quality -5 Battery-5 Features- 4 Accuracy-5'
'B0BRFX19Y1','Good product','5.0 out of 5 stars','Good product at this price ……'
'B0BRFX19Y1','Nice product I love it','5.0 out of 5 stars',"I like it's functions"
'B0BRFX19Y1','Good in this price range','4.0 out of 5 stars',''
'B0BRFX19Y1','Good watch','5.0 out of 5 stars','Nice watch amazon'
'B0BRFX19Y1','Bought it in sale at just 600 bucks','3.0 out of 5 stars',''
'B0BRFX19Y1','Cheap and best','4.0 out of 5 stars','Nice one at a cheap rate of 800 gives more functions then expected'
'B0BRFX19Y1','Value for money','5.0 out of 5 stars','Nice one'
'B0BRFX19Y1','Awesome product','5.0 out of 5 stars','Awesome product'
