item,title,rating,body
'B0BRKJFW2G','5 star','5.0 out of 5 stars','Nice shirt good looking please check right size nice colour locket is missing but other wise good product thank you'
'B0BRKJFW2G','Great','4.0 out of 5 stars',"Quality is good.But sensitive skin people's shouldn't. Assuming to get pendant too but😔"
'B0BRKJFW2G','The material','5.0 out of 5 stars',"It's good actually"
'B0BRKJFW2G','Good quality with perfect fitting','5.0 out of 5 stars','The quality of shirt is superb.'
'B0BRKJFW2G','Great','5.0 out of 5 stars','I like this shirt material quality good'
'B0BRKJFW2G','Worst product','5.0 out of 5 stars','Very cheap quality.. Its nothing like we see in the picture..'
'B0BRKJFW2G','Good','5.0 out of 5 stars','Nice one to buy'
'B0BRKJFW2G','Nice','5.0 out of 5 stars','Very amazing'
'B0BRKJFW2G','Awesome product...','4.0 out of 5 stars','Quality, size colour combination of the shirt is amazing...'
'B0BRKJFW2G','Comfortable','5.0 out of 5 stars','Good material and great fit'
'B0BRKJFW2G','QUALITY','5.0 out of 5 stars',"The shirt I'm prechased was really very 👍"
'B0BRKJFW2G','Good quality and comfortable','5.0 out of 5 stars',''
'B0BRKJFW2G','WORST QUALITY','1.0 out of 5 stars','the quality of the cloth is just nylon and extremely uncomfortable and hot... the colours are not anywhere close to what shown in the pics and the stitches are poorly done.. dont buy this product it is a wastage of money. These kind of shirt quality only suits roadside chapris. Trust me do not buy this shirt'
'B0BRKJFW2G','Nice one','5.0 out of 5 stars','Good product and also good quantity.'
'B0BRKJFW2G','Super good','5.0 out of 5 stars','Excellent product'
'B0BRKJFW2G','Excellent quality, love it!','5.0 out of 5 stars','Like the comfort, quality! Value for money.'
'B0BRKJFW2G','Very Nice','5.0 out of 5 stars','Very Happy (Google: Kalyan Das Cartoonist)'
'B0BRKJFW2G','Average','2.0 out of 5 stars','Just average'
'B0BRKJFW2G','Perfect','5.0 out of 5 stars','Really Good'
'B0BRKJFW2G','Texture','4.0 out of 5 stars','Nice to look'
'B0BRKJFW2G','Don’t market','2.0 out of 5 stars','Not a quality product, colour difference ,'
'B0BRKJFW2G','Value for money','5.0 out of 5 stars','Best shirt under 300 worth it'
'B0BRKJFW2G','Worth the price','5.0 out of 5 stars','the product is more than i expected it to be. not anything fancy but for 350rs its worth it'
'B0BRKJFW2G','Amazing','5.0 out of 5 stars','Best quality'
'B0BRKJFW2G','Better one','5.0 out of 5 stars',"It's nice"
'B0BRKJFW2G','Damage product','1.0 out of 5 stars','Damage product'
'B0BRKJFW2G','Nice','5.0 out of 5 stars','Nice to wear for younger'
'B0BRKJFW2G','Polyester.','3.0 out of 5 stars','Difficult to maintain this shirt. Quality can be improved more'
'B0BRKJFW2G','Desire for Comfort wearing','3.0 out of 5 stars','Comfortable'
'B0BRKJFW2G','Good product','4.0 out of 5 stars','Best as I expected'
'B0BRKJFW2G','Good and fit','4.0 out of 5 stars','Good quality, colour not fading. I bought this shirt around 300 rupees. Worth for money product. Not recommended for summer days.'
'B0BRKJFW2G','What to know shoulder size','2.0 out of 5 stars','My shoulder fits 40 cms but this one starts with 42cms what to do please help in this size of shirt'
'B0BRKJFW2G','The quality is good','5.0 out of 5 stars','The quality of the cloth is good , size also fits , over-all worth the money'
'B0BRKJFW2G','Perfect fit','5.0 out of 5 stars','Good quality and perfect fit'
'B0BRKJFW2G','Value for money. Highly recommended','5.0 out of 5 stars','Cloth quality and fitting are perfect. Price is reasonably good.'
'B0BRKJFW2G','Shirt','5.0 out of 5 stars',"I like this ordered shirt. It's stuff is amazing."
'B0BRKJFW2G','Amazing','5.0 out of 5 stars',''
'B0BRKJFW2G','Maintenance free shirt','5.0 out of 5 stars','I loved the material. such a wonderful fabric i can wash and wear it without ironing. No wrinkles material!!!sooper feel. I purchased it for my son. His friends envy him about this shirt. I came across a automobile youtuber was wearing the same 👕 shirt'
'B0BRKJFW2G','Lymio best product','5.0 out of 5 stars','Nyc kolite in product and value for money /color bhi bhut aaha ha /product ki weight bhi bhut acchi ha'
'B0BRKJFW2G','Good','4.0 out of 5 stars','Good'
'B0BRKJFW2G','Shirt Material is too hot to wear','1.0 out of 5 stars',"The cloth material is too heavy and hot to wear. I couldn't wear it for more than 10 minutes."
'B0BRKJFW2G',"That's Amazing 😍",'4.0 out of 5 stars',''
'B0BRKJFW2G','Very poor quality','1.0 out of 5 stars','Quality wise very poor'
'B0BRKJFW2G','Material, colour','5.0 out of 5 stars','I like the colour shirt. Material of shirt is also nice.  It is worth of money.'
'B0BRKJFW2G','Bad quality','1.0 out of 5 stars','Absolutely not worth..fabric is absolutely thin polyester....'
'B0BRKJFW2G','Very cool','5.0 out of 5 stars',"It's very good"
'B0BRKJFW2G','Product review','5.0 out of 5 stars','The shirt which I got is very nice , quality is good , fitting is good . Very nice shirt .'
'B0BRKJFW2G','Good quality for this price range','5.0 out of 5 stars','All good'
'B0BRKJFW2G','Value for money','5.0 out of 5 stars','Weight'
'B0BRKJFW2G','Good','3.0 out of 5 stars','Good'
