item,title,rating,body
'B0BRKYMS7Y','Easy To Use And Good Product','5.0 out of 5 stars',"It's So Easy To Use The Watch And In Good Condition... I Like Watch's Screen And It's Functions Like Heart Rate, Bluetooth Calls Watch Appearance And Smoothness Is Really Nice. I Like It's Working Style........ And Also Recommend This Watch To Purchase..... And Fire Boltt Is Really Good Brand To Use....."
'B0BRKYMS7Y','Good','5.0 out of 5 stars','Good'
'B0BRKYMS7Y','Best','4.0 out of 5 stars',"It's too good"
'B0BRKYMS7Y','No','1.0 out of 5 stars','Display is very poor'
'B0BRKYMS7Y',"Don't buy Showings Heartbeat for a table",'1.0 out of 5 stars','The media could not be loaded. This watch is outdated you can get much more features for this price range .Even Features are not useful Some cones - 1 Not able to control sound levels in watch 2 Not able to switch sound from watch to other device 3 When you play music it sounds from watch 4 battery not lasts for a day 5 Heart rate is not monitored automatically even I have made changes in setting'
'B0BRKYMS7Y','Got quickly','5.0 out of 5 stars','Good one'
'B0BRKYMS7Y','Good watch','5.0 out of 5 stars','Product looks great'
'B0BRKYMS7Y','Must buy this product','5.0 out of 5 stars','The product is amazing and services are also very good.'
'B0BRKYMS7Y','Display having some problems','4.0 out of 5 stars','All this are good'
'B0BRKYMS7Y','Good product','3.0 out of 5 stars','Very easy to use .. Cool look .. like it very much'
'B0BRKYMS7Y','Display','5.0 out of 5 stars','Good'
'B0BRKYMS7Y','Very nice','5.0 out of 5 stars','Looks good and premium and the features are very accurate the display is very vibrant and watch faces are unique'
'B0BRKYMS7Y','Excellent UI','5.0 out of 5 stars','This have excellent UI along with a decent build quality, and good charging capability. Hence a decent watch'
'B0BRKYMS7Y',"It's performance is ok but the charging is some what difficult",'2.0 out of 5 stars','Charging with the given pin is bit problematic'
'B0BRKYMS7Y','Value for money','5.0 out of 5 stars','Product is sleek and useful.'
'B0BRKYMS7Y','Great','4.0 out of 5 stars','Looking good nice look 😊'
'B0BRKYMS7Y','Good one','5.0 out of 5 stars','Great purchase.got for an amazing price'
'B0BRKYMS7Y','Smart watch','5.0 out of 5 stars','Its display is very speedy and its good looking. Its screen looks pretty good. Its is worth to buy So for this price worth product'
'B0BRKYMS7Y','Good working','5.0 out of 5 stars','The media could not be loaded. Very smooth product and working'
'B0BRKYMS7Y','Affordable','5.0 out of 5 stars','Good product'
'B0BRKYMS7Y','All good','5.0 out of 5 stars','Watch is a but heavy'
