item,title,rating,body
'B0BRWRP414','After wash it shrink','2.0 out of 5 stars','Length must be 40inch or 41 inch so that after wash it become normal not short in length. It is 39" long nd after wash it becomes 38". Otherwise fabric is gud .'
'B0BRWRP414','Its fabulous!','5.0 out of 5 stars','Never expected, such a good material, really loved it.'
'B0BRWRP414','Cloth quality below average','1.0 out of 5 stars',"Quality is below average. Just after one wash, cloth's stitches got damaged"
'B0BRWRP414','Fitting','2.0 out of 5 stars','Fitting not comfortable. Legs fitting ok but the are above thighs front bulges'
'B0BRWRP414','Worst quality and stitch dont buy it! In one use itself the stitches came out and pant was torn','1.0 out of 5 stars','Quality and stitching!'
'B0BRWRP414','About it quality','2.0 out of 5 stars','Quality is nice but the switches are not because after wearing it for second time, the switches came out.'
'B0BRWRP414','Overpriced','1.0 out of 5 stars','Worst cloth quality....returned it'
'B0BRWRP414','Excellent!!','4.0 out of 5 stars','The product was exsctly the same as shown in the website. The quality of the material is really good and fitting was perfect. Really loved the product and already purchsed three shades.'
'B0BRWRP414','Nice','4.0 out of 5 stars','Fitting is good comfortable'
'B0BRWRP414','Good quality','5.0 out of 5 stars','Pure cotton'
'B0BRWRP414','Comfortable','5.0 out of 5 stars','Very good. I want to buy more colours. Cotton but stretchable. So comfortable.'
'B0BRWRP414','Material','2.0 out of 5 stars','Very bad material as in 1 wash it got shrinked'
'B0BRWRP414','Cotton but has enough stretch','5.0 out of 5 stars','I orderd a maroon color leggings recently. Being on plus side, i need very comfortable pants. & this definitely delivers it. It looks like a cotton straight pants but has a stretching in the fabric which makes it comfy & easy to move around in. Would definitely recommend.'
'B0BRWRP414','Nice product','5.0 out of 5 stars','Good product at such a great price'
'B0BRWRP414','Good','5.0 out of 5 stars','Good product'
'B0BRWRP414','Disappointed','1.0 out of 5 stars','This is not pure cotton. Synthetic material. Poor quality.'
'B0BRWRP414','Proper fitting','5.0 out of 5 stars','Delivers what is promised'
'B0BRWRP414','Material excellent','5.0 out of 5 stars','Comfortable and material too good'
'B0BRWRP414','good','4.0 out of 5 stars','ordered 2xl but got 3xl ...its little loose but thought 2xl would be tight so keeping it...its comfortable to wear.'
'B0BRWRP414','Quality not good','3.0 out of 5 stars','After washing the cloth was shrinked'
'B0BRWRP414','Comfortable pant..','5.0 out of 5 stars','Comfortable, perfect fitting,good fabric..must purchase value for money. Thnks and would prefer other also to buy such a nice pant in this prices'
'B0BRWRP414','Must purchase','5.0 out of 5 stars','Nice pant...with proper comfort ,,👍nice colors choice.. Good to go. Must purchase it under the good prices. Good fabric.Thankyou very much for this amazing product.'
'B0BRWRP414','Nice product','4.0 out of 5 stars','Quality is good'
'B0BRWRP414','The quality of cloth used.','4.0 out of 5 stars','A good product. Easy to wear.'
'B0BRWRP414','Excellent product','5.0 out of 5 stars','Lovely.got as I wanted  Super'
'B0BRWRP414','Nice product','5.0 out of 5 stars','Value for money ... . Worth buying 👌 I loved the pant quality is much more good than I expected'
'B0BRWRP414','Amazing','4.0 out of 5 stars','Nice product and fitting'
'B0BRWRP414','Very good','5.0 out of 5 stars','Fabric quality is very good and comfortable'
'B0BRWRP414','Prize tag is not on the product','1.0 out of 5 stars','There is no prize tag on the item'
'B0BRWRP414','Return not yet pickedup','2.0 out of 5 stars','Product is good but of little small, nd nobody yet come to pick up the returned product.'
'B0BRWRP414','Excellent product for this price','5.0 out of 5 stars','Material is elastic in nature but looks like cotton. Fit and model is very good. XXL is very comfortable for 75 kg, 5.3 height'
'B0BRWRP414','The price tag was missing','1.0 out of 5 stars','The price tag was missing'
'B0BRWRP414','Awesome pant','5.0 out of 5 stars',"It's a comfortable pant loved it."
'B0BRWRP414','Ok ok','3.0 out of 5 stars','It is ok ok but the fit was not that much good. I ordered 2xl bigger than my size but still it tights a little bit.'
'B0BRWRP414','Superb','5.0 out of 5 stars','Superb quality and good fabric. Stretchable cotton lycra fabric is very comfortable from summer. Thanks Amazon for such a nice product'
'B0BRWRP414','Nice','4.0 out of 5 stars','Nice, stretchable. Aasan thoda sa kam.hai but overall comfort fit.'
'B0BRWRP414','Perfect','5.0 out of 5 stars',"I really liked this. Purchased it for my friend fitting is superb . Colour is really bright . It's cotton fabric keeps us coll a d comfortable. Thanks Amazon for such a nice product."
'B0BRWRP414','Awesome Fit','5.0 out of 5 stars','Quality of fabric is really amazing. Bright colour with pocket for valuable. Stitching is good. Thanks will try more colours from Blue Star Shark'
'B0BRWRP414','Awesome','5.0 out of 5 stars','Awesome'
'B0BRWRP414',"It's good",'4.0 out of 5 stars','The cloth is strachable'
