item,title,rating,body
'B0BV6P3KSW','N/A','N/A','Cute but battery life is short. Only works well on fridge. Sounds tinny. Sounds great inside the fridge'
'B0BV6P3KSW','N/A','N/A','It’s little and mighty. I love the sound on my refrigerator.'
'B0BV6P3KSW','N/A','N/A','Small compact'
'B0BV6P3KSW','N/A','N/A','This is my 3rd Muzen products. That says it all! Excellent quality!'
'B0BV6P3KSW','N/A','N/A',"I love this magnet, even if the sound isn't the greatest. It doesn't get very loud and sounds a bit tinny, but it's a magnet. It syncs up with bluetooth very easily. It is fun to kind of freak people out when they go to open the refrigerator and I tap a song on my phone that starts up when they open it. That was worth it for me."
'B0BV6P3KSW','N/A','N/A',"When I got it, I was a little disappointed cause it was so small. I figured it wouldn't be that good. I was wrong, dead wrong. It kicks and is loud. I love the retro look, and the magnet to put on the fridge makes it ever better. You want a cute novelty speaker that works? This is it!"
'B0BV6P3KSW','N/A','N/A',"This is a neat little gadget. It seems a little fragile like if I accidentally drop it that it might break. It's pretty much made of all plastic with a small magnet on the back. The magnet is pretty strong. It hasn't fell off of my refrigerator even with how my kids like to always slam the door. It was very easy to pair up to my phone.  The battery life life is ok. The sound quality is ok for what it is. It doesn't have any bass. With that being said I wasn't really expecting it to a lot of bass anyway. I will say that it's great for listening to podcasts or audio books.  The main feature that I think is cool, is how when I stick it to my refrigerator it turns it into a Bluetooth speaker. My kids love it."
'B0BV6P3KSW','N/A','N/A','This Muzen speaker is fantastic. The speaker is little but powerful. I would purchase this speaker if your looking for good sounding little speaker'
'B0BV6P3KSW','N/A','N/A',"It's cute alright - too bad it won't work."
'B0BV6P3KSW','N/A','N/A','It looks awesome on my fridge. The volume is loud. This is the third product I got from Muzen! Does not disappoint as usual!!!'
'B0BV6P3KSW','N/A','N/A','Got a metal surface? A refrigerator? A dishwasher? A washing machine? A dryer? Yes? Then you need this item. Set it up like any wireless audio device, stick it on any metallic surface and enjoy hours of wireless music enjoyment without earbuds or headphones. The speaker itself is quite small, but the audio quality is surprisingly good for a speaker of this size. These small "stick anywhere" speakers are just the thing when travelling through the concrete jungle where metal surfaces abound. They are a very good deal at the current price range.'
'B0BV6P3KSW','N/A','N/A','This works really great surprisingly. I was shocked by how well it works'
'B0BV6P3KSW','N/A','N/A',"The Muzen OTR Sticker Bluetooth Speaker is a super cool magnetic bluetooth speaker that you can sync with your phone (or other devices) and use it as the speaker. I have mine on my fridge and turn it on and connect my phone to it when i'm in the kitchen. The volume is pretty powerful and the battery lasts a long time. Its super easy to charge and uses the same charger as my phone. You can stick it on any metal surface plus it looks so cool with the retro style and easy to take anywhere. I highly recommend this speaker."
'B0BV6P3KSW','N/A','N/A',"This little dude is so fun! I had low expectations for a speaker at this price, but I was a bit stunned how loud and clear it could project given the right environment. Without a backing to amplify, the speaker is somewhat weak and unimpressive, but when magnetized to something like a fridge, it becomes surprisingly robust. You'll have to experiment to find the ideal placement. It's probably smaller than you expect, about the size of a credit card. The on-off jingle is the historic telegraph SOS pattern (I think) which is cute. Super easy to connect and use. Worth your pocket money!"
'B0BV6P3KSW','N/A','N/A',"The media could not be loaded. This little speaker was the easiest thing I've ever hooked to my Bluetooth and it sounds great!"
'B0BV6P3KSW','N/A','N/A','I am so impressed with this speaker - it took me a little bit of time to set this up, but once I figured it out I was highly impressed by the clear sound. I also loved that it is magnetic - I stuck it to my fridge and it has been a perfect cooking companion. Even the retro design is a clever, engaging detail. I played it for three hours during a dinner party last weekend and had no complaints about the battery life. Bonus points for being rechargeable with the same cord I use for my kindle!'
'B0BV6P3KSW','N/A','N/A','I plugged this in straight out of the box to test it. I listened to about 10 songs before it died. When magnetized to my fridge, the sound output was loud enough to reach a few rooms in my house. Kitchen, dining room, and softly from the living room.  After charging it lasted about 2 hours before it died again but had it on the highest setting. I think this is a cute little speaker that is excellent value for the money spent.'
'B0BV6P3KSW','N/A','N/A',"I love this thing. Is it the best quality speaker you can have? No, it's simple compact and most of it's sound comes from reflecting off a hard surface, like a refrigerator door. But the battery life is great, you can take it anywhere, and throw it up for some easy impromptu Spotify listening. The design is also very fun and retro, it reminds me of old appliances in my grandmother's 70s decor home."
'B0BV6P3KSW','N/A','N/A','This little adorable red speaker fits perfectly on my fridge. Every morning before breakfast I just crank up the tunes straight from the “radio” for a retro vibe. I wished it worked as a standalone speaker but unfortunately it only plays sound when attached to a metal surface by magnet.'
'B0BV6P3KSW','N/A','N/A',"This magnetic speaker is the size of a refrigerator magnet, and it has a fun, retro look. The speaker is rechargeable and offers fairly loud, decent quality audio for such a tiny speaker. My family was impressed!  The speaker has two small non-functioning silver knobs on the bottom, a larger backlit control knob and four fake speaker grills. The speaker powers on by pressing down on the control knob. That will also turn on the backlighting behind the knob and the green status light will start blinking. Once the speaker is paired with your phone, the control knob also controls the volume. The knob can be turned past 360 degrees, which was a bit confusing at first.  Overall, this is a very unique and fun speaker that works well for its size. It's small magnetic size makes it easy to have in your kitchen or elsewhere without taking up a lot of space or losing it. Highly recommend!"
'B0BV6P3KSW','N/A','N/A','This review is for the MUZEN OTR Sticker Speaker (Color: Green). I received a free taxable sample of this Bluetooth speaker to review in my search for fun, interesting, and giftable tech.  The speaker comes double boxed with an outer branded brown cardboard box, a middle bubble wrap pocket, and an inner branded decorated slider box with display window. The slider box is a nice frame for the speaker\'s old timey look and makes it quite easy to gift with or without additional re-boxing.  The speaker is the size of a refrigerator magnet and measures 3" across and 2" up-down with a depth of 7/8" as measured to the tip of the control knob. The front-facing housing is a glossy colored plastic, and the overall weight is a scant 45 grams. Charging is via a USB-C port on the right side and the speaker will continue to operate normally even when plugged in and charging.  Connecting to and controlling the speaker is fairly simple and intuitive, especially as there is only the one USB-C charging port, two lights (one green status light and one power light backlighting the control knob), and one control knob for pairing, play/pause, and controlling the volume. Pressing down on the control knob will power up the speaker and turn on the backlight behind the control knob. Once powered on, the green status light will start blinking and a short string of Morse code will play. A long press of the control knob will initiate Bluetooth pairing whereupon the green status light turns solid, and another short string of Morse code will play. Once selected on your device, the speaker should already be set as the default AirPlay output so that turning the control knob will increase or decrease the volume and a short push of the control knob will play or pause the music stream. The control knob is not absolute and can be turned past 360 degrees.  The overall look of the sticker speaker is a clean old timey retro look complete with four horizontal (fake) openings simulating speaker grills, a glowing backlit control knob, and two smaller non-functional silver knobs. When powered off, the sticker speaker looks like your standard refrigerator magnet, and it\'s only the green status light that seems out of place and gives away the modern tech when powered on.  I have to admit that I was initially skeptical of the praise for the sound quality of this speaker, up until the point when I initially started playing the music on my device and spent a couple minutes checking my AirPlay settings before realizing that the sound was coming through the sticker speaker and not my device speakers. When properly magnetized to a flat metal surface, the sound is quite clean with a good dynamic range at normal listening levels. The sound is significantly at a lower volume and quality when not magnetized and/or when pressed against a non-metal surface - coming across muffled and with a narrower dynamic range. The requirement that the sticker speaker must be magnetized to a metal surface might be a limitation, but interestingly enough there were more magnet-friendly metal surfaces around the house than I realized, such as the oven, espresso machine, and a lot of cookie tins. What I especially like about this sticker speaker is that it\'s so tiny and fun to use, where you can just stick it on a vertical magnetic metal surface and start listening pretty quickly.  All in all, the MUZEN OTR sticker speaker is a nicely constructed piece of modern technology packaged behind a pleasant retro façade that speaks of simpler times. I would recommend this as a great option for a fun and pretty good quality Bluetooth speaker for use around the house on magnetic metal surfaces and/or as a gift for your technophile friend who seems to have everything.'
'B0BV6P3KSW','N/A','N/A','The media could not be loaded. Wow, even with glasses on I had a difficult time breathing the instructions in the little booklet that it came with so I ended up having to take pictures and blowing them up so that I could read the fine print. That was the most difficult thing with getting excited to work its well-made wait to it. I do wish that it came with the charger cord because I do not have a spare one so there’s that so if you’re going Wow, even with glasses on I had a difficult time breathing the instructions in the little booklet that it came with so I ended up having to take pictures and blowing them up so that I could read the fine print. That was the most difficult thing with getting this item to work it’s well-made it’s got a gun wait to it. I do wish that it came with the charger cord because I do not have a spare one so there’s that so if you’re going to get this, I do recommend it it’s not just a gimmick. It’s adequate speaker at work station that controls are absolutely adorable wash the bottom two are functional but the big main one is actually the volume is easy to use. I really like it a lot. I gave it 4 stars because who doesn’t include the power cord these days?!'
'B0BV6P3KSW','N/A','N/A',"I will explain what I meant by the end. Firstly sound quality is all over the place because everything reacts differently to audio. For me I love things that no one knows what they are. I mean who will assume this is your speaker lol. So far metal is the best. The reason I called this a tool is for my fellow voice actors. Instead of expensive audio testing equipment get this. Play the type of audio you plan on making into your proofing. It will show you how well it absorbs those frequencies. Plus I just love the magnet idea! Its easy to use upside down if you look at volume dial and cannot read on off then it's probably upside down. Makes a difference for sure. Pressing the main knob pauses and turning it left or right turns volume up and down respectively."
'B0BV6P3KSW','N/A','N/A','This makes a great small speaker. Slightly canned sound which is magnified if placed on thin metal. magnet works ok, but when volume is turned up, it walks itself down the fridge. Cute as a button though and I LOVE that the volume can be controlled on the speaker.'
'B0BV6P3KSW','N/A','N/A',"Not super clear sound but that doesn't bother me much because it adds an old time feel to the old time look of the radio. What does bother me is that it doesn't come with the cord needed to charge it. i feel that when a product is sold it should provide the consumer with everything necessary to use it. I also don't feel like it could handle a fall or two. I love the uniqueness of though."
'B0BV6P3KSW','N/A','N/A','These are SOOO cute and I love them. You need to know that they are designed to work being anchored to a surface like a refrigerator using the attached magnet. It bounces the sound against whatever surface it’s stuck to and that’s where you get the sound from. Connected immediately with no issues and the sound is remarkable for such a tiny little low-profile speaker. The cute factor is there. I love Muzen and have a few speakers from them I’ve used for years now and they are my go-to when I need to take something small and portable with me. Great battery life. These are a GREAT gift idea.'
'B0BV6P3KSW','N/A','N/A','When we tested this new speaker, which was sent to us for review via the Vine program, we were initially disappointed with the sound quality. We expected it to be not nearly as rich as the speakers we normally use to play music in our home. After all, it is tiny and out of the box sounded "tinny" and muted.  Then, we realized that the sound quality varies significantly, depending on where you place the speaker. We tried it on a metal railing and that improved things. We tried it on a metal door and that was better. Then we put it on the refrigerator and the bulk of that connection was the best of all.  So, if you do order one of these speakers, experiment with where you\'ll get the best results. The change in quality between surfaces surprised us.  Overall, though, we\'ve had better small speakers that cost less. At $30, we likely would not have purchased this speaker. And, we do know that some speakers we bought in the $20 range actually do perform better.  Perhaps you like the retro look of this speaker and might rate it at 5 stars for the colorful design, but for us this is a 4-star product.'
'B0BV6P3KSW','N/A','N/A','When I first pulled this little speaker out of the box, I powered it on, synched it to my smartphone via Bluetooth, and started playing music. With the speaker in my hand, I started tinkering with the volume, but no matter what I did the audio just ended up sounded muted and quiet. A bit disappointed, I decided to leave the music playing and test the strength of the magnet on my freezer door... and that\'s when this speaker started to shine!  The design of this speaker is unique in that it will not produce its full audio potential unless the speaker is attached to a metal surface. Once it is, the speaker is *impressively* loud for its size. While it does sound a bit "tinny" overall, I wouldn\'t expect a speaker this small of being capable of pushing mids and lows like its larger counterparts, especially at this price point. Additionally, that "tinny" nature actually goes well with the classic radio aesthetic of the speaker, which is kind of a cool complement, in my opinion.  After my initial tests with this speaker I decided to bring it out to my garage to listen to music while I cleaned up the space. After snapping it onto my garage fridge, I turned it up to around 80% volume and worked away. The music was clean and present while I worked away, with audio that could clearly be heard while sweeping, spraying down surfaces with a hose, and stacking lumber. Needless to say, it worked, and it worked well for the entire time I was working away.  Long story short - This little speaker is impressive in its ability to put out music. While the audio quality leaves something to be desired, you can\'t expect a speaker this compact to cover the full range of larger, higher end speakers. This speaker is easy to use, is small enough to fit just about anywhere one would want to place it, and it does a great job, overall. I\'m VERY impressed with this little unit! 5/5 stars!'
