item,title,rating,body
'B0BWJ7QFJV','Good quality','5.0 out of 5 stars',''
'B0BWJ7QFJV','good product, after using 2 months','4.0 out of 5 stars','value for money product. used for 2 months. I liked the product and comfort. Received on time. Thanks to Amazon India.'
'B0BWJ7QFJV','Quality of Pillows','1.0 out of 5 stars','Disappointed and Quality of product not worthy for amount . But not interested to send product return ..Not worthy for amount'
'B0BWJ7QFJV','Not that satisfied and ok ok types','2.0 out of 5 stars','Not so great. Not very steardy. Ok ok types.'
'B0BWJ7QFJV','Good','4.0 out of 5 stars','I like the product.'
'B0BWJ7QFJV','Value for money','4.0 out of 5 stars','Good quality & packaging was good'
'B0BWJ7QFJV','average quality','3.0 out of 5 stars','very soft, quality appears sub par'
'B0BWJ7QFJV','Size','4.0 out of 5 stars','The media could not be loaded. Little small'
'B0BWJ7QFJV','Not worth the money','2.0 out of 5 stars','Outer quality is okay but the filler insider is not that good. The lumpy filling is clearly visible and does prove the poor quality work.'
'B0BWJ7QFJV','Not worth by this amount','3.0 out of 5 stars','More scope for better Quality is ok, ok'
'B0BWJ7QFJV','Nice','4.0 out of 5 stars','These pillows are very nice and comfortable. Price is reasonable too. I would recommend buying them. I bought them at 499.'
'B0BWJ7QFJV','Not like the picture','2.0 out of 5 stars','The pillows are not as thick and fluffy as the picture. Not value for money.'
'B0BWJ7QFJV','Value for money','4.0 out of 5 stars','Comfort& Quality very good .'
'B0BWJ7QFJV','🥴🥴🥴','1.0 out of 5 stars','The media could not be loaded. What the hell you are doing to customers? Is this what you see in the photo? Are you fooling the customers? Can you show me how to lay on this pillow? Instead of this, I should have folded the paper and lay on bed🥴🥴 Show some intelligence and knowledge.'
'B0BWJ7QFJV','Its squishy and comfortable','5.0 out of 5 stars','Its your everyday pillow but more comfortable and has maintained its shape even after 10 days of rough use.'
'B0BWJ7QFJV','Na','5.0 out of 5 stars','Good one'
'B0BWJ7QFJV','Cloth fusion, micro-fibre pillows','4.0 out of 5 stars','I found the pillow too soft. My head just sank into the pillow. I prefer pillows to be firmer and support my head.'
'B0BWJ7QFJV','Good to use','5.0 out of 5 stars','Comfortable'
'B0BWJ7QFJV','Good quality','5.0 out of 5 stars','The media could not be loaded. Behtar'
'B0BWJ7QFJV','Horrendous quality','1.0 out of 5 stars','Stay away at any cost. Stick to wakefit or other brands'
'B0BWJ7QFJV','Good quality','5.0 out of 5 stars','Good quality material'
'B0BWJ7QFJV','As shown not real','2.0 out of 5 stars','Very small and low filling'
'B0BWJ7QFJV','Perfect','5.0 out of 5 stars','super affordable, comfortable, good looking, and long-lasting. been a year and a half, and they’ve held up great. highly recommended!'
'B0BWJ7QFJV','It’s worth','5.0 out of 5 stars','The media could not be loaded. I’m satisfied this one. Really good.'
'B0BWJ7QFJV','Returned','1.0 out of 5 stars','One pillow was deflated like a paper. The other pillow was fluffy :('
'B0BWJ7QFJV','Very nice','5.0 out of 5 stars','Good quality'
'B0BWJ7QFJV','Average','3.0 out of 5 stars',"They are normal size average density pillow, not the ones if you're a heavy sleeper and want fluffy pillows"
'B0BWJ7QFJV','Good','4.0 out of 5 stars','Good as expected'
'B0BWJ7QFJV','Pillows poor quality','1.0 out of 5 stars','Poor quality material'
'B0BWJ7QFJV','Bad quality pillows','1.0 out of 5 stars','The pillows are completely flat. In actual and in pics totally different..'
