item,title,rating,body
'B0BY35LMJ1','Good shirt','5.0 out of 5 stars','The look is genz and the color is also cool. I love these types of shirt. You can buy it'
'B0BY35LMJ1','Light weight,perfect fitting,nice material','4.0 out of 5 stars','Personal use,very beautifully stitched ,nice pattern and colour'
'B0BY35LMJ1','Good','5.0 out of 5 stars','Best shirt'
'B0BY35LMJ1','Love it','5.0 out of 5 stars','Wonderful'
'B0BY35LMJ1','Quality is nice','3.0 out of 5 stars',"Product materiel is nice but colour is slightly different .But at this price point it's OK."
'B0BY35LMJ1','Good','4.0 out of 5 stars','Good shirt at reasonable price'
'B0BY35LMJ1','Good cloth','4.0 out of 5 stars','Material is good but thoda loose ho rha 🥺'
'B0BY35LMJ1','Cotton','5.0 out of 5 stars','Quality of shirt is best 😍 so comfortable and genz look😍'
'B0BY35LMJ1','Good','3.0 out of 5 stars','Good slim fit super'
'B0BY35LMJ1','Good fit.','5.0 out of 5 stars','Good quality fabric and looks attractive.Value for money.'
'B0BY35LMJ1','Fit is good, color differs from images','3.0 out of 5 stars',"Fits to your regular size , quality of cloth is ok but color doesn't even go near to that in the images"
'B0BY35LMJ1','I like it','5.0 out of 5 stars','Very nice shirt'
'B0BY35LMJ1','In image product is different but come to tha home that product is different','1.0 out of 5 stars',''
'B0BY35LMJ1','Nice product but neck-tee is not included.','3.0 out of 5 stars',"Overall product is nice but the inner white neck-tee is not included during delivery.....That's a con and making product not worth for money..."
'B0BY35LMJ1','Good quality','4.0 out of 5 stars','👍'
'B0BY35LMJ1','4.5 Star','4.0 out of 5 stars','I had ordered 2 different color of same Shirt but somehow fiting of both shirts are different.  Appearance is Good Stitching is also Good Material is bit thicker side basically in Summers (Mumbai Region) you will sweat alot and material wont absorb it.  But I would say its Worth Buying and Try once if it Suits your Fashion'
'B0BY35LMJ1','Received damaged one','1.0 out of 5 stars','Dislike'
'B0BY35LMJ1','Poor quality','1.0 out of 5 stars','The media could not be loaded. Not good'
'B0BY35LMJ1','Nice one','5.0 out of 5 stars','Nice'
'B0BY35LMJ1','Fabric is good','3.0 out of 5 stars','Appearance, stitching amd quality is good but fitting is loose.'
'B0BY35LMJ1','Not good product','1.0 out of 5 stars','Very poor quality and back ground white shirt not delivered .'
'B0BY35LMJ1','200% waste product','1.0 out of 5 stars',"Waste product very very poor quality don't go for it even 2% also not good if I return the product they are not coming for taking return also ..."
'B0BY35LMJ1','Waste quality','1.0 out of 5 stars','Waste different from image don’t buy it guys waste of money . . . . . . . . .'
'B0BY35LMJ1','good','4.0 out of 5 stars','quality is good worth to buy'
'B0BY35LMJ1','Worst','1.0 out of 5 stars','Worst than worst'
'B0BY35LMJ1','Quality','2.0 out of 5 stars','Product quality is not as expected'
'B0BY35LMJ1','Too small. Material is not good','1.0 out of 5 stars','G'
'B0BY35LMJ1','Worst worst and worst','1.0 out of 5 stars','Worst'
'B0BY35LMJ1','Returned this product','1.0 out of 5 stars','The product was not upto the mark. What shows on display and in reality r two different things. Also the black was not actually jet black.. It looked like as if we wear old shirt with the black just started to fade off'
'B0BY35LMJ1','Awesome colour & fabric quality. Acha laga 😊😊','4.0 out of 5 stars','First time I had tried this type of shirt and need to say that its too good and comfortable. The colour is quite unique and fabric quality is also superb..'
'B0BY35LMJ1','Nice','4.0 out of 5 stars','Shirt was nice and the price also but if the shirt button is black its looking good'
'B0BY35LMJ1','The white t shirt in the picture','3.0 out of 5 stars','The white t shirt and the strings in the product description is for show only and is not part of the product delivered.'
'B0BY35LMJ1','-','4.0 out of 5 stars','-'
'B0BY35LMJ1','Over view','4.0 out of 5 stars','Shirt is okay for black lovers and white is just for combination it will not come in order'
'B0BY35LMJ1','Average product','4.0 out of 5 stars','Value for money .'
'B0BY35LMJ1','Solid','5.0 out of 5 stars','A really solid black shirt very versatile a must have for your closet'
'B0BY35LMJ1','BAD QUALITY','3.0 out of 5 stars','quality aint good , too cheap'
'B0BY35LMJ1','The colour is quite different than the one I ordered','3.0 out of 5 stars',"It's not that bad nor its that good so won't be wasting my time on returning it"
'B0BY35LMJ1','Good one','4.0 out of 5 stars',"I initially though it was a complete set as shown in product image but still given the price, product is good. the material is not cotton, stretchable and thin.. overal i liked what I buyed.. it's dark in colour and shines when we put light"
'B0BY35LMJ1','Style shirt','2.0 out of 5 stars','Quite hot you feel. No chest pocket is handicap, because specs/ mobile or valet all for men... a bit uncomfortable'
'B0BY35LMJ1','good','5.0 out of 5 stars','good'
'B0BY35LMJ1',"Don't buy it",'1.0 out of 5 stars','Stitch quality is very poor See condition after one wash and color also fade after one wash'
'B0BY35LMJ1','Real feedback','1.0 out of 5 stars',"Don't buy this product and any of the available items. The worst quality and fitting. The colour in the picture and the one you get at the time of delivery is not at all similar. This is worst product by Amazon."
'B0BY35LMJ1','Comfort','5.0 out of 5 stars','The media could not be loaded. I like it very much'
'B0BY35LMJ1','Bad Product','2.0 out of 5 stars','It seems very bad'
'B0BY35LMJ1','Pics and real clothes are not same.','2.0 out of 5 stars','Not good in this price'
'B0BY35LMJ1','Perfect','5.0 out of 5 stars','The size , price and material is perfect for me . I use it for every day wear at home , outside so it was perfect'
'B0BY35LMJ1','Replaced','1.0 out of 5 stars','No quality switching. Faded colour not matching to the given picture. Replaced.'
'B0BY35LMJ1','150 /- is enough for it','1.0 out of 5 stars','Really 150/- is enough for it not fit to me and low quality and i need to re stich it now'
'B0BY35LMJ1','its not cotton shirt, its purely made by polyster only.','2.0 out of 5 stars','due to polyester shirt, its unable to use in summer. so it may be good in rainy or winter etc.'
