item,title,rating,body
'B0BY8L3RZ6','Everything is wrost and spoil never buy this phone','1.0 out of 5 stars','Charging, speacked, diaplay, is not working with 5 month and also software crash, hanging issue, verry slow performed its batter more then redmi or realme'
'B0BY8L3RZ6','Mobile','5.0 out of 5 stars','Excellent'
'B0BY8L3RZ6','Good products','5.0 out of 5 stars','Hbhhh'
'B0BY8L3RZ6','OnePlus reveiw','4.0 out of 5 stars','All are best'
'B0BY8L3RZ6','Adapter aur USB cable nahi hai','5.0 out of 5 stars','Adapters nahi hai aur USB cable nahi hai'
'B0BY8L3RZ6','Hear phone','5.0 out of 5 stars','But I am expecting hear phone ...'
'B0BY8L3RZ6','Honest opinion after using months','3.0 out of 5 stars',"Everything except below mentioned issues works well. The display is so poor that it doesn't even support higher resolution than 1080p in YouTube . They've made this with 200mp sensor but doesn't even record videos higher than FHD, which below 10K phones used to do back in the days but the clicks are not so boring. They never cared to put a mesh or anything in the front speaker which goes beside the ears while calling, it's a wide long hollow part. There're few restrictions in the software as mentioned above in case of video recording and display outputs. Don't be fooled by the so called brand value."
'B0BY8L3RZ6','Worst camera','1.0 out of 5 stars','Worst camera quality'
'B0BY8L3RZ6','Best Mobile Phone','5.0 out of 5 stars','❤️'
'B0BY8L3RZ6','Good phone no problem with phone','4.0 out of 5 stars','Nice phone some time it start heating'
'B0BY8L3RZ6','One plus it has many things in plus','5.0 out of 5 stars','Very good model 👍👍 truly amazing 😍'
'B0BY8L3RZ6','Worth of money','5.0 out of 5 stars','Good charging speed , good battery But need improve camera quality'
'B0BY8L3RZ6',"It's amazing 😍",'5.0 out of 5 stars','Very smooth and fast'
'B0BY8L3RZ6','Battery is draining fast','5.0 out of 5 stars','Design appearance all are top class execpt battery battery is draining to fast'
'B0BY8L3RZ6',"Poor camera, slow performance. In this price it's total waste",'2.0 out of 5 stars',"Very poor Camera even the main and selfie camera Performance also not as expected. The revel s are doing far better in this price range. I was surprised why the newcomers like real me is selling fast compared to one' plus. Now I have answers."
'B0BY8L3RZ6','Best in performance and features','5.0 out of 5 stars','Camera superb , features ultimate, but the screen support just only 1080p which could be better'
'B0BY8L3RZ6','Charing, heating and return policy','2.0 out of 5 stars','1.Getting heat 2.Charging taking more time but charger is 80w fast, then why it is taking more than 1hour when i keep charging at 30% battery level 3.Why easy return is removed from amazon, for 2days use also we need to service center ha'
'B0BY8L3RZ6','Super Quality and Super Duper timely Delivery','5.0 out of 5 stars','The best phone, the best offer, the best delivery, the best delivery boy and his experience'
'B0BY8L3RZ6','108 Mp Camera quality is very bad','1.0 out of 5 stars','108mp camera photo quality is very bad , screen quality is 1080 only , no 4k vodeo content and it performance is not good.'
'B0BY8L3RZ6','Nice phone','4.0 out of 5 stars','overall good phone'
'B0BY8L3RZ6','Appearance','5.0 out of 5 stars','Recommended quality product. Nice look .'
'B0BY8L3RZ6','Charger was 80 watt','2.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r1dz07rkxn001k_1697138156765","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-6981766-3958737","refMarkers":"vse_reviews_desktop_R1DZ07RKXN001K_1697138156765_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"KQF932A3PEP48KM54NR6","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R1DZ07RKXN001K","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R1DZ07RKXN001K_1697138156765_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/2ab0de8b-1c4e-4d1e-9adc-414e57087dc8.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/014305ca-0a33-43bc-b2eb-469c990660be/default.vertical.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R1DZ07RKXN001K","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r1dz07rkxn001k_1697138156765-player-c5ffe6f8-d0cc-436e-aa3f-2fd5270fbc1a","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"KQF932A3PEP48KM54NR6","pageAsin":"","sessionId":"261-6981766-3958737"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"261-6981766-3958737","refMarkers":"vse_reviews_desktop_R1DZ07RKXN001K_1697138156765_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"KQF932A3PEP48KM54NR6","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R1DZ07RKXN001K","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R1DZ07RKXN001K_1697138156765_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/41zIg8jyKUL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. I can\'t understand why Amazon send me this products with 80 watt charger while it support 67 watt supervooc charger'
'B0BY8L3RZ6','After about 2 months of use','2.0 out of 5 stars',"It's ok ok Not so good not so bad But not as expected"
'B0BY8L3RZ6','Nice One!','4.0 out of 5 stars','Good One Product But Camera Quality could be Better then CE 2 Lite except Camera Quality all is Very Good.'
