item,title,rating,body
'B0BY8MCQ9S','Everything is wrost and spoil never buy this phone','1.0 out of 5 stars','Charging, speacked, diaplay, is not working with 5 month and also software crash, hanging issue, verry slow performed its batter more then redmi or realme'
'B0BY8MCQ9S','OnePlus reveiw','4.0 out of 5 stars','All are best'
'B0BY8MCQ9S','Adapter aur USB cable nahi hai','5.0 out of 5 stars','Adapters nahi hai aur USB cable nahi hai'
'B0BY8MCQ9S','Hear phone','5.0 out of 5 stars','But I am expecting hear phone ...'
'B0BY8MCQ9S','Honest opinion after using months','3.0 out of 5 stars',"Everything except below mentioned issues works well. The display is so poor that it doesn't even support higher resolution than 1080p in YouTube . They've made this with 200mp sensor but doesn't even record videos higher than FHD, which below 10K phones used to do back in the days but the clicks are not so boring. They never cared to put a mesh or anything in the front speaker which goes beside the ears while calling, it's a wide long hollow part. There're few restrictions in the software as mentioned above in case of video recording and display outputs. Don't be fooled by the so called brand value."
'B0BY8MCQ9S','Worst camera','1.0 out of 5 stars','Worst camera quality'
'B0BY8MCQ9S','Best Mobile Phone','5.0 out of 5 stars','❤️'
'B0BY8MCQ9S','Good phone no problem with phone','4.0 out of 5 stars','Nice phone some time it start heating'
'B0BY8MCQ9S','One plus it has many things in plus','5.0 out of 5 stars','Very good model 👍👍 truly amazing 😍'
'B0BY8MCQ9S','Worth of money','5.0 out of 5 stars','Good charging speed , good battery But need improve camera quality'
'B0BY8MCQ9S',"It's amazing 😍",'5.0 out of 5 stars','Very smooth and fast'
'B0BY8MCQ9S','Battery is draining fast','5.0 out of 5 stars','Design appearance all are top class execpt battery battery is draining to fast'
'B0BY8MCQ9S',"Poor camera, slow performance. In this price it's total waste",'2.0 out of 5 stars',"Very poor Camera even the main and selfie camera Performance also not as expected. The revel s are doing far better in this price range. I was surprised why the newcomers like real me is selling fast compared to one' plus. Now I have answers."
'B0BY8MCQ9S','Best in performance and features','5.0 out of 5 stars','Camera superb , features ultimate, but the screen support just only 1080p which could be better'
'B0BY8MCQ9S','Charing, heating and return policy','2.0 out of 5 stars','1.Getting heat 2.Charging taking more time but charger is 80w fast, then why it is taking more than 1hour when i keep charging at 30% battery level 3.Why easy return is removed from amazon, for 2days use also we need to service center ha'
'B0BY8MCQ9S','Super Quality and Super Duper timely Delivery','5.0 out of 5 stars','The best phone, the best offer, the best delivery, the best delivery boy and his experience'
'B0BY8MCQ9S','108 Mp Camera quality is very bad','1.0 out of 5 stars','108mp camera photo quality is very bad , screen quality is 1080 only , no 4k vodeo content and it performance is not good.'
'B0BY8MCQ9S','Nice phone','4.0 out of 5 stars','overall good phone'
'B0BY8MCQ9S','Appearance','5.0 out of 5 stars','Recommended quality product. Nice look .'
'B0BY8MCQ9S','After about 2 months of use','2.0 out of 5 stars',"It's ok ok Not so good not so bad But not as expected"
'B0BY8MCQ9S','Nice One!','4.0 out of 5 stars','Good One Product But Camera Quality could be Better then CE 2 Lite except Camera Quality all is Very Good.'
'B0BY8MCQ9S','urchased this mobile 10/10/2023 Battery draining very fast','1.0 out of 5 stars','Yesterday I purchased this mobile 10/10/2023 Battery draining very fast.this is not expected from OnePlus mobile .last I used realme device it good is charge but charge drain is dispoint me'
'B0BY8MCQ9S','Camera is not good','1.0 out of 5 stars','Camera is not good'
'B0BY8MCQ9S','Perfect','4.0 out of 5 stars','Perfect'
'B0BY8MCQ9S','Color change','5.0 out of 5 stars',''
'B0BY8MCQ9S','Waste phone no clarity on pictures','1.0 out of 5 stars','Worest quality on pictures'
'B0BY8MCQ9S','Veey good performance sound and cam','5.0 out of 5 stars','All over is good'
'B0BY8MCQ9S','Worst phone','1.0 out of 5 stars','On this budget screen not good, version also not good, every time app open close it will hang'
'B0BY8MCQ9S','Camera quality not much good','3.0 out of 5 stars',"I don't like this mobile as per camera quality"
'B0BY8MCQ9S','Bad experience','1.0 out of 5 stars','The media could not be loaded. 20 din huye ha phn liye ko, jis din liya uske baad hi screen ki problem ani shuru ho gyi. Dusra ab replace wali option bhi nhi ha, service center me jao to reset karke bhej dete ha, koi bhi solution nhi huya ab tak. Sabse bekar phn ha, koi na le isko'
'B0BY8MCQ9S','Very poor backup','1.0 out of 5 stars','Battery issues'
'B0BY8MCQ9S','Worst phone I have ever used.','1.0 out of 5 stars',"My phone was delivered on saturday 7th October 23, It's heated like anything while charging. After identify this issue i tried for replacement which is valid till 14th October 23 but there is no options and automatically routed to install another app for troubleshooting. Please don't buy at all and same rate you will definitely get a good phones in the market for other brands."
'B0BY8MCQ9S','Bad phone oneplus','1.0 out of 5 stars','Bad product phone oneplus'
'B0BY8MCQ9S','Awesome service','5.0 out of 5 stars','Good'
'B0BY8MCQ9S','overall best in this price range','5.0 out of 5 stars','amazing camera with powerful gaming processor (nice for gaming ) in built voice changer , many options available 8gb ram + 8gb extendable leading it to have 16gb ram overall best for this price range'
'B0BY8MCQ9S','Cheap quality product','1.0 out of 5 stars',"Very dull display & app's and images are visible in different colours. not suggested this problem"
'B0BY8MCQ9S','Not worth for money','1.0 out of 5 stars',"Camara has not good as they given specification don't wast your money. performance is not good,refreshment not good not worth for money"
'B0BY8MCQ9S','Honest review about Nord CE3 lite','4.0 out of 5 stars',"Its a good mobile and it's worth for money and budget friendly. Processor , battery life also good. Camera is 70%good not to the core."
'B0BY8MCQ9S','Quality Products','5.0 out of 5 stars','Improve display quality'
'B0BY8MCQ9S','Good','5.0 out of 5 stars','Good'
'B0BY8MCQ9S','You just go for it','5.0 out of 5 stars','Without any hesitation go for it. A must buy phone within 20k'
'B0BY8MCQ9S','Amazing look','5.0 out of 5 stars',''
'B0BY8MCQ9S','Big disappointment from One Plus','3.0 out of 5 stars','Very low quality pictures Average charging speed Average battery life'
