item,title,rating,body
'B0BY8V6HNP','Bolt goog','1.0 out of 5 stars','Quality not'
'B0BY8V6HNP','No tag and different fabric','2.0 out of 5 stars',"It's not cotton it's polyester"
'B0BY8V6HNP','The product was too good and it came has what I expect','5.0 out of 5 stars','The product is value for money and fit too good'
'B0BY8V6HNP','Damaged product','1.0 out of 5 stars','The quality of the dress is so low and no proper stitches in this'
'B0BY8V6HNP','Worst in quality','1.0 out of 5 stars','Poor quality'
'B0BY8V6HNP','Good','4.0 out of 5 stars','Good'
'B0BY8V6HNP','Quality is good','4.0 out of 5 stars','Mera concern yeh tha ki iska kapda kaisa hoga par jab yah shirt pehni to badhiya quality thi kapde ki to shirt badiya laga aur price bahut kam hai metro city me local market me iss quality ka shirt mehanga padega'
'B0BY8V6HNP','Beautiful Product At This Price Range','5.0 out of 5 stars','A Perfect Cotton Blend Shirt For Summers at This Price Range ,Fitting ,Fabric Print Everything Excellent'
'B0BY8V6HNP','Low quality','2.0 out of 5 stars','Low quality cloth nd sewing was very bad better to skip'
'B0BY8V6HNP','Cheap quality product.','1.0 out of 5 stars',"Vaste proct , don't buy..."
'B0BY8V6HNP','cheapest products','5.0 out of 5 stars','Good quality of products mostly important cheapest products'
'B0BY8V6HNP','Vry good','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_r2vw9d3vvn3ts8_1697135160424","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-4678182-5933011","refMarkers":"vse_reviews_desktop_R2VW9D3VVN3TS8_1697135160424_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NQ9SK17RVA8DS9MYZ7JT","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2VW9D3VVN3TS8","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2VW9D3VVN3TS8_1697135160424_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/80a9d7ae-7b30-43ff-ac21-41098e377a56.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/b9fd281f-10cc-4db8-8333-ac9f6b6e1c73/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"R2VW9D3VVN3TS8","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_r2vw9d3vvn3ts8_1697135160424-player-12f303e5-d272-473d-93da-889060c6a6f2","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"NQ9SK17RVA8DS9MYZ7JT","pageAsin":"","sessionId":"260-4678182-5933011"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"260-4678182-5933011","refMarkers":"vse_reviews_desktop_R2VW9D3VVN3TS8_1697135160424_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"NQ9SK17RVA8DS9MYZ7JT","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"R2VW9D3VVN3TS8","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_R2VW9D3VVN3TS8_1697135160424_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51IWeDoWQLL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Quality is very good'
'B0BY8V6HNP','Poor quality and design failure','1.0 out of 5 stars','You will never receive the design as per the showed piece … poor in cloth quality.not worth the money.'
'B0BY8V6HNP','Not good','5.0 out of 5 stars','Good'
'B0BY8V6HNP','Quality','2.0 out of 5 stars','Not like'
'B0BY8V6HNP','Waste','1.0 out of 5 stars','Size not is good'
'B0BY8V6HNP','Now price tag','1.0 out of 5 stars','The item i purchase is too short and i have put replace order but because there is not price tag the product can’t be return'
'B0BY8V6HNP','The gave me the wrong product the first time','4.0 out of 5 stars','But then they have the option for exchange so I did and I got this pink oke finally. It fits well and is a good product for the price the material is great over all really good fits well👍'
'B0BY8V6HNP','Pretty ordinary','3.0 out of 5 stars','Pretty ordinary looks'
'B0BY8V6HNP','Good','4.0 out of 5 stars','Good'
'B0BY8V6HNP','Must add in your wardrobe','5.0 out of 5 stars','fitting is good and quality of shirt is also good.'
'B0BY8V6HNP','Superb','5.0 out of 5 stars','Nice shirt . Print to fabric everything is nice in this price range. Overall looking good 👍'
'B0BY8V6HNP','Superb','5.0 out of 5 stars','Colour and print is awesome'
'B0BY8V6HNP','Looks cool !!','5.0 out of 5 stars','Good quality and fir. Print is very nice.'
'B0BY8V6HNP','fits as expected','5.0 out of 5 stars','quality and comfort of the shirt is very good .Looks stylish when we wear printing on the shirt is very good best for beach vacations at best price i got this shirt.'
'B0BY8V6HNP','Amazing shirt design','5.0 out of 5 stars','Quality of shirt and colour is best and the design on the shirt is trendy and look cool and aesthetic according to the trend . The siz of shirt is nice fit ….Value for money for money product .'
'B0BY8V6HNP','Shirt','1.0 out of 5 stars','The media could not be loaded. Very bad material and quality'
'B0BY8V6HNP','Clothes are good but sizing issue','1.0 out of 5 stars',"They didn't send the correct size"
'B0BY8V6HNP','waste product','1.0 out of 5 stars','Dont buy'
'B0BY8V6HNP','This product not good','1.0 out of 5 stars','Photo mention good product. But received product not good.'
