item,title,rating,body
'B0BZ82RZ5L','Good buy','5.0 out of 5 stars','Material - good. Stitching - good. Size - good. Price - reasonable.'
'B0BZ82RZ5L','Wrong Material','2.0 out of 5 stars',"It says cotton satin but the cloth is silk tericoat. Not good for sleep. Plus it's too thin, may damage very soon"
'B0BZ82RZ5L','Good product','4.0 out of 5 stars','Good quality'
'B0BZ82RZ5L','Good','3.0 out of 5 stars','Nice'
'B0BZ82RZ5L','Stitching is bad','2.0 out of 5 stars',"There was just one line of stitches done for the entire pillow. I'm sure this will come off as it's very loose. Expected this to be better!"
'B0BZ82RZ5L','Good product','5.0 out of 5 stars','Material and size is pefect .'
'B0BZ82RZ5L','Good for this price','4.0 out of 5 stars','Not bad at all. Soft and perfect fit for medium size pillows. Fabric is ok ok and the color is accurate as pictures.'
'B0BZ82RZ5L','Unsymmetrical','1.0 out of 5 stars','TedA meda hai jahan se opening hota h ,wAha se ache se sila hua bhi ni hai aur mehanga dere'
'B0BZ82RZ5L','Nice pillow covers','4.0 out of 5 stars','The media could not be loaded.'
'B0BZ82RZ5L','Excellent quality','5.0 out of 5 stars','Excellent quality'
'B0BZ82RZ5L','Not very good','3.0 out of 5 stars','The product is not hundred percent cotton as mentioned in the product description and the size is a little bigger than expected'
'B0BZ82RZ5L','Very good product','5.0 out of 5 stars','Good'
'B0BZ82RZ5L','Just okay.','3.0 out of 5 stars','Purchased at local stores for same price and there is a difference in quality .'
'B0BZ82RZ5L','Material is good but stitching is poor','3.0 out of 5 stars','Good in size. Fits a standard size pillow perfectly. Fabric material is good quality cotton. But the stitching comes out and is of poor quality.'
'B0BZ82RZ5L','Good cotton quality. liked the size too. go for it','5.0 out of 5 stars','I liked the quality. Good cotton. Size is good for my pillow. Overall. Liked it'
'B0BZ82RZ5L','Synthetic Fabric','2.0 out of 5 stars','Wrong description given.It is pure synthetic fabric. Stitching is also rough.'
'B0BZ82RZ5L','Value for money good','4.0 out of 5 stars','Good texture, good colour'
'B0BZ82RZ5L','Soft cloth','5.0 out of 5 stars','The media could not be loaded. Superb quality'
'B0BZ82RZ5L','Good Quality, Great Price','5.0 out of 5 stars','Very Good Quality and good finishing. Price lesser than stitching cost.'
'B0BZ82RZ5L','Not cotton feel','3.0 out of 5 stars',"Even though it advertises as cotton, material is not as cotton comfort and it is longer than standard pillows. It's kind of slippery material."
'B0BZ82RZ5L','Awesome I would say','5.0 out of 5 stars','{"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"clientPrefix":"vse_reviews_desktop_reeffp9irw17u_1697138566472","closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"259-4155549-2624909","refMarkers":"vse_reviews_desktop_REEFFP9IRW17U_1697138566472_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"EHD501CBN5EGX3R3JZ3F","customerId":"0","sessionType":1},"mimeType":"application/x-mpegURL","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"REEFFP9IRW17U","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_REEFFP9IRW17U_1697138566472_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"videoHeight":0,"videoWidth":0,"initialClosedCaptions":"en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/225d861c-bcd8-4b23-b48e-f9bf3cf89ea7.vtt","videoUrl":"https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/f3d9bdb2-dcd7-4314-b52c-a0fc1b945890/default.jobtemplate.hls.m3u8","metricsEmissionMethod":"sushi","awaConfig":{"useUpNextComponent":false,"clickstreamNexusMetricsConfig":{"actionType":"DISCOVERY","productId":"","eventOwner":"vsemetrics_playercards","schemaId":"clickstream.CustomerEvent.4","producerId":"vsemetrics_playercards","eventType":"IVEVideoView"},"initialVideo":"REEFFP9IRW17U","shouldPreload":true,"enableClickBasedAttribution":false,"isChromelessPlayer":false,"closedCaptionsConfig":{"captionsOnTexts":{"en":"English (Automated)"},"captionsOffText":"Captions off","languageToLabelTexts":{"English":"English"}},"isVideoImmersivePlayer":false,"metricsEmissionMethod":"sushi","skipInitialFocus":false,"playerSkin":"none","disabledViewIds":["replayHint"],"customerId":"0","containerId":"vse_reviews_desktop_reeffp9irw17u_1697138566472-player-099d8ebb-2b13-4c06-965b-6150bc575e37","requestMetadata":{"marketplaceId":"A21TJRUUN4KGV","clientId":"VSE-IN","method":"cr_inline_review","requestId":"EHD501CBN5EGX3R3JZ3F","pageAsin":"","sessionId":"259-4155549-2624909"},"shouldLoop":false,"shouldDisableControls":false,"alwaysSetInitialVideo":true,"showPlayerCloseButton":false,"clientPrefix":"","useAutoplayFallback":false,"sushiMetricsConfig":{"isRobot":false,"clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","sessionId":"259-4155549-2624909","refMarkers":"vse_reviews_desktop_REEFFP9IRW17U_1697138566472_ref","placementContext":"cr_inline_review","marketplaceId":"A21TJRUUN4KGV","isInternal":false,"endpoint":"https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test","requestId":"EHD501CBN5EGX3R3JZ3F","customerId":"0","sessionType":1},"ospLinkCode":"","showPosterImage":true,"languageCode":"en","version":"","nexusMetricsConfig":{"isInternal":false,"widgetMetricsSchemaId":"vse.VSECardsEvents.8","clientId":"VSE-IN","videoAsinList":"","weblabIds":"","eventSource":"Player","videoAsin":"REEFFP9IRW17U","producerId":"vsemetrics_playercards","refMarkers":"vse_reviews_desktop_REEFFP9IRW17U_1697138566472_ref","placementContext":"cr_inline_review","playerTSMMetricsSchemaId":"vse.VSECardsPlayerEvents.6"},"shouldStartMuted":false,"airyVersion":"VideoJS","languagePreferenceStrings":{},"enableInactiveFocus":true,"isReactFactory":false,"enableDelphiAttribution":false,"shouldAutoplay":false},"imageUrl":"https://m.media-amazon.com/images/I/51m16GB3MoL._SY256._SY256.jpg","needPlayerFactory":false,"isMobile":false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live, currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off, selected Captions Captions off, selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. I liked it,quality is 2good,length breath everything is perfect loved it'
'B0BZ82RZ5L','Nice','5.0 out of 5 stars','Good'
'B0BZ82RZ5L','Superb!!','5.0 out of 5 stars','Pillow covers are very nice and can fit really big pillows. Material is excellent an would recommend to my freinds and relatives Keep it up! Will keep on buying......'
'B0BZ82RZ5L','Good buy','5.0 out of 5 stars','Good buy'
