item,title,rating,body
'B0C1SXKJSL','Egg try','4.0 out of 5 stars',"Yes it's nice product matarial is good quality affordable price but space saving nahi h jyada jagah use hoti h fridge ho counter top otherwise very good"
'B0C1SXKJSL','good quality','4.0 out of 5 stars','Nice product'
'B0C1SXKJSL','Its vry managable product','5.0 out of 5 stars','Vry mangable , quality is studyy awsmmm nd most importantly affordable in price'
'B0C1SXKJSL','Egg storage box','5.0 out of 5 stars','Quality is good and preferable to all'
'B0C1SXKJSL','Product is good, but not for large sized eggs','3.0 out of 5 stars','The quality is good but does not fit large sized eggs, they break.'
'B0C1SXKJSL','Very good','5.0 out of 5 stars','Useful'
'B0C1SXKJSL','Good product','5.0 out of 5 stars',"It's very easy to carry eggs. I liked the product."
'B0C1SXKJSL','Product is good','2.0 out of 5 stars','Eggs getting spoilt'
'B0C1SXKJSL','Value for money','5.0 out of 5 stars','The product is good for storage and eggs are safe.'
'B0C1SXKJSL','Serves the purpose and decent looking as well','5.0 out of 5 stars','Serves the purpose and decent looking as well'
'B0C1SXKJSL','Value for money','5.0 out of 5 stars','Good product'
'B0C1SXKJSL','Box not suitable','1.0 out of 5 stars',"Eggs do not fit in the tray. Box doesn't close when the eggs are in it. Box material very thin."
'B0C1SXKJSL','Sturdy','5.0 out of 5 stars','Does its job ...good'
'B0C1SXKJSL','Nice storage for eggs. To avoid breaking.','3.0 out of 5 stars',"Nice storage for keeping egg safly. I really like it. But it's too big to keep in friz"
'B0C1SXKJSL','Tray is very nice for eggs','5.0 out of 5 stars','We are using happily for Eggs this tray and it is comfortable in fridze.'
'B0C1SXKJSL','Good','3.0 out of 5 stars','Good'
'B0C1SXKJSL','value for money','3.0 out of 5 stars','value for money'
'B0C1SXKJSL','Quality','5.0 out of 5 stars','I like the product quality. True to the picture👍👍'
'B0C1SXKJSL','Useful','5.0 out of 5 stars','Very useful items we can put all the eggs in one tray. Good plastic so we can put things on it.'
'B0C1SXKJSL','Very Nice','5.0 out of 5 stars','Looks nice, durable'
'B0C1SXKJSL','Poor quality','2.0 out of 5 stars','Poor quality'
'B0C1SXKJSL','Bad','1.0 out of 5 stars','Worst ever I broke 24 eggs due to less space'
'B0C1SXKJSL','Amazing','5.0 out of 5 stars','Great quality, good price.'
