item,title,rating,body
'B0C3LHQM6K','Want change the shoes','1.0 out of 5 stars','Hi Amazon, I want to change the shoes. Yellow spot has on white colour. It is very bad quality. You can see the image of shoes.I request,please change my shoes.'
'B0C3LHQM6K','Low quality shoes','1.0 out of 5 stars','3 month bhi nhi chale shoes. Mane or mere friend nay liye thay tab achay lagay or ab dekho dono k shoes kharab ho gye'
'B0C3LHQM6K','Comfortable','5.0 out of 5 stars','Good quality with budet price'
'B0C3LHQM6K','Good','4.0 out of 5 stars','Nice look'
'B0C3LHQM6K','A','5.0 out of 5 stars','Awesome quality'
'B0C3LHQM6K','Nice to wear,,,❤️','5.0 out of 5 stars','Personlaly i really like this product .. thnak you amazone,,,🥰❤️'
'B0C3LHQM6K','Janthikala shoes','1.0 out of 5 stars','Looks like a janthikala shoes'
'B0C3LHQM6K','Red tape is the best causal sneaker and u can use it sports wear','4.0 out of 5 stars','The media could not be loaded. Red tape shoe is the best shoe and best comfortable for using the sheo and u can use for sportwear like jogging, GYM purpose also'
'B0C3LHQM6K','Comfort and Very Light weight','4.0 out of 5 stars','Good buy within budget. Red tape can handle hard situations. You can use ruf n Tuf...Good buy within 1500'
'B0C3LHQM6K','Nice product 😍','5.0 out of 5 stars',''
'B0C3LHQM6K','Very Good...Product Same as shown in poctures..','5.0 out of 5 stars','Shoes are comfortable & very lightweight. Thanks to Amazon early delivery'
'B0C3LHQM6K','About shoes','5.0 out of 5 stars','Very nice product'
'B0C3LHQM6K','Great','5.0 out of 5 stars','Awesome Product'
'B0C3LHQM6K','Worst quality 1.5 mahine ke use ke baad hi ye haalat hogyi.hai shoes ki','1.0 out of 5 stars','Bohot ho khrab quality hai shoes ki 1.5 month ke baad side se fatne lage shoes'
'B0C3LHQM6K','Value for money','5.0 out of 5 stars','Overall good product, must by at this budget'
'B0C3LHQM6K','Waste of money','1.0 out of 5 stars','shoes pasting removes within 2 months'
'B0C3LHQM6K','Go for it','5.0 out of 5 stars','Go for it'
'B0C3LHQM6K','Good','4.0 out of 5 stars','Good'
'B0C3LHQM6K','Nice','5.0 out of 5 stars','Nice'
'B0C3LHQM6K','Quality is bed','1.0 out of 5 stars','This product is not buy , quality is poor 4 month service after break My diside future not buy this product'
'B0C3LHQM6K','Not good quality shose','2.0 out of 5 stars','careck fornt after 3 months'
'B0C3LHQM6K','Best quality','4.0 out of 5 stars','Good and nice'
'B0C3LHQM6K','Unchi dukan fiika pakwan','2.0 out of 5 stars','Poor performance, not value for money'
'B0C3LHQM6K','Review on shoes','5.0 out of 5 stars','Got as expected, nice looking and comfortable. As it is showing on online pictures.🖤💞'
'B0C3LHQM6K','Not satisfied','2.0 out of 5 stars','I am not satisfied to that shoes , because it is not water resistant, it look like a sport shoes, and also which sport shoes you can wash ,it is really a wonderful, but in that shoes no quality of water rinse, so it is waste of money'
'B0C3LHQM6K','Nice product','5.0 out of 5 stars','Feeling better and quality is good but the delivery agent delivered the item in unavailability'
'B0C3LHQM6K','Highly recommended','5.0 out of 5 stars',"I recently purchased a pair of shoes from Shoes brand, and I have to say, I'm thoroughly impressed. 1.Not only are they stylish and trendy, but they're also incredibly comfortable to wear. 2.The padding on the sole is just the right amount, providing enough support for my feet without feeling too bulky or heavy. 3.Additionally, the shoes are made of high-quality materials that have held up well against regular wear and tear. 4.I've worn them for long hours at work and they've held up great, with no signs of wear or tear. Overall, I highly recommend these shoes to anyone looking for a stylish and comfortable option for everyday wear"
'B0C3LHQM6K','Not good','2.0 out of 5 stars','बिल्कुल मजा नही आया। सिर्फ देखने मे अच्छा हैं। ये बांग्लादेश मे बना हैं। आप इसका लोगो देखोगे तो रेडटेप के असली लोगो से बिल्कुल अलग हैं। बहुत अजीब सा लगता हैं इसे पहनकर।'
'B0C3LHQM6K','Raddi','1.0 out of 5 stars','Look very disgusting'
'B0C3LHQM6K','Nice','5.0 out of 5 stars','Nice 👍'
'B0C3LHQM6K','Nice Shoes','5.0 out of 5 stars','Good comfort'
'B0C3LHQM6K','Good','4.0 out of 5 stars','Good product, I am satisfied,'
'B0C3LHQM6K','Best product','5.0 out of 5 stars','Worth of money, very comfortable and thanks to Amazon'
'B0C3LHQM6K',"It's cool",'5.0 out of 5 stars','Cool & comfortable😊😊'
'B0C3LHQM6K','Nice product','5.0 out of 5 stars','packing also good condition Nice product thank you Amazon'
'B0C3LHQM6K','Best quality','4.0 out of 5 stars','Comfortable nice shoe good quality'
'B0C3LHQM6K','Bad quality shoes..','1.0 out of 5 stars','The media could not be loaded.'
'B0C3LHQM6K','Quality','5.0 out of 5 stars','The media could not be loaded. I like this product. Happy hu yr'
'B0C3LHQM6K','After 1 wash its turn into yellow','1.0 out of 5 stars','The media could not be loaded.'
'B0C3LHQM6K','A excellent shoe for the price','5.0 out of 5 stars','The shoe is excellent for the price I paid which is less than Rs 1500. I had been wearing it for a week daily and had walked a decent distances. The shoe is comfortable, light and of a good quality.'
'B0C3LHQM6K','No standards of size','4.0 out of 5 stars','Shoes are good but size is too big as compared to standard of same number. Red tap is using some other standards to measure size. Their 7 no is like 8.5 of others like adidas, reebok woodland etc'
'B0C3LHQM6K','my shoes in crack in 1 month','1.0 out of 5 stars','pls warrenty'
'B0C3LHQM6K','Good shoes.','1.0 out of 5 stars','Baut badya shoes hai.good'
'B0C3LHQM6K','Size runs little larger than usual','4.0 out of 5 stars','Good quality shoes insole could have been more cushion Little larger size than usual UK size. Overall Good buy.'
'B0C3LHQM6K','Wow..!!','5.0 out of 5 stars','Looks, Comfort...Fit as expected ...The perfect shoe. Thank you Red Tape n thank you Amazon.'
'B0C3LHQM6K','Awesome product','5.0 out of 5 stars','Really this is very good quality product and I really feel comfortable'
'B0C3LHQM6K','Amazing and upto expectations','5.0 out of 5 stars','Best and upto expectations... Good pair of shoes under this price... Wish u all the best for ur business...'
'B0C3LHQM6K','Very poor quality shoes','1.0 out of 5 stars','I had taken these shoes on 7th June and its condition has become very bad till 12th August.'
'B0C3LHQM6K','Very nice shoes','5.0 out of 5 stars','Awesome'
'B0C3LHQM6K','Nice product','4.0 out of 5 stars',"Honestly very comfortable. That's it .."
