item,title,rating,body
'B0C5XPDNYL','Happy to get this','5.0 out of 5 stars','Very good product'
'B0C5XPDNYL',"It's a nice product, heavy duty ... Can hang all the pictures without any scratch on the wall",'5.0 out of 5 stars','I like the adhesion and durability'
'B0C5XPDNYL','Airtel model sticked to TV with the help of your double side tape','5.0 out of 5 stars','The media could not be loaded.'
'B0C5XPDNYL','Stronger than other tapes','4.0 out of 5 stars',"The adhesive on this tape performs much better than most other takes in the market. It will not take weight, but it's very good for crafts and to keep things in place. Dues not leave a residue on wood, metal or glass. Does it's job"
'B0C5XPDNYL','Double sided tape','5.0 out of 5 stars','Good product strong glue'
'B0C5XPDNYL','Great for sticking','5.0 out of 5 stars','Value for money great adhesive'
'B0C5XPDNYL','Too cost','4.0 out of 5 stars','Gud adhesive but less quantity'
'B0C5XPDNYL','Excellent','5.0 out of 5 stars','Excellent adhesive'
'B0C5XPDNYL','So good','5.0 out of 5 stars','Good product'
'B0C5XPDNYL','Good product','5.0 out of 5 stars','Good product and quality is very good'
'B0C5XPDNYL','Wonder tape','4.0 out of 5 stars','Quality is as promised, I have started to use it for multiple purposes, so far I am satisfied. Adhesive power is quite well, better part was its reusable nature. I expected more quantity but overall satisfied..Thank you'
'B0C5XPDNYL','Every house hold needs this !','5.0 out of 5 stars','Excellent product; multiple purpose as advertised. Prompt delivery.'
'B0C5XPDNYL','Very bad','1.0 out of 5 stars','It does not stick'
'B0C5XPDNYL','Good quality','5.0 out of 5 stars','It was a good product'
'B0C5XPDNYL','Stickability and strength','5.0 out of 5 stars','I used it for sticking spike buster And ups of modem. Sticks very strogly and invisible'
'B0C5XPDNYL','Very useful','5.0 out of 5 stars','It was nice to use it and I also happy for it'
'B0C5XPDNYL','Nothing','5.0 out of 5 stars','Like'
'B0C5XPDNYL','Not Good','2.0 out of 5 stars','Not recommended.'
'B0C5XPDNYL','Amazing Product','5.0 out of 5 stars','Quality is awesome'
'B0C5XPDNYL','Good','5.0 out of 5 stars','Good'
'B0C5XPDNYL','Not Useful','1.0 out of 5 stars',"This if no use, suggest not to buy. The stickyness of the tape won't last long. And not able to hold the items for even a hour."
'B0C5XPDNYL','Not up to the mark','2.0 out of 5 stars','Don’t stick properly and can’t take load'
'B0C5XPDNYL','Worth Buy','5.0 out of 5 stars',"I was in doubt when I placed the order. But when I received the item I'm totally satisfied with the quality of adhesiveness the provided is really good."
'B0C5XPDNYL','Very nice','5.0 out of 5 stars','Very good product'
'B0C5XPDNYL','No sticking power','1.0 out of 5 stars','The tape has no sticking power Even it can not withstand load of an AC remote forget about other things Dont buy'
'B0C5XPDNYL','Amazing.','5.0 out of 5 stars','Superb 👍.'
'B0C5XPDNYL',"It doesn't work",'1.0 out of 5 stars','The glue is useless.'
'B0C5XPDNYL','Poor quality','1.0 out of 5 stars',"As showed in the advertisement it's not like that"
'B0C5XPDNYL','Too sticky, unclean, sticks to the scissor, deforms.','3.0 out of 5 stars','Too sticky, unclean, sticks to the scissor, deforms.'
'B0C5XPDNYL','Adhesive silicon tape','3.0 out of 5 stars','Does not work as well as claimed. Tends to unstick.'
'B0C5XPDNYL','Not getting purpose','2.0 out of 5 stars','Not sticking with foam sheet. Very disappointed.'
'B0C5XPDNYL','Multipurpose useable product','5.0 out of 5 stars','Sticking photo frame & bathroom shelves'
'B0C5XPDNYL','Nice Product','5.0 out of 5 stars','Nice Product.'
'B0C5XPDNYL','Poor quality','1.0 out of 5 stars','Product is of poor quality,gum is not that strong.'
'B0C5XPDNYL','Useless product','1.0 out of 5 stars','It claims 15 pound hold but unable to hold even five pound .., do you this useless product my expensive product fallen after few days and broken. Totally useless.'
'B0C5XPDNYL','Double sided tape','5.0 out of 5 stars','The media could not be loaded. This product was very useful 🙂'
'B0C5XPDNYL','It’s a strong tape','5.0 out of 5 stars','Does leave gam after removing'
'B0C5XPDNYL','Good','5.0 out of 5 stars','Worth it'
'B0C5XPDNYL','Good product','5.0 out of 5 stars','Adhesive is excellent on two side of the tape Good product to buy'
'B0C5XPDNYL','Not good','1.0 out of 5 stars',"Not so worthy product.... It won't stick properly....."
'B0C5XPDNYL','Super','5.0 out of 5 stars','Excellent and reasonable'
'B0C5XPDNYL','Double side Tape','1.0 out of 5 stars',"This tape was not good's…. Remove easily"
'B0C5XPDNYL',"Ek daam ghatya doble side tap - please don't buy",'1.0 out of 5 stars','Very bad adhesion'
'B0C5XPDNYL','So so','3.0 out of 5 stars','So so'
'B0C5XPDNYL','When a plastic and the wall is made to stick each other, 3 rd day it gets disconnected','1.0 out of 5 stars','Does not work.. When a plastic and the wall is made to stick each other, 3 rd day it gets'
'B0C5XPDNYL','Amazing product','5.0 out of 5 stars','Sturdy .strong. works as described.'
'B0C5XPDNYL','Best double tape','5.0 out of 5 stars','Best double side tape I have ever seen best glue and sticky that you can stick all type of material'
'B0C5XPDNYL','Worst','1.0 out of 5 stars','Foolatein foolatein saans full jayegi 😁'
'B0C5XPDNYL','Absolutely Crap','1.0 out of 5 stars','Only holds on to any surface for a couple of hours.'
'B0C5XPDNYL','Good quality','5.0 out of 5 stars','Very good product'
