item,title,rating,body
'B0C72CM3M6',"Don't make fool of customers",'1.0 out of 5 stars',"It's not as Shown and described in the app"
'B0C72CM3M6',"Don't buy this product recived damage condition, return policy no so totaly wast",'1.0 out of 5 stars',"Waste Don't buy this product recived damage condition totaly waste"
'B0C72CM3M6','Good','2.0 out of 5 stars','Good product'
'B0C72CM3M6','It was broken with in 2 times of its use.','1.0 out of 5 stars','It was broken with in 2 times of its use.'
'B0C72CM3M6','VERY BAD PRODUCT : DEFECTIVE','1.0 out of 5 stars','I purchased this product to carry it to abroad where I live. Have been trying to use it but it does not fold to squeeze water!! Terrible!'
'B0C72CM3M6','Ritan the product','1.0 out of 5 stars','This handle is damage not set the handle'
'B0C72CM3M6','Material is bad broken in 2 days','1.0 out of 5 stars','Poor material quality'
'B0C72CM3M6','POOR HANDLE QUALITY','2.0 out of 5 stars','THE HANDLE IS VERY WEAK IT BROKE BEFORE IN 1ST USE ONLY. THE PRODUCT IS GOOD TO USE IF THE HANDLE IS OK. ALSO IF I CAN GET THE HANDLE REPLACEABLE IT WOULD BE GREAT TO CONTINUE USING. Also, I NEED TO REFILL THE MOP CLOTH... WHICH IS NOT AVAILABLE IN THE AMAZON SITE...'
'B0C72CM3M6','Worst product','1.0 out of 5 stars','In one use only the handle broke and also it is not what it is mentioned it is difficult to squeeze the full water from mop.hard to use .'
'B0C72CM3M6','Worst product','2.0 out of 5 stars','After use of one month hinges are becomes loose and rotates unusual.'
'B0C72CM3M6','Its not working properly as shown in videos','1.0 out of 5 stars',"Don't buy this product , these product not working as shown In video . That side wings not working nor the Mob. Clen the tiles property"
'B0C72CM3M6','Cleaning','3.0 out of 5 stars','Cleaning is not upto mark..sponge is very loose,not cleaning too much..'
'B0C72CM3M6','Waste of money , will not recommend','1.0 out of 5 stars',"This is not as comfortable as it is shown the narrow areas is impossible to reach ... the fabric sheds fiber.. the mechanism does not squeeze out water properly so there is so much water left on the floor which subsequently leaves stains... it's hard to wipe off stains which can be done using a normal cloth mop"
