item,title,rating,body
'B0C8MTWMK2','A decent product','4.0 out of 5 stars','A great product which will suit your needs for work from home. Display is good.'
'B0C8MTWMK2','Good','4.0 out of 5 stars','Good'
'B0C8MTWMK2','Good product for office use and entertainment.','5.0 out of 5 stars',"Pro: 1. Image and video quality is very good( in i5 3570 processor,HDMI). 2. Pixels are ok. 3. Good for office use. 4. Good looking and good build quality. 5. Good text view.  Cons: 1. Brightness is very high. At 0 brightness with 0 contrast the screen seems normal. 2. No sound system. 3. Eye comfort did not work for me.  Conclusion: Good image quality product. Use it for seeing movies, pictures, normal office tasks. If you want best picture quality then use a good graphic card and a good processor (i5,i7). In this price range don't expect sAMOLED display."
'B0C8MTWMK2','Excellent','4.0 out of 5 stars','Quality, packaging everything was perfect.'
'B0C8MTWMK2','Died in 5 months','2.0 out of 5 stars',"The look and feel is great and so is the gaming mode on this monitor but the monitor started displaying dead pixel rows and a week after it is totally blury and un-usable after looking inside it seems samsung cut cost on the power management chips .Such a cheap move from Samsung If you wanna buy a monitor skip this models from Samsung because it's a hailmary.i have attached some pics for reference."
'B0C8MTWMK2','Worst Samsung Display 12k wasted.','1.0 out of 5 stars',"Do not buy this display. Don't waste your hard earn money on this **** monitor. I bought it for around 12k just a year passed and the whole screen is messed up. Today I spent ₹900 more on a repair but that didn't work. Stay away buy something else."
'B0C8MTWMK2','Super quality','5.0 out of 5 stars',''
'B0C8MTWMK2','Display colour sucks','3.0 out of 5 stars','Don’t buy it if you are buying it for editing or colour grading , its looks radish and dark .'
'B0C8MTWMK2','IPS and Eye comfort is best.','4.0 out of 5 stars','The media could not be loaded. IPS panel is best but only speaker is missing. Samsung should launch with speaker.'
'B0C8MTWMK2','Samsung never disappoints, just hit BUY','5.0 out of 5 stars','Picture quality is beyond what I expected. Has deep blacks for movies. I have been using for 3-4months now.  Value for money, got at Rs 8,999'
'B0C8MTWMK2','Faulti monitor','1.0 out of 5 stars','Damaged product delivered. Damaged product was delivered. Damaged product was delivered. Damaged product was delivered. Damaged product was delivered. Damaged product was delivered.'
'B0C8MTWMK2','POOR TEXT DISPLAY','3.0 out of 5 stars',"don't buy the 24inch display, it has a very poor text display, as it only has a dpi of 92."
'B0C8MTWMK2','No remote','1.0 out of 5 stars','No remote'
'B0C8MTWMK2','No samsung package was received. Seems like a preused product was packed and sent.','1.0 out of 5 stars','The media could not be loaded.'
'B0C8MTWMK2','The display looks promising, I hope Samsung’s service doesn’t fail on me in the future though.','4.0 out of 5 stars','The media could not be loaded. Colors are accurate, screen is bright enough and 75hz is the perfect spot for me. So far no complains, just hope Samsung’s customer care doesn’t fail on me in case something goes wrong with the product. Worth for its price, recommended for programmers, media consumers and some non-competitive gaming.'
'B0C8MTWMK2','Good product','5.0 out of 5 stars','Performance is good'
'B0C8MTWMK2','Good product','5.0 out of 5 stars','Good display quality'
'B0C8MTWMK2','4.5/5 - recommend to buy','5.0 out of 5 stars','The media could not be loaded. If you are looking for a monitor in budget this is the one. I bought it for 8.6k. I bought this for office use and casual gaming, suits well for both. I have no cons as such for this monitor. At this price it provides 1 hdmi, 1 vga, and power port and a more than average HD display at 75hz. BUT, If you have a higher budget go for a monitor which has maybe 2 hdmi ports if you plan to connect 2 devices and maybe a higher refresh rate otherview at this price this one offers good performance. Blindly go ahead and purchase this If your budget is under 10k. THANKS😄'
