item,title,rating,body
'B0CBK7JL91','Misleading','2.0 out of 5 stars','Not exactly the way it is shown in pictures. Those pictures are only to impress you.Thought it was 100% cotton but turned out to be blended one with two layers.👎'
'B0CBK7JL91','Nice fetting','5.0 out of 5 stars','Very good'
'B0CBK7JL91','Not good','1.0 out of 5 stars','Worst in quality'
'B0CBK7JL91','Product is good , finish and material is also good','5.0 out of 5 stars','Product finish stitching apperance material is also good'
'B0CBK7JL91','Bad quality','1.0 out of 5 stars','Bad quality'
'B0CBK7JL91','Nice product','5.0 out of 5 stars','The media could not be loaded. Must buy'
'B0CBK7JL91','Silk','3.0 out of 5 stars','Silk'
'B0CBK7JL91','Amazing product','5.0 out of 5 stars','The quality of the shirt is better than expected. Perfect fit and value for money.'
'B0CBK7JL91','Fitting','4.0 out of 5 stars','Fitting is good at shoulder side but mine small size at down Lil bit lengthy otherwise good but not pure cotton.'
'B0CBK7JL91','Quality','1.0 out of 5 stars',"Very bad quality . Cotton is mentioned in description but when I received this item that is synthetic. It's not value for money"
'B0CBK7JL91','Quality is too good','5.0 out of 5 stars','The shirt quality is too amazing cannot express in words total value for money product must by the product..'
'B0CBK7JL91','👍🏻','5.0 out of 5 stars','The product is good 👍🏻 but the color is little light as compare to the pic.'
'B0CBK7JL91','Good product','5.0 out of 5 stars','Product is good'
'B0CBK7JL91','Good product','5.0 out of 5 stars','Such very nice product'
'B0CBK7JL91','Fabric','1.0 out of 5 stars','Fabric is not good'
'B0CBK7JL91','Looking good','5.0 out of 5 stars','Value for money ,looks good'
'B0CBK7JL91','Pure Cotton Shirt','5.0 out of 5 stars','Pure Cotton Shirt. Good Quality'
'B0CBK7JL91','Good-quality','5.0 out of 5 stars','Perfect colour, good quality'
'B0CBK7JL91',"It's was good",'5.0 out of 5 stars',"It's was good"
'B0CBK7JL91','About my order','5.0 out of 5 stars','Very nice product'
'B0CBK7JL91','Not worth','1.0 out of 5 stars','Product is not cotton made not worth for 499/-'
'B0CBK7JL91','Awesome product','5.0 out of 5 stars','Good product'
'B0CBK7JL91','Nice fabric','5.0 out of 5 stars',"It's is comfortable n size also good"
'B0CBK7JL91','Good','2.0 out of 5 stars','Good'
'B0CBK7JL91','Casual shirt','2.0 out of 5 stars',"In images it's looking good otherwise shirt color is not matching with the image. Quality issue is also there with cloth"
'B0CBK7JL91','Happy customer!','5.0 out of 5 stars','This was the 1st time that I have ever ordered an apparel. I am happy to say that I love this shirt. It is of good quality, proper fit and provides a very fashionable look.'
'B0CBK7JL91','Good','5.0 out of 5 stars','As shown in the picture. Nice fit'
'B0CBK7JL91',"Don't Buy",'1.0 out of 5 stars',"The media could not be loaded. The quality is too poor. Fabric is least quality don't buy this item. the print is good but 0% comfortable."
'B0CBK7JL91','Nice shirt','5.0 out of 5 stars','It is nice shirt and you can go for it without thinking.'
'B0CBK7JL91','Shrt colour','5.0 out of 5 stars','Nice product 👍😎'
'B0CBK7JL91','Value for money','5.0 out of 5 stars','Value for money'
'B0CBK7JL91','Waste of money','1.0 out of 5 stars','Fabric is very cheap'
'B0CBK7JL91','Product quality is awesome / value for money / very nice material','5.0 out of 5 stars',''
'B0CBK7JL91','Nice shirt in this range','5.0 out of 5 stars','Purchased for my son...and he liked it🙂'
'B0CBK7JL91','Nice colour with best fitting','5.0 out of 5 stars','I give a five star because this shirt is amazing this shirt is also value for money best fiting and also best colour i recommend you to buy this shirt.'
'B0CBK7JL91','Price','5.0 out of 5 stars','Very good product in this price range'
'B0CBK7JL91','Value for money','5.0 out of 5 stars',"I Like this shirt because it's a pure Cotton shirt And I Use it for myself."
'B0CBK7JL91','Bad','1.0 out of 5 stars','The media could not be loaded. Not using'
'B0CBK7JL91','Nice product','5.0 out of 5 stars','Looking cool in this shirt.'
'B0CBK7JL91','Good fabric and comfortable','5.0 out of 5 stars','Value for money and correct fitting and material is good. Appearance is very good'
'B0CBK7JL91','Good quality','5.0 out of 5 stars',''
'B0CBK7JL91','Quality','5.0 out of 5 stars','Quality of the cloth material is very good, worth buying the product.'
'B0CBK7JL91','Very nice','5.0 out of 5 stars','Very nice'
'B0CBK7JL91','Nice','5.0 out of 5 stars','Best product on Amazon'
'B0CBK7JL91','Value for money','5.0 out of 5 stars','This product is have value for money'
'B0CBK7JL91','Fit product','5.0 out of 5 stars','Very good product'
'B0CBK7JL91',"The material wasn't what I expected",'5.0 out of 5 stars',"The colour is good, the fabric wasn't that good. It wasn't available in XXL and slim fit. The price was alright."
'B0CBK7JL91','Nice shirt','5.0 out of 5 stars','It’s goods to wear smooth and smart'
'B0CBK7JL91','Waste Shirt','1.0 out of 5 stars','Cheap material and design shown in picture is different than real.'
'B0CBK7JL91','Value for money','5.0 out of 5 stars','Product is as per order quality is also good. Fit in size'
