item,title,rating,body
'B0CBLW2RG5','Fit','1.0 out of 5 stars','Bad experience … so skinny'
'B0CBLW2RG5','The quality is so bad','1.0 out of 5 stars',"The quality of the track pant is so bad, by only using it for 10 days it's thread is removing and it's not durable at all, please don't buy it"
'B0CBLW2RG5','Better quality','5.0 out of 5 stars','Thanks to you...'
'B0CBLW2RG5','Track pant','5.0 out of 5 stars','Its a great product but only for skinny people'
'B0CBLW2RG5','Superb quality','5.0 out of 5 stars','This product was superb quality'
'B0CBLW2RG5','Nice product 👍','5.0 out of 5 stars','This product is awesome 👍'
'B0CBLW2RG5','Third class fabric and fitting','1.0 out of 5 stars',"Terrible quality fabric used, it's not even a single star. Pathetic."
'B0CBLW2RG5','Value for money','5.0 out of 5 stars','I absolutely love my Lymio track pants! They are incredibly comfortable and perfect for workouts or lounging. The quality is top-notch, and they have a stylish design. These pants have become a staple in my wardrobe, and I highly recommend them for anyone seeking comfort and style.'
'B0CBLW2RG5','Amazing quality and also so comfortable while sitting and also used for sports nice product loved it','5.0 out of 5 stars',''
'B0CBLW2RG5','Fully satisfied ☺️','5.0 out of 5 stars','The product was as expected ❤️\u200d🩹'
'B0CBLW2RG5','Nice','4.0 out of 5 stars','Nice but fitting is tight'
'B0CBLW2RG5','Bad product','1.0 out of 5 stars','Poor quality'
'B0CBLW2RG5','Awesome Material at very best price love the product','5.0 out of 5 stars','A very Good product with very good price material is awesome'
'B0CBLW2RG5','Good quality','4.0 out of 5 stars','Nice fit and quality ,Must buy!'
'B0CBLW2RG5','Good Product','5.0 out of 5 stars','Good Quality'
'B0CBLW2RG5','Superb I love it','5.0 out of 5 stars','I am happy with this product I loving item was amazing I prefer to my friends value of money with reasonable price'
'B0CBLW2RG5','Worst Quality','1.0 out of 5 stars','after first use it becomes useless . Wastage of money'
'B0CBLW2RG5','Very Stretchable & Good Fitting','5.0 out of 5 stars','The Fit of the Track pant was great and it is very Flexible. I am wearing it to the Gym which is making my workout more Comfortable yet intense'
'B0CBLW2RG5','very nice','1.0 out of 5 stars','very nice very nice very nice very nice very nice very nice nice nice nice very nice nice nice nicest'
'B0CBLW2RG5','Good','5.0 out of 5 stars','Good'
'B0CBLW2RG5','Quality And Fitting','4.0 out of 5 stars','I Ordered One M-Sized and the Product fitting is good and Completely stretchable.First Impressions of Product are Good .'
'B0CBLW2RG5','Very Comfortable','5.0 out of 5 stars','Product is very good and so comfortable.'
'B0CBLW2RG5','Nice product super clothes','5.0 out of 5 stars','Amazing track pants super qwality stracheble nice fabrik and ok thin fabrik it is a good product then wash Good'
'B0CBLW2RG5','Good','5.0 out of 5 stars','It is very stylish track pant and very strechible.two side pocket and good quality.It is very comfortable track pant.Amazing fitting and comfortable design.They are light in weight,airy, and elastic.This track pant are usually preferred during any kind of sports activityNice product worth for money,Strechable material, most likely to be used for gym wear.'
'B0CBLW2RG5','Perfect fit','5.0 out of 5 stars','Material is stretchable,great fit, length is also very accurate,good to go'
'B0CBLW2RG5','Nice','5.0 out of 5 stars','Good'
'B0CBLW2RG5','About product','5.0 out of 5 stars','Great product'
'B0CBLW2RG5','Nice quality','5.0 out of 5 stars',''
'B0CBLW2RG5','Fit not as per show','1.0 out of 5 stars','It’s quality and fitting is cheap not as per the shown'
'B0CBLW2RG5','Very good I like it😘','5.0 out of 5 stars','This point is very comfortable'
'B0CBLW2RG5','Fabric is good','5.0 out of 5 stars','It is stretchable perfect fit'
'B0CBLW2RG5','Good quality','5.0 out of 5 stars','Quality was very good'
'B0CBLW2RG5','Fitting is very good.','4.0 out of 5 stars','It is also very comfortable.'
'B0CBLW2RG5','Fabric is good. But, the fitting sucks. Very small','2.0 out of 5 stars','I brought it for myself. But, it is like a ladies pant. It fits perfectly for my wife. My wife kept it as the fabric is good. Sincere suggestion to sell this pant as a ladies pant rather than a gents pant.'
'B0CBLW2RG5','Pant','3.0 out of 5 stars','Quality is good'
'B0CBLW2RG5','Nice','5.0 out of 5 stars','Very good and comfortable specially for this humid season very good quality and color is also perfect'
'B0CBLW2RG5','Super','5.0 out of 5 stars','Super cloth'
'B0CBLW2RG5','Best quality','5.0 out of 5 stars','Awesome materialls 😍 comfortable. Looking awesome'
'B0CBLW2RG5','Product quality is too good and alolooks comfortable','4.0 out of 5 stars','The product quality is good and comfortable but their is problem in size, the size of the product is too small with the Indian standards'
'B0CBLW2RG5','MD MINNATULLAH YAZDANI','3.0 out of 5 stars',"I read in product details that this is 60% cotton and 40% polyster. But below About this item mentioned as 100% polyster . What's true ? Please Reply !"
'B0CBLW2RG5','Review','5.0 out of 5 stars','Material is good'
'B0CBLW2RG5','Good quality and comfortable','5.0 out of 5 stars','Good quality.'
'B0CBLW2RG5','Excellent','5.0 out of 5 stars','Very comfortable'
'B0CBLW2RG5','Good quality product','5.0 out of 5 stars','It is very stylish track pant and very strechible.two side pocket and good quality.It is very comfortable track pant.Amazing fitting and comfortable design.They are light in weight,airy, and elastic.This track pant are usually preferred during any kind of sports activity.'
'B0CBLW2RG5','soft fabric','5.0 out of 5 stars','The fabric is very soft. It is also very comfortable and stylish. The design is also nice.'
'B0CBLW2RG5','Good quality','5.0 out of 5 stars','Good product'
'B0CBLW2RG5','Good quality','5.0 out of 5 stars','Very good product for this range and very good quality and very comfortable i love this product. I recommend purchase this product 🥰👌'
'B0CBLW2RG5','super good quality stuff at reasonable price','5.0 out of 5 stars',"quite surprised with quality of fabric lymio is delivering at such wonderful price. I ordered it for my pappa and he felt very delighted to get this. it's suitable for all weather. highly recommended."
'B0CBLW2RG5','Perfect fit.','5.0 out of 5 stars','For that cost, material is good, it is soft and comfortable. perfect fit and the money spent is totally worth.'
'B0CBLW2RG5','Amazing Product. Loved it!!','5.0 out of 5 stars','I really liked the quality and fit of the product. Its way better than my expectations. I really loved the fabric quality and fitting. Go for it.'
