item,title,rating,body
'B0CBV5R32D','Bad quality','2.0 out of 5 stars','Bad quality'
'B0CBV5R32D','Quite Satisfied','5.0 out of 5 stars','Honestly, I am so happy to receive this product. It was so good and satisfaction. The price also quite reasonable. Quality beyond my expectation.'
'B0CBV5R32D','Super quality We will be buying more','5.0 out of 5 stars','We use this for various purposes . It is the best adhesive, that we ever used.'
'B0CBV5R32D','Nice product','5.0 out of 5 stars','Very good product'
'B0CBV5R32D','Very good amd nice product','5.0 out of 5 stars','This product is much useful to our DCS metso pannels amd very quality in nnature'
'B0CBV5R32D','Just the right thing','4.0 out of 5 stars','It does the right job. Performance as promised. Nothing extraordinary Nothing less, just the right thing.'
'B0CBV5R32D','Good','5.0 out of 5 stars','Good'
'B0CBV5R32D','👌','5.0 out of 5 stars','Good'
'B0CBV5R32D','Product is good','4.0 out of 5 stars','Product is good'
'B0CBV5R32D','Good product 👌','5.0 out of 5 stars','Very Good adhesive'
'B0CBV5R32D','Good','5.0 out of 5 stars','Good product 💯'
'B0CBV5R32D','Good product','5.0 out of 5 stars',"It's performance is very good"
'B0CBV5R32D','Good','5.0 out of 5 stars','Hi Neha great to know your efforts and success. But I am not in favour of this kind of things. Your product is good, at a good platform. Doing well, definitely do better. Whatever you have done is commendable. Wish you all the best. Hope you grow, keep growing like infinity. Add new products to your portfolio. My belief anything done with a great prospect will get success.  All the best'
'B0CBV5R32D','waterproof tape','5.0 out of 5 stars','It has straps that saves the glue of this tape'
'B0CBV5R32D','Good Adhesive','5.0 out of 5 stars','This double sided nano tape is good. Transparent, Adhesive is strong'
'B0CBV5R32D','Very good item good quality','5.0 out of 5 stars','Good item'
'B0CBV5R32D','Good product','5.0 out of 5 stars','Tape is water resistant. Overall it is good.'
'B0CBV5R32D','Good product','5.0 out of 5 stars','Nothing wrong with the tape. Actually I was looking for a double sided tape. Amazon fetched the results which included this tape too, which is actually meant for pipe.repairs. And I ordered it looking at the low price. I am sure this tape serves its purpose, but I wanted a double sided tape for some other purpose'
'B0CBV5R32D','Best','5.0 out of 5 stars','Nice work'
'B0CBV5R32D',"It's nice",'5.0 out of 5 stars',"We are struggling with water leakage after using this tape it's better now."
'B0CBV5R32D','Good product for this price','5.0 out of 5 stars','Nice product. I purchased this product to fix my water leakage in glass OTS area.. it really worked well. I highly recommend this product to everyone.'
'B0CBV5R32D','Paisa vasul😁😁😁','5.0 out of 5 stars','Bas ise nikalne me problem hua😥😥😥😥😥'
'B0CBV5R32D','Works great','5.0 out of 5 stars','Good adhesion for medium to minor leaks. Can be used to water proof wooden areas to prevent exposure to moisture'
'B0CBV5R32D','Amazing','5.0 out of 5 stars','I like to promote the product as it is useful.'
'B0CBV5R32D','Nice product','5.0 out of 5 stars','Awesome product as i expected.'
'B0CBV5R32D','Nice product','5.0 out of 5 stars','Nice and easy to use. Currently I have applied this tape and it’s working right now for leakage to stop.'
'B0CBV5R32D','WATERPROOF TAPE FOR LEAKAGE','5.0 out of 5 stars','Adhesion power is good. Performance is very good as I used it on wet surface also. Leakage stopped. Truly water resistant. I m happy with the quality. I suggest to buy this value for money product'
'B0CBV5R32D','Excellent product','5.0 out of 5 stars','Very useful this should be available in every home'
'B0CBV5R32D','Of great utility','5.0 out of 5 stars','The product serves great utility for water leakage.'
'B0CBV5R32D','Awesome','5.0 out of 5 stars',"This double sided tape I didn't expect to be this sturdy.....it works for me 👍"
'B0CBV5R32D',"Worst adhesive ever, don't buy",'1.0 out of 5 stars',"The adhesive is really bad, doesn't stick. Even it looks sticky, it leaves the residue."
'B0CBV5R32D','not adhesive','1.0 out of 5 stars','It doesnt stick at all. dont buy'
'B0CBV5R32D','Quality is very good as is claimed','5.0 out of 5 stars','It served the purpose it claimed that it will. Good product'
'B0CBV5R32D','Good Waterproofing Solution!','5.0 out of 5 stars','Used it for my bathroom door to stop water seepage damage. The glue is holding good and has enough clearance for door to close too.  Hope it lasts.'
'B0CBV5R32D','Absolute Rubbish','1.0 out of 5 stars',"Wanted to try it for a garden hose that has a small hole. This tape is difficult to open and once you finally cut it open, the adhesive isn't strong at all. Nothing like shown in the pics.  Save your money, DO NOT buy this."
'B0CBV5R32D','Poor quality','2.0 out of 5 stars','Tape got torn in the middle.'
'B0CBV5R32D','not good','1.0 out of 5 stars','This glue does not stick properly and the quality is very poor'
'B0CBV5R32D','Bahut bekar hai','1.0 out of 5 stars','Bahut bekar hai mera paisa doob gya'
'B0CBV5R32D','Good','5.0 out of 5 stars','Good'
'B0CBV5R32D','very strong adhesive tape','5.0 out of 5 stars','very strong adhesive tape'
'B0CBV5R32D','Good','4.0 out of 5 stars','Good product'
'B0CBV5R32D','Good product for house hold items','5.0 out of 5 stars','Good adhesives'
'B0CBV5R32D','Ok product','3.0 out of 5 stars','Ok product'
'B0CBV5R32D','Great product','5.0 out of 5 stars',"Good product Does it's job Thanx for the wonderful stuff"
'B0CBV5R32D','Product ok','3.0 out of 5 stars','if possible grind the surface to stick well. It arrest water leak problem in my loft tank.'
'B0CBV5R32D','Good','5.0 out of 5 stars','Good product does what it says. Strong adhesive.'
'B0CBV5R32D','Very useful product','5.0 out of 5 stars','Very useful product, must try for any roof leakage specially shed etc and also for pipe leakage. Thanks for this nice product'
'B0CBV5R32D','Good buy','5.0 out of 5 stars','Value for money.'
'B0CBV5R32D','Great purchase','5.0 out of 5 stars','Very good product'
'B0CBV5R32D',"it's rated as average quality",'2.0 out of 5 stars','a inferior quality'
